rank,internal_row_id,canonical_name,score,bucket,city,sector_label,website,normalized_domain,address,google_category,google_maps_url
21,uae-pilot-0040,Al Gurg Consultants,65,high_priority_verification,Dubai,Engineering,https://www.algurg.net/,algurg.net,99 Building - 10th - Oud Metha Rd - Oud Metha - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Al%20Gurg%20Consultants&query_place_id=ChIJ1yMqw9NCXz4RKn5gADaOOYM
22,uae-pilot-0147,Construction General Contracting House Limited,65,high_priority_verification,Abu Dhabi,Construction,https://www.cgchouse.com/,cgchouse.com,Corniche Rd - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,General contractor,https://www.google.com/maps/search/?api=1&query=Construction%20General%20Contracting%20House%20Limited&query_place_id=ChIJsRsMrXxmXj4RntwR65kiVW8
23,uae-pilot-0197,ESKAN Engineering consultant,65,high_priority_verification,Dubai,Engineering,http://www.eskaneng.com/,eskaneng.com,فوق مطعم قصر الهند - شارع الشيخ راشد بنايه الهدى - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=ESKAN%20Engineering%20consultant&query_place_id=ChIJwa7vlzlcXz4RXb1SevqQWZg
24,uae-pilot-0224,Golden Square Engineering Consultants,65,high_priority_verification,Dubai,Engineering,http://www.gsengint.com/,gsengint.com,Second - Office 403. For reference: (Same building of Emirates Islamic Bank - Building no. 16 - Umm Hurair Second - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Golden%20Square%20Engineering%20Consultants&query_place_id=ChIJyUgAjPJCXz4R4UUkYYFVfFs
25,uae-pilot-0225,Granite Construction Company llc,65,high_priority_verification,Abu Dhabi,Construction,http://www.graniteuae.com/,graniteuae.com,1021 Zayed The First St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Granite%20Construction%20Company%20llc&query_place_id=ChIJIz_NjlxmXj4R6w85Q3vrN8Q
26,uae-pilot-0239,HILALCO ABUDHABI,65,high_priority_verification,Abu Dhabi,Construction,http://www.hilalco.com/,hilalco.com,"Adnec Compound, Liwa Tower - 1st Floor - Al Rawdah - W59 01 - Abu Dhabi - United Arab Emirates",Road construction company,https://www.google.com/maps/search/?api=1&query=HILALCO%20ABUDHABI&query_place_id=ChIJ8WerZTdoXj4RrpSGUfuaAjw
27,uae-pilot-0335,Nurol LLC OPC,65,high_priority_verification,Abu Dhabi,Construction,https://www.nuroluae.com/,nuroluae.com,"202 & 203 - Zayed The First Street - Building No.3, Office No - عَرَادة - Abu Dhabi - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Nurol%20LLC%20OPC&query_place_id=ChIJCZQEP-BlXj4Rufa_XMU8QeI
28,uae-pilot-0024,ahad alfan of engineering consultancy عهد الفن للاستشارات الهندسية,64,high_priority_verification,Abu Dhabi,Engineering,http://www.ahdalfan.com/,ahdalfan.com,Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=ahad%20alfan%20of%20engineering%20consultancy%20%D8%B9%D9%87%D8%AF%20%D8%A7%D9%84%D9%81%D9%86%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9&query_place_id=ChIJX8Z2hn9HXj4RM5GD4dy2EQk
29,uae-pilot-0165,Design Studio 727,64,high_priority_verification,Abu Dhabi,Interior Design (secondary),https://www.designstudio727.ae/,designstudio727.ae,"Cloud Spaces, Yas Mall - level 1 - Yas Island - YS1 - Abu Dhabi - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=Design%20Studio%20727&query_place_id=ChIJ7-woAaVFXj4RivusMU72yVk
30,uae-pilot-0406,Square General Contracting Company LLC,64,high_priority_verification,Abu Dhabi,Construction,http://sgcc-uae.com/,sgcc-uae.com,"W10, Corniche Rd W - Abu Dhabi - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Square%20General%20Contracting%20Company%20LLC&query_place_id=ChIJLypPQnVmXj4RdypflRxJW3s
31,uae-pilot-0431,Unique Options N Interiors Designs LLC,64,high_priority_verification,Abu Dhabi,Interior Design (secondary),https://www.uniqueoptions.ae/,uniqueoptions.ae,"Building No C163, M05 & M06 Musaffah Shabiya - ME9 - Abu Dhabi - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=Unique%20Options%20N%20Interiors%20Designs%20LLC&query_place_id=ChIJu9XT-lhHXj4RM6zgAFollPo
32,uae-pilot-0195,Enjaz Tax and Accounting Consultancy L.L.C,63,high_priority_verification,Dubai,Accounting/Audit,https://tax-enjaz.ae/,tax-enjaz.ae,Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Enjaz%20Tax%20and%20Accounting%20Consultancy%20L.L.C&query_place_id=ChIJrb-zxUVDXz4RTHBaZLlu8d0
33,uae-pilot-0198,Ethics Plus Public Accountants,63,high_priority_verification,Dubai,Accounting/Audit,https://www.ethicsplusuae.com/,ethicsplusuae.com,"Suite 108 & 109, Mezzanine floor, Al Diyafa Center - 2nd December St - Dubai - United Arab Emirates",Certified public accountant,https://www.google.com/maps/search/?api=1&query=Ethics%20Plus%20Public%20Accountants&query_place_id=ChIJB2jaXfxCXz4RjVjKMEZMFNA
34,uae-pilot-0204,"Fast Track Accounting & Tax Consultancy (FTA) VAT Abu Dhabi, Dubai, UAE",63,high_priority_verification,Abu Dhabi,Accounting/Audit,http://www.ftaauditing.com/,ftaauditing.com,"Mazyed Mall .Mussafah - Office No 608,Tower 2 - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Fast%20Track%20Accounting%20%26%20Tax%20Consultancy%20(FTA)%20VAT%20Abu%20Dhabi%2C%20Dubai%2C%20UAE&query_place_id=ChIJr8mWe5xHXj4RYxMwxMlCwJk
35,uae-pilot-0208,Fix For Less,63,high_priority_verification,Abu Dhabi,Interior Design (secondary),https://fixforless.ae/,fixforless.ae,17 street 43 - Al Shamkhah - SH8 - Abu Dhabi - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Fix%20For%20Less&query_place_id=ChIJibF286pLXj4RL6XMMKQt8PE
36,uae-pilot-0237,"Hedge Accounting Solution | Accounting & Audit firm in Abu Dhabi, UAE | ICV and ADV Certification Consultant",63,high_priority_verification,Abu Dhabi,Accounting/Audit,https://hedgeasglobal.com/,hedgeasglobal.com,F9R4+6FG - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Hedge%20Accounting%20Solution%20%7C%20Accounting%20%26%20Audit%20firm%20in%20Abu%20Dhabi%2C%20UAE%20%7C%20ICV%20and%20ADV%20Certification%20Consultant&query_place_id=ChIJgRUGxVtmXj4R3IoxyN56ejI
37,uae-pilot-0376,Saadiyat Accounting & Bookkeeping L.L.C,63,high_priority_verification,Dubai,Accounting/Audit,https://www.saadiyataccounting.com/,saadiyataccounting.com,Office 238 - 63 32A St - near Fish Roundabout - Naif - Deira - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Saadiyat%20Accounting%20%26%20Bookkeeping%20L.L.C&query_place_id=ChIJeb_-t8JDXz4R49ub82rVhSo
38,uae-pilot-0428,TY Chartered Accountants,63,high_priority_verification,Abu Dhabi,Accounting/Audit,https://tny.ae/,tny.ae,Addax Tower - Office#2 My Coworking Business Center Ltd - 2312 - Al Reem Island - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=TY%20Chartered%20Accountants&query_place_id=ChIJ-fgdyAZnXj4REVT7XKuvbJE
39,uae-pilot-0459,"ZS Consultant: ICV, Corporate Tax and Accounting Services",63,high_priority_verification,Abu Dhabi,Accounting/Audit,https://www.zsconsultant.com/,zsconsultant.com,"Mazyad Mall - Office No. 27, 9th Floor Tower 3 - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=ZS%20Consultant%3A%20ICV%2C%20Corporate%20Tax%20and%20Accounting%20Services&query_place_id=ChIJG57oCKhBXj4RgmbKuYjKGGk
40,uae-pilot-0016,Acacia Medical Center,62,high_priority_verification,Abu Dhabi,Healthcare,https://acaciamedicalcenter.com/,acaciamedicalcenter.com,F94F+XWQ - Villa No. 15 Al Karamah St - Al Manhal - W15 02 - Abu Dhabi - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Acacia%20Medical%20Center&query_place_id=ChIJOy1YCYNpXj4RTkJUiotSzL4
41,uae-pilot-0441,Well Care Medical Center LLC - Abu Dhabi,62,high_priority_verification,Abu Dhabi,Healthcare,http://www.wellcare.ae/,wellcare.ae,"خلف صيدلية ويل كير - تقاطع - Zayed The First St, Al Silaymi St شارع الدُّوج، - 19 Zayed The First St - Abu Dhabi - United Arab Emirates",Medical Center,https://www.google.com/maps/search/?api=1&query=Well%20Care%20Medical%20Center%20LLC%20-%20Abu%20Dhabi&query_place_id=ChIJS3gZI11mXj4RdAlfJqNtakM
42,uae-pilot-0001,.قواعد للأستشارات الهندسية - QEC Engineering Consultants abu dhabi.,61,high_priority_verification,Abu Dhabi,Engineering,https://qec-uae.com/ar,qec-uae.com,16 القلطة - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=.%D9%82%D9%88%D8%A7%D8%B9%D8%AF%20%D9%84%D9%84%D8%A3%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9%20-%20QEC%20Engineering%20Consultants%20abu%20dhabi.&query_place_id=ChIJvTSjrPo5Xj4RhmQ-Ai2Sf7w
43,uae-pilot-0012,Abdulla & Associate Engineering & Architectural Consultants Dubai,61,high_priority_verification,Dubai,Engineering,https://aaa-dubai.com/,aaa-dubai.com,Pearl Apartment - Office 211 - Al Diyafah Street - Al Hudaiba - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Abdulla%20%26%20Associate%20Engineering%20%26%20Architectural%20Consultants%20Dubai&query_place_id=ChIJfYFUwv1CXz4R1mSWq0j8elw
44,uae-pilot-0045,Al Hudaiba Contracting LLC,61,high_priority_verification,Dubai,Construction,http://alhudaiba.com/,alhudaiba.com,شارع الثاني من ديسمبر‎ - Jumeirah - Jumeira First - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Al%20Hudaiba%20Contracting%20LLC&query_place_id=ChIJ56-faFZDXz4Rkma4avgO-Wo
45,uae-pilot-0051,Al Manhal Development & Construction L.L.C,61,high_priority_verification,Abu Dhabi,Construction,http://almanhalconstruction.com/,almanhalconstruction.com,"M3, BLDG - 9 Ar Rihayat St - Al Hisn - W4 - Abu Dhabi - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Al%20Manhal%20Development%20%26%20Construction%20L.L.C&query_place_id=ChIJhd14ygpmXj4RzrHdjM2TfB4
46,uae-pilot-0055,Al NISR Roads and Building Contracting - Branch of Abu Dhabi,61,high_priority_verification,Abu Dhabi,Construction,http://www.nisr.ae/,nisr.ae,Muroor Street Al Ittihad Newspaper signal - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Al%20NISR%20Roads%20and%20Building%20Contracting%20-%20Branch%20of%20Abu%20Dhabi&query_place_id=ChIJB-cCA4FoXj4ROVP7xfPvWsQ
47,uae-pilot-0101,Astraco Construction LLC,61,high_priority_verification,Abu Dhabi,Construction,https://www.astracoconstruction.com/,astracoconstruction.com,Baniyas Najda Street - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Astraco%20Construction%20LLC&query_place_id=ChIJf1DYBkNmXj4Rez6iN4rlrXc
48,uae-pilot-0104,Avanti Contracting L.L.C.,61,high_priority_verification,Abu Dhabi,Construction,http://www.avanti-uae.com/,avanti-uae.com,Al Nahyan - E25 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Avanti%20Contracting%20L.L.C.&query_place_id=ChIJHcRnMqtnXj4RLZ-Vm8vQYG4
49,uae-pilot-0180,DSA,61,high_priority_verification,Dubai,Architecture,http://www.dsa.design/,dsa.design,Convention Tower - Al Mustaqbal St - Zaa'beel First - Dubai - United Arab Emirates,Architect,https://www.google.com/maps/search/?api=1&query=DSA&query_place_id=ChIJ9T-MG-tCXz4RWM4YmYF1UQc
50,uae-pilot-0311,Mr.Tool Technical Services,61,high_priority_verification,Dubai,Construction,https://mrtooldubai.com/,mrtooldubai.com,Awards Building - Al Hudaiba - Al Mina St - Jumeirah - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Mr.Tool%20Technical%20Services&query_place_id=ChIJEc15lEdDXz4RR-V2cwuotec
51,uae-pilot-0338,OBMI,61,high_priority_verification,Dubai,Architecture,http://www.obmi.com/,obmi.com,"Dubai World Trade Centre - Suite 104, The Offices 1, One Central - Sheikh Zayed Rd - Dubai - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=OBMI&query_place_id=ChIJPQpTsVETXz4RMuOK6KR6yFs
52,uae-pilot-0345,Paradise Home Engineering Consultancy,61,high_priority_verification,Dubai,Engineering,http://www.phengc.com/,phengc.com,25 Zaa'beel St - Al Karama - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Paradise%20Home%20Engineering%20Consultancy&query_place_id=ChIJC7ij-ClDXz4RTS8pqK4bbb0
53,uae-pilot-0348,Percent engineering consultancy,61,high_priority_verification,Abu Dhabi,Engineering,http://www.percentengineering.com/,percentengineering.com,10 Ad Duha St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Percent%20engineering%20consultancy&query_place_id=ChIJnW1Qc_JHXj4RwYpz12iMzNI
54,uae-pilot-0367,RAS Marble and Granite الرخام والجرانيت,61,high_priority_verification,Abu Dhabi,Construction,https://call.whatsapp.com/voice/OgoQ820oSnSA76IG9KKNZY,call.whatsapp.com,55 Sheikh Mohammed Bin Rashid Al Maktoum Rd - Al Shamkhah - SH8 - Abu Dhabi - United Arab Emirates,Marble contractor,https://www.google.com/maps/search/?api=1&query=RAS%20Marble%20and%20Granite%20%D8%A7%D9%84%D8%B1%D8%AE%D8%A7%D9%85%20%D9%88%D8%A7%D9%84%D8%AC%D8%B1%D8%A7%D9%86%D9%8A%D8%AA&query_place_id=ChIJFSl_xpFBXj4ROoeSK6qPIVI
55,uae-pilot-0436,VPS Health,61,high_priority_verification,Abu Dhabi,Healthcare,http://vpshealth.com/,vpshealth.com,Main Street - Al Nahyan - E19 02 - Abu Dhabi - United Arab Emirates,Medical clinic,https://www.google.com/maps/search/?api=1&query=VPS%20Health&query_place_id=ChIJp6IALjdmXj4R5AKhzDIv6mU
56,uae-pilot-0446,Woods Bagot,61,high_priority_verification,Dubai,Architecture,https://www.woodsbagot.com/,woodsbagot.com,"The Offices 1, One Central One Central - Trade Center Second - Dubai - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=Woods%20Bagot&query_place_id=ChIJlScK-dhpXz4ROOLwZju4ZTw
57,uae-pilot-0043,Al Hilal Engineering Consultants Dubai,60,high_priority_verification,Dubai,Engineering,http://www.alhilalengineering.net/,alhilalengineering.net,"Suite 1804, Office Tower, The H Hotel، Sheikh Zayed Road, Dubai - Dubai - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=Al%20Hilal%20Engineering%20Consultants%20Dubai&query_place_id=ChIJsVnms9VpXz4RU6rTlI__bg0
58,uae-pilot-0076,Alturath Alomrani Engineering consultants التراث العمراني للاستشارات الهندسية,60,high_priority_verification,Dubai,Engineering,http://www.turatheng.com/,turatheng.com,Latifa Tower - B1403 - Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Alturath%20Alomrani%20Engineering%20consultants%20%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AB%20%D8%A7%D9%84%D8%B9%D9%85%D8%B1%D8%A7%D9%86%D9%8A%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9&query_place_id=ChIJ67kfuMFDXz4RFXshd3PfXyk
59,uae-pilot-0102,Aswar Engineering And General Contracting Co. W.L.L.,60,high_priority_verification,Abu Dhabi,Construction,http://www.aswar.com/,aswar.com,Prestige Tower 17 - 15th Floor - Mohamed Bin Zayed City - ME2 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Aswar%20Engineering%20And%20General%20Contracting%20Co.%20W.L.L.&query_place_id=ChIJKUiuUwNBXj4RwA_M5qLF9OY
60,uae-pilot-0166,Designer East (Architecture & Engineering Design),60,high_priority_verification,Dubai,Architecture,http://designereast.com/,designereast.com,The Park Place Tower - Office 603 - Sheikh Zayed Rd - Sheikh Al Zayed Road - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=Designer%20East%20(Architecture%20%26%20Engineering%20Design)&query_place_id=ChIJIRa6lvJCXz4RdAGcCo9jF2I
61,uae-pilot-0167,Dhafir Development & Contracting LLC,60,high_priority_verification,Abu Dhabi,Construction,http://www.dhafirdc.com/,dhafirdc.com,F9WH+757 Building P/705 - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Dhafir%20Development%20%26%20Contracting%20LLC&query_place_id=ChIJG2ntPlpmXj4R67MTJUrCFqo
62,uae-pilot-0259,iTech Engineering Consultancy,60,high_priority_verification,Abu Dhabi,Engineering,http://www.itechholding.com/,itechholding.com,"16th Floor, Prestige Tower 17 - 79th St - Mohamed Bin Zayed City - ME2 - Abu Dhabi - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=iTech%20Engineering%20Consultancy&query_place_id=ChIJ-U2931BHXj4RPwK2NH6c5Ww
63,uae-pilot-0274,LAMI Architects,60,high_priority_verification,Dubai,Architecture,http://www.lami-architects.com/,lami-architects.com,Burj Al Salam - Office Tower 1703 6th St - Trade Center First - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=LAMI%20Architects&query_place_id=ChIJ4fL8ZIFCXz4RRh2x65741cg
64,uae-pilot-0277,LKYOOB,60,high_priority_verification,Dubai,Architecture,http://www.lkyoob.com/,lkyoob.com,Dubai Marine Beach Resort - Office 02 - 21A St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=LKYOOB&query_place_id=ChIJoQnrxXRpXz4RnNURmFNxn8I
