internal_row_id,canonical_name,relevance_status,relevance_reason,google_category,regions,categories,address,city,phone,website,google_maps_url
uae-pilot-0086,Arabian Construction Company,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Abu Dhabi,Corporate office,"Al Reem Island, Sky Tower Floors 29 & 30 P.O. 2113 - Abu Dhabi - United Arab Emirates",,+971 2 644 5400,https://accgroup.com/,https://www.google.com/maps/search/?api=1&query=Arabian%20Construction%20Company&query_place_id=ChIJA1CFQ7xnXj4RNof1hnY2wUk
uae-pilot-0108,Barakat Vegetable & Fruits Company - LLC,irrelevant_small_retail_or_generic,"Category set (Fruit and vegetable store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Fruit and vegetable store,Abu Dhabi,Fruit and vegetable store,G98H+PFP - Zayed Port - Harbour - Abu Dhabi - United Arab Emirates,,+971 2 673 3500,http://www.barakatfresh.ae/,https://www.google.com/maps/search/?api=1&query=Barakat%20Vegetable%20%26%20Fruits%20Company%20-%20LLC&query_place_id=ChIJG2lym6dnXj4R2D4RKN0iwcA
uae-pilot-0109,"Barcode Gulf LLC | Dubai, UAE",irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Dubai,Corporate office,Dubai Real Estate Center - Office No. 108 - Al Mina St - Al Satwa - Al Mina - Dubai - United Arab Emirates,,+971 4 346 2244,http://www.barcodegulf.com/?utm_source=GooglePlaces&utm_medium=GoogleMaps&utm_campaign=BarcodeGulf_UAE,https://www.google.com/maps/search/?api=1&query=Barcode%20Gulf%20LLC%20%7C%20Dubai%2C%20UAE&query_place_id=ChIJ1TEnbQFDXz4RBbljwarEp5A
uae-pilot-0110,Bee Bee,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,villa 1 May St - Al Falah - 1C - Abu Dhabi - United Arab Emirates,,+971 52 809 6345,,https://www.google.com/maps/search/?api=1&query=Bee%20Bee&query_place_id=ChIJn2YqEGlLXj4RZps3RbPafT8
uae-pilot-0122,BlueOcean Electronics,irrelevant_small_retail_or_generic,"Category set (Computer store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Computer store,Dubai,Computer store,11 45A St - Al Karama - Dubai - United Arab Emirates,,+971 54 350 1954,,https://www.google.com/maps/search/?api=1&query=BlueOcean%20Electronics&query_place_id=ChIJcY5BIZpDXz4Rx4WRejHHtKQ
uae-pilot-0124,BuLsia Electronics LLC,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,Sheikh Khalifa Bin Zayed St - Al Karama - Dubai - United Arab Emirates,,+971 55 952 5040,,https://www.google.com/maps/search/?api=1&query=BuLsia%20Electronics%20LLC&query_place_id=ChIJxT62AYFDXz4RBPhAQTmE1wU
uae-pilot-0126,Canon Dubai - National Store LLC - Al Ghazal Mall,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,"#05-08, Ground Floor, Al Ghazal Mall - Dubai - United Arab Emirates",,+971 52 322 1992,http://nationalstore.ae/retail-stores/,https://www.google.com/maps/search/?api=1&query=Canon%20Dubai%20-%20National%20Store%20LLC%20-%20Al%20Ghazal%20Mall&query_place_id=ChIJhxNmE5pdXz4Ro4F5YVWB8SE
uae-pilot-0128,Capi Electronics,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,"C-gates, Terminal A - Departures - BU 2100 - Al Matar - Zayed International Airport - Abu Dhabi - United Arab Emirates",,,https://capi.com/stores/zayed-international-airport/capi-electronics-at-terminal-a-c-gates-auh/,https://www.google.com/maps/search/?api=1&query=Capi%20Electronics&query_place_id=ChIJi2fwADVPXj4RSuQNOPCniHw
uae-pilot-0130,CAPITALHOME ELECTRONICS كابيتال هوم للالكترونيات,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,Al Shamkhah - SH36 - Abu Dhabi - United Arab Emirates,,+971 56 874 8000,,https://www.google.com/maps/search/?api=1&query=CAPITALHOME%20ELECTRONICS%20%D9%83%D8%A7%D8%A8%D9%8A%D8%AA%D8%A7%D9%84%20%D9%87%D9%88%D9%85%20%D9%84%D9%84%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA&query_place_id=ChIJ98FPBFRJXj4RnoucjOS0KGo
uae-pilot-0140,Cityman electronics,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,1 24a St - Al Bada' - Dubai - United Arab Emirates,,+971 4 342 9889,,https://www.google.com/maps/search/?api=1&query=Cityman%20electronics&query_place_id=ChIJCZ2tOnZDXz4R1F1OOpqs-Ng
uae-pilot-0154,Cyber Corner Electronics L.L.C,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,Al Satwa - Dubai - United Arab Emirates,,+971 50 734 2668,https://cyberelectronicsllc.com/,https://www.google.com/maps/search/?api=1&query=Cyber%20Corner%20Electronics%20L.L.C&query_place_id=ChIJmZbsX-lDXz4RIe2rMqx4rWw
uae-pilot-0182,Dubai tech store,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,Dubai 10B - Al Jafiliya - Dubai - United Arab Emirates,,+971 50 708 3609,,https://www.google.com/maps/search/?api=1&query=Dubai%20tech%20store&query_place_id=ChIJKWGe0vhDXz4RgPeYwQrwxFE
uae-pilot-0212,Fresh Fruits Company - Retail Shop,irrelevant_small_retail_or_generic,"Category set (Fruit and vegetable store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Fruit and vegetable store,Abu Dhabi,Fruit and vegetable store,G98H+QMV Fruit and Vegetable Market - 20th Street - Zayed Port - Harbour - Abu Dhabi - United Arab Emirates,,+971 2 673 0908,,https://www.google.com/maps/search/?api=1&query=Fresh%20Fruits%20Company%20-%20Retail%20Shop&query_place_id=ChIJG45t9RlnXj4R16OozluZmOg
uae-pilot-0213,FujSeng Construction L.L.C. (FujEng) - Dubai Office,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Dubai,Corporate office,16th St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,+971 4 338 7383,https://fujseng.ae/,https://www.google.com/maps/search/?api=1&query=FujSeng%20Construction%20L.L.C.%20(FujEng)%20-%20Dubai%20Office&query_place_id=ChIJz1bCwDpDXz4RS1HcTRJV6Lw
uae-pilot-0219,GETCO - General Electric & Trading Company,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Abu Dhabi,Corporate office,1 Tawi Mashrouk Street - Office M2 - 1 شارع طوي مشروك - Al Zahiyah - Abu Dhabi - United Arab Emirates,,+971 2 644 9188,http://www.getco.ae/,https://www.google.com/maps/search/?api=1&query=GETCO%20-%20General%20Electric%20%26%20Trading%20Company&query_place_id=ChIJT6FrQkVmXj4RSmLEf8fnadA
uae-pilot-0226,Green Core IT Solutions LLC,irrelevant_small_retail_or_generic,"Category set (Computer store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Computer store,Abu Dhabi,Computer store,Electra Street - behind Royal Rose Hotel - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,,+971 2 445 5112,https://greencoreuae.com/,https://www.google.com/maps/search/?api=1&query=Green%20Core%20IT%20Solutions%20LLC&query_place_id=ChIJN3uPa_FnXj4R1PlvwGHOYbs
uae-pilot-0244,Huawei Experience Store (The Galleria Al Mariya Island),irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,111 Hamouda Bin Ali Al Dhaheri St - Al Maryah Island - MI10 - Abu Dhabi - United Arab Emirates,,+971 2 555 8534,https://consumer.huawei.com/ae-en/retail/,https://www.google.com/maps/search/?api=1&query=Huawei%20Experience%20Store%20(The%20Galleria%20Al%20Mariya%20Island)&query_place_id=ChIJqRdQH7JnXj4RDYskGH_KzKo
uae-pilot-0261,JAFLIYA PALACE MOBILE PHONE TRADING LLC,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,20 35 A St - Al Jafiliya - Dubai - United Arab Emirates,,+971 4 398 4313,,https://www.google.com/maps/search/?api=1&query=JAFLIYA%20PALACE%20MOBILE%20PHONE%20TRADING%20LLC&query_place_id=ChIJR-CjKeNCXz4RSFwYQh1lNYk
uae-pilot-0267,"Jumbo Electronics - The Galleria, Al Maryah Island",irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,"Level 1, The Galleria Al Maryah Island Al Maryah Island - Abu Dhabi - United Arab Emirates",,+971 2 309 2432,https://www.jumbo.ae/,https://www.google.com/maps/search/?api=1&query=Jumbo%20Electronics%20-%20The%20Galleria%2C%20Al%20Maryah%20Island&query_place_id=ChIJT-SHwmJnXj4RP4CwSfOAips
uae-pilot-0268,KAMAL Engineering Consultants (KEC),irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Dubai,Corporate office,"Office No. 519 Al Hudaiba Awards Building, Block B Opposite of Etihad Museum - Jumeira St - Dubai - United Arab Emirates",,+971 4 343 1345,http://kamalconsultants.com/,https://www.google.com/maps/search/?api=1&query=KAMAL%20Engineering%20Consultants%20(KEC)&query_place_id=ChIJnYrK_tdpXz4RDV7ItPclVkY
uae-pilot-0273,Lagardère Travel Retail Abu Dhabi,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Abu Dhabi,Corporate office,"Al Ghazal Golf Club, Terminal 2 - near Abu Dhabi International Airport - Al Matar - Zayed International Airport - Abu Dhabi - United Arab Emirates",,+971 4 884 4005,https://www.lagardere-tr.com/,https://www.google.com/maps/search/?api=1&query=Lagard%C3%A8re%20Travel%20Retail%20Abu%20Dhabi&query_place_id=ChIJw1ZW-L1JXj4RtfvBjuKHkwA
uae-pilot-0317,Nassa Team Engineering Consultancy Dubai UAE,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Dubai,Corporate office,Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,,+971 4 240 5551,http://www.nassaconsult.com/,https://www.google.com/maps/search/?api=1&query=Nassa%20Team%20Engineering%20Consultancy%20Dubai%20UAE&query_place_id=ChIJh9cY8nVpXz4RkGL7Fjf_7Yw
uae-pilot-0326,Nishant - office,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,5 شارع نَابِر - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,,,,https://www.google.com/maps/search/?api=1&query=Nishant%20-%20office&query_place_id=ChIJ0W6NSABnXj4RTBWEc9ucKOw
uae-pilot-0350,Pinoy Zuper Deals UAE,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,35A st - Al Jafiliya - Dubai - United Arab Emirates,,+971 50 649 4625,,https://www.google.com/maps/search/?api=1&query=Pinoy%20Zuper%20Deals%20UAE&query_place_id=ChIJS46LJqJDXz4RDKxyKYNL40I
uae-pilot-0363,R I Z Global Electronics Trading LLC,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,Al Wasl Rd - Al Bada' - Dubai - United Arab Emirates,,+971 4 327 6333,,https://www.google.com/maps/search/?api=1&query=R%20I%20Z%20Global%20Electronics%20Trading%20LLC&query_place_id=ChIJY9wCMwBDXz4Rrq-QVnaVFxY
uae-pilot-0364,RAI Group HQ,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Abu Dhabi,Corporate office,City gate - Zayed City - MZ29 - Abu Dhabi - United Arab Emirates,,,http://www.raifirm.com/,https://www.google.com/maps/search/?api=1&query=RAI%20Group%20HQ&query_place_id=ChIJy9w_0nVDXj4R1T5cL8O36IM
uae-pilot-0372,RoyalTech Boss,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,Mankhool - Dubai - United Arab Emirates,,+971 50 121 8543,,https://www.google.com/maps/search/?api=1&query=RoyalTech%20Boss&query_place_id=ChIJT41qfSRDXz4Rpj-i0sQXrRA
uae-pilot-0377,"Said Mohammad Furniture, Carpets & Curtains",irrelevant_small_retail_or_generic,"Category set (Carpet store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Carpet store,Abu Dhabi,Carpet store,Al Misheer St - Zayed Port - E14 01 - Abu Dhabi - United Arab Emirates,,+971 52 865 4286,https://saidmohammadfurniture.com/,https://www.google.com/maps/search/?api=1&query=Said%20Mohammad%20Furniture%2C%20Carpets%20%26%20Curtains&query_place_id=ChIJn8gXyPpmXj4RT4esg4JFGXY
uae-pilot-0378,Salem al Katheeri Carpet trd.Est,irrelevant_small_retail_or_generic,"Category set (Carpet store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Carpet store,Abu Dhabi,Carpet store,Al Misheer St - Zayed Port - E14 01 - Abu Dhabi - United Arab Emirates,,+971 50 429 3450,https://salemalkatheeri-carpet.netlify.app/,https://www.google.com/maps/search/?api=1&query=Salem%20al%20Katheeri%20Carpet%20trd.Est&query_place_id=ChIJUa8hyuhnXj4RRJaawBibnEk
uae-pilot-0380,Samsung Experience Store Abu Dhabi Mall,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,Mall - Al Miyani St - Al Zahiyah - Level 2 - Abu Dhabi - United Arab Emirates,,+971 2 631 1147,https://mdsmobile.ae/pages/samsung-abu-dhabi-mall,https://www.google.com/maps/search/?api=1&query=Samsung%20Experience%20Store%20Abu%20Dhabi%20Mall&query_place_id=ChIJtUt2LHJpXj4RKcSWW5PROQg
uae-pilot-0381,Samsung Experience Store The Galleria Al Maryah Island,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,The Galleria Mall - Level 1 Al Falah St - Al Maryah Island - MI10 - Abu Dhabi - United Arab Emirates,,+971 2 584 8177,https://www.samsung.com/ae/?utm_source=google&utm_medium=local-search&utm_campaign=googlemybusiness,https://www.google.com/maps/search/?api=1&query=Samsung%20Experience%20Store%20The%20Galleria%20Al%20Maryah%20Island&query_place_id=ChIJCdTFdOFnXj4R6rwEQo7iYE0
uae-pilot-0408,Steel Bot Lab,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,GC54+44V - Al Reem Island - RS1 - Abu Dhabi - United Arab Emirates,,,,https://www.google.com/maps/search/?api=1&query=Steel%20Bot%20Lab&query_place_id=ChIJDa6a5X1nXj4Rvmj-T2COGQI
uae-pilot-0412,Sun infosys Technologies,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,Al Hanaa center - Al Mankhool Rd - opp. Carrefour express - Al Jafiliya - Dubai - United Arab Emirates,,+971 4 386 6500,,https://www.google.com/maps/search/?api=1&query=Sun%20infosys%20Technologies&query_place_id=ChIJEWzPI_1CXz4Rimum3lOMHTg
uae-pilot-0443,WELLMARK INTERIOR DESIGN,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Abu Dhabi,Corporate office,Musaffah - ME9 - Abu Dhabi - United Arab Emirates,,+971 2 674 7412,http://www.wellmarkinterior.com/,https://www.google.com/maps/search/?api=1&query=WELLMARK%20INTERIOR%20DESIGN&query_place_id=ChIJh8PpdsRAXj4R04VX1wPen0A
uae-pilot-0448,Yacca Technologies LLC,irrelevant_small_retail_or_generic,"Category set (Computer store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Computer store,Dubai,Computer store,Al Karama - Dubai - United Arab Emirates,,+971 55 596 4898,,https://www.google.com/maps/search/?api=1&query=Yacca%20Technologies%20LLC&query_place_id=ChIJ-21-1_JDXz4R0Gt-UiLMbqI
uae-pilot-0453,Zayan Amer Mobile Trading llc,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,67RW+VX5 ADCB metro - Al Karama - Dubai - United Arab Emirates,,+971 55 833 2850,,https://www.google.com/maps/search/?api=1&query=Zayan%20Amer%20Mobile%20Trading%20llc&query_place_id=ChIJIRN1Mt9CXz4RjWdeeLmoPg4
uae-pilot-0461,الفلاح,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,Al Falah - FA6 - Abu Dhabi - United Arab Emirates,,+971 56 480 0665,,https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD&query_place_id=ChIJR-ad_qNLXj4RUAIcPUIkVHE
uae-pilot-0035,Al Bakht Curtains & Decor البخت للستائر والديكور,rejected_low_value_micro_business_or_individual,"Curtain/decor retail shop, not a genuine design-firm-scale employer.",Interior designer,Abu Dhabi,Interior designer,Mohammad Bin Zayed City - beside Creative British School - Musaffah - ME10 - Abu Dhabi - United Arab Emirates,,+971 52 302 0717,http://www.albakhtcurtains.ae/,https://www.google.com/maps/search/?api=1&query=Al%20Bakht%20Curtains%20%26%20Decor%20%D8%A7%D9%84%D8%A8%D8%AE%D8%AA%20%D9%84%D9%84%D8%B3%D8%AA%D8%A7%D8%A6%D8%B1%20%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1&query_place_id=ChIJhxcPX305Xj4RTPeNm69rH58
uae-pilot-0111,Bella Tenda,rejected_low_value_micro_business_or_individual,Small decor/soft-furnishing shop.,Interior designer,Abu Dhabi,Interior designer,Ji'dan St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,,+971 50 800 2138,https://www.bella-tenda.com/,https://www.google.com/maps/search/?api=1&query=Bella%20Tenda&query_place_id=ChIJVZ1usVY5Xj4RmUsRkt3zpq8
uae-pilot-0463,ديكور هوم للمقاولات والديكور,rejected_low_value_micro_business_or_individual,Small decor/contracting shop (single location).,Interior Decorator,Abu Dhabi,Interior Decorator,villa 78 Al musalim street - Al Shamkhah - SH1 - Abu Dhabi - United Arab Emirates,,+971 54 497 7109,https://www.decorshomes.com/,https://www.google.com/maps/search/?api=1&query=%D8%AF%D9%8A%D9%83%D9%88%D8%B1%20%D9%87%D9%88%D9%85%20%D9%84%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%84%D8%A7%D8%AA%20%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1&query_place_id=ChIJpfPB5PNLXj4RaIMbqmvDbRk
uae-pilot-0090,Arif & Bintoak Building,rejected_low_value_micro_business_or_individual,Insufficient evidence of company scale beyond a single Google Maps listing.,Architect,Dubai,Architect,Zaa'beel St - Al Karama - Dubai - United Arab Emirates,,+971 4 337 2888,http://www.artoak.com/,https://www.google.com/maps/search/?api=1&query=Arif%20%26%20Bintoak%20Building&query_place_id=ChIJHfMB9dBCXz4RKhIdupAGmq4
uae-pilot-0007,"A Super Fast Cargo & Logistics - -UK,US,NZ,AUS,GER,CANADA,GCC & ALL OTHER COUNTRIES",rejected_low_value_micro_business_or_individual,Small single-branch cargo/courier agent.,Logistics service,Abu Dhabi,Logistics service,639 Al Ain Rd - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,,+971 50 416 4433,https://superfastcargo.ae/,https://www.google.com/maps/search/?api=1&query=A%20Super%20Fast%20Cargo%20%26%20Logistics%20-%20-UK%2CUS%2CNZ%2CAUS%2CGER%2CCANADA%2CGCC%20%26%20ALL%20OTHER%20COUNTRIES&query_place_id=ChIJuYtlf_hnXj4Rv0hzyxS-za8
uae-pilot-0065,"Al Usood Cargo, Abu Dhabi",rejected_low_value_micro_business_or_individual,Small single-branch cargo agent.,Logistics service,Abu Dhabi,Logistics service,14 شارع البِري - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,,+971 2 632 1717,https://alusood.com/,https://www.google.com/maps/search/?api=1&query=Al%20Usood%20Cargo%2C%20Abu%20Dhabi&query_place_id=ChIJpcBe9bdnXj4RYgtSioz6-YE
uae-pilot-0384,SBC Express Cargo LLC,rejected_low_value_micro_business_or_individual,Small single-branch courier company.,Logistics service,Dubai,Logistics service,67JG+Q4P - Al Bada' - Dubai - United Arab Emirates,,+971 800 2755,http://sbcexpresscargo.com/,https://www.google.com/maps/search/?api=1&query=SBC%20Express%20Cargo%20LLC&query_place_id=ChIJyTm_bxBDXz4RVOLTpjzBlmo
uae-pilot-0114,Best Express Cargo - Karama,rejected_low_value_micro_business_or_individual,"Single-branch courier (""- Karama"" branch qualifier), not a distinct verifiable employer.",Logistics service,Dubai,Logistics service,"Nesto Hyper Market, Near ADCB Metro Station - Dubai - United Arab Emirates",,+971 55 428 1500,https://bestexpresscargo.com/,https://www.google.com/maps/search/?api=1&query=Best%20Express%20Cargo%20-%20Karama&query_place_id=ChIJm5AeJZpDXz4RC88MTgmmBu0
