internal_row_id,canonical_name,relevance_status,reason_for_review,google_category,address,city,website,google_maps_url,batch_status
uae-pilot-0050,al maher building paint LLC.,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,D90 - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=al%20maher%20building%20paint%20LLC.&query_place_id=ChIJaaARDshDXz4RJm6o3Ohx7X8,not_enriched_this_pass
uae-pilot-0061,Al taher interiors,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,8GGM+JM6 - Mohamed Bin Zayed City - ME11 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Al%20taher%20interiors&query_place_id=ChIJ4WvPPN45Xj4RX8QXoUR7TuE,not_enriched_this_pass
uae-pilot-0066,Al Wasel Site Office,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,67WG+JCJ - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Al%20Wasel%20Site%20Office&query_place_id=ChIJiUfO0AVDXz4R2xfP1mvL_08,not_enriched_this_pass
uae-pilot-0067,Alharam general contracting and design,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Dolphin street - Mohamed Bin Zayed City - ME11 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Alharam%20general%20contracting%20and%20design&query_place_id=ChIJTf6VOAA5Xj4RRlv21qXQoTM,not_enriched_this_pass
uae-pilot-0069,Align Engineering Consultants & Interior Design,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Engineering consultant,10 Al Maktoum Rd - Riggat Al Buteen - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Align%20Engineering%20Consultants%20%26%20Interior%20Design&query_place_id=ChIJ865dlcxcXz4R3pmVGAZs4fk,not_enriched_this_pass
uae-pilot-0074,ALNURR LOGISTICS SERVICE,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Logistics service,"Alnurr complex D1, D2 - Al Mina St - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=ALNURR%20LOGISTICS%20SERVICE&query_place_id=ChIJjedvZwVDXz4RV7cMnJtHDwY,not_enriched_this_pass
uae-pilot-0078,AM consult Architects and Engineering LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Engineering consultant,Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=AM%20consult%20Architects%20and%20Engineering%20LLC&query_place_id=ChIJY-BzlRs5Xj4RZmHHlwo8BuY,not_enriched_this_pass
uae-pilot-0080,amazingparadiseuae,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Landscape designer,,,,https://www.google.com/maps/search/?api=1&query=amazingparadiseuae&query_place_id=ChIJBdRoAnt8fygR762TH4VM18g,not_enriched_this_pass
uae-pilot-0082,Amrita Medical Centre,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Medical Center,Emirates Islamic Bank - شارع القدس - Al Hudaiba - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Amrita%20Medical%20Centre&query_place_id=ChIJ5UJtB_5CXz4R3-7SOiK30fg,not_enriched_this_pass
uae-pilot-0087,Arabian Construction Company,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,"2nd December Street, Jumeirah Terrace Building, 2nd Floor P.O. 55633 - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Arabian%20Construction%20Company&query_place_id=ChIJVypJB-VCXz4RJJT0M0cWbp8,not_enriched_this_pass
uae-pilot-0092,Arqamatrix,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,"Building, Block C, 3rd Floor - 2nd December St - Al Hudaiba - Al Mina - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Arqamatrix&query_place_id=ChIJ7wrKy7BBzUsR0QEX2Y2NgIk,not_enriched_this_pass
uae-pilot-0094,Art Line Interiors FitOut,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior Decorator,Mazyad Mall - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Art%20Line%20Interiors%20FitOut&query_place_id=ChIJMbwOf9AG3I4Rq0aKh6efSD0,not_enriched_this_pass
uae-pilot-0106,Azizi Engineering Office,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,67RC+3R - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Azizi%20Engineering%20Office&query_place_id=ChIJD4K7PgBDXz4RdoFeq3QstTk,not_enriched_this_pass
uae-pilot-0118,Binseena Pharmacy,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Hospital,67MH+VFV - Satwa Roundabout - Al Satwa - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Binseena%20Pharmacy&query_place_id=ChIJv2oVifxCXz4RYV7HdhpE57Q,not_enriched_this_pass
uae-pilot-0120,Blox Building Contracting LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,67PH+G3V - Al Diyafah Street - Al Hudaiba - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Blox%20Building%20Contracting%20LLC&query_place_id=ChIJXeJwsv1CXz4RRQMFg4GCHvQ,not_enriched_this_pass
uae-pilot-0127,CAPE Interior | Architecture,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Hudaiba Awards Building - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=CAPE%20Interior%20%7C%20Architecture&query_place_id=ChIJ352uQTpDXz4RaMp2EhjM6N4,not_enriched_this_pass
uae-pilot-0136,Centre Line Interiors (New Office),eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,Building No: 333762 Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Centre%20Line%20Interiors%20(New%20Office)&query_place_id=ChIJZ9XBHMZDXz4RBwOoX3pKGoM,not_enriched_this_pass
uae-pilot-0138,CHUNGHWA BUILDING MATERIAL LLC OPC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,Capital mall - Shop number BA027 - Mohamed Bin Zayed City - ME2 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=CHUNGHWA%20BUILDING%20MATERIAL%20LLC%20OPC&query_place_id=ChIJZ847255HXj4RYAGnaP03UGM,not_enriched_this_pass
uae-pilot-0139,Cititrans Logistics (Head Office),eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Logistics service,Al Mina Road - Al Hudaiba Awards Building - B Block Office No. 505 & 506 - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Cititrans%20Logistics%20(Head%20Office)&query_place_id=ChIJy5wzGkqnewURh892_2jozps,not_enriched_this_pass
uae-pilot-0143,commercial interior design company,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Latifa Tower - 21st floor - 8th Sheikh Zayed Rd - Umm Suqeim - Umm Suqeim 3 - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=commercial%20interior%20design%20company&query_place_id=ChIJwQO9EYZDXz4RQ5TBEQf8qgI,not_enriched_this_pass
uae-pilot-0149,CoralFlair Building Contracting LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,DREC Building - Al Mina St - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=CoralFlair%20Building%20Contracting%20LLC&query_place_id=ChIJqcEe-0BDXz4RMLHVIZqv3pE,not_enriched_this_pass
uae-pilot-0150,Core Accounting & Book Keeping LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,"102, Al Baker Plaza Building - Mankhool - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Core%20Accounting%20%26%20Book%20Keeping%20LLC&query_place_id=ChIJC7sU7O5DXz4R-GkkhV3rsTk,not_enriched_this_pass
uae-pilot-0155,Dar al amal general maintanence,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Home builder,New - Al Falah - FA8 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Dar%20al%20amal%20general%20maintanence&query_place_id=ChIJq1RNo2lLXj4Ry0OiCgGRhKI,not_enriched_this_pass
uae-pilot-0168,DLI - Design Line Interiors,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,7 1st St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=DLI%20-%20Design%20Line%20Interiors&query_place_id=ChIJ__-PgABDXz4RLoLsG_QTi68,not_enriched_this_pass
uae-pilot-0169,DMC Global Logistics L.L.C - Abu Dhabi Branch,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Logistics service,Office No. 51 | 15th Floor Al Firdous Tower - Hamdan Bin Mohammed St - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=DMC%20Global%20Logistics%20L.L.C%20-%20Abu%20Dhabi%20Branch&query_place_id=ChIJL_j-OeFnXj4R3nfAw-ycOb4,not_enriched_this_pass
uae-pilot-0176,Drawn to Design,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,194-216 - 194 Hayy Juma Hayy Al Hameli St - Khalifa City - Sector 15 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Drawn%20to%20Design&query_place_id=ChIJRaaZayppXj4RqwYAj3KJTKg,not_enriched_this_pass
uae-pilot-0177,DREAM LINE INTERIOR DESIGN,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,capital mall - Mohamed Bin Zayed City - ME2 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=DREAM%20LINE%20INTERIOR%20DESIGN&query_place_id=ChIJr7Db4ZFHXj4RJiApR_EwZvA,not_enriched_this_pass
uae-pilot-0178,Drydocks World Dubai-Medical Department,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Hospital,67WF+953 - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Drydocks%20World%20Dubai-Medical%20Department&query_place_id=ChIJ2dlhvlBDXz4RFo6XELRKpmo,not_enriched_this_pass
uae-pilot-0187,Elite Cas Auditing,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,Naif Building Office 15 - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Elite%20Cas%20Auditing&query_place_id=ChIJ9XLXUg1DXz4RmRWHyESmkQg,not_enriched_this_pass
uae-pilot-0190,Emirates Logistics,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Shipping service,FCW5+C9 - Al Reem Island - Shams Abu Dhabi - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Emirates%20Logistics&query_place_id=ChIJB2Z5dT9mXj4RsLFQDaPnExw,not_enriched_this_pass
uae-pilot-0192,Emirates SAS Engineering Consultants,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Engineering consultant,145 2C St - Al Hudaiba - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Emirates%20SAS%20Engineering%20Consultants&query_place_id=ChIJ79T85wNDXz4RC3pfOb68pgM,not_enriched_this_pass
uae-pilot-0193,EMIRATES SUN CONTRACTING CO LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,Office Land Building - 46B St - Al Karama - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=EMIRATES%20SUN%20CONTRACTING%20CO%20LLC&query_place_id=ChIJSQbzCABDXz4RJ94dxEeJKto,not_enriched_this_pass
uae-pilot-0196,EPC Division - Drydocks World Dubai,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,67WF+647 - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=EPC%20Division%20-%20Drydocks%20World%20Dubai&query_place_id=ChIJ2bTYx_VDXz4R2E9bdC1R8cY,not_enriched_this_pass
uae-pilot-0205,Fast Wing Accounting And Bookkeeping Llc,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,"Building, P114 Sheikha Maryam Building - Metro - 114, off- NO-406 - cabin no 30 p - near Baniyas squre - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Fast%20Wing%20Accounting%20And%20Bookkeeping%20Llc&query_place_id=ChIJwZsro6JDXz4RXaAzeBO60cE,not_enriched_this_pass
uae-pilot-0210,FREE4LANCE,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Logistics service,ANSA GALLERY - 1ST FLOOR - Al Karama - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=FREE4LANCE&query_place_id=ChIJs3tBom1hXz4RaXYMaLQiI90,not_enriched_this_pass
uae-pilot-0217,GEN sler Interior design,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Home builder,Shopping Center - Al Daahi st - near Makani - Al Shamkhah - SH8 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=GEN%20sler%20Interior%20design&query_place_id=ChIJ5dguRwBLXj4R4lbSvDQP40Y,not_enriched_this_pass
uae-pilot-0222,Global Experience General Contracting Company,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,"Hamdan Street, Arab Tower Building, #501 Al Maraziyah - Abu Dhabi - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Global%20Experience%20General%20Contracting%20Company&query_place_id=ChIJC56e6V1mXj4RnRO3wiiWSyU,not_enriched_this_pass
uae-pilot-0227,GREENX LANDSCAPING,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Landscape designer,"Mazyad Mall, mall business centre - Mazyad - Abu Dhabi - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=GREENX%20LANDSCAPING&query_place_id=ChIJL1j2dURnXj4RJ0aO9msR9Qw,not_enriched_this_pass
uae-pilot-0233,Hastane,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Hospital,38 Al Dhiyafah Rd - Al Bada' - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Hastane&query_place_id=ChIJdW9rDP5CXz4RdszJHcp0MAc,not_enriched_this_pass
uae-pilot-0238,Hemasco International General Maintenance,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,"Rose Bldg, Office No 104, Opp Satwa Bus Station - 49 Al Diyafah Street - Al Hudaiba - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Hemasco%20International%20General%20Maintenance&query_place_id=ChIJN29k3QJDXz4RH8-ptUHu1_4,not_enriched_this_pass
uae-pilot-0240,Hira interior design and fitout,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Abudhabi Mezyad mall - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Hira%20interior%20design%20and%20fitout&query_place_id=ChIJg5PTsKpHXj4RbPNeOycd16c,not_enriched_this_pass
uae-pilot-0242,Hospital Helipad1,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Heliport,108 ربدان - Al Rawdah - W59 01 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Hospital%20Helipad1&query_place_id=ChIJ4ewrVDxpXj4RrQLppc_sQ5A,not_enriched_this_pass
uae-pilot-0243,Hossain,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Medical Center,67RC+9XP - Al Hudaiba Rd - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Hossain&query_place_id=ChIJxakUPABDXz4R53ISuRznFjI,not_enriched_this_pass
uae-pilot-0254,Inner Concept,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,14 Al Khrais St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Inner%20Concept&query_place_id=ChIJ9d8JNKg4Xj4RX_CuZWENq94,not_enriched_this_pass
uae-pilot-0256,Interior Design Course,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Interior%20Design%20Course&query_place_id=ChIJuddNRi9HXj4RjATDknU5rqQ,not_enriched_this_pass
uae-pilot-0276,Leyla Design,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Al Mina St - Al Bada' - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Leyla%20Design&query_place_id=ChIJE2AMSoFDXz4RL176QpT9vCw,not_enriched_this_pass
uae-pilot-0282,M9Decoration design&fit,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,شعبية، بناية 55 - Me_10 - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=M9Decoration%20design%26fit&query_place_id=ChIJDcxfz9g5Xj4RM8EqpoDBIzA,not_enriched_this_pass
uae-pilot-0285,Maintenance,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,,,,https://www.google.com/maps/search/?api=1&query=Maintenance&query_place_id=ChIJWV68EwhVOIwRs3rxeU9LvpE,not_enriched_this_pass
uae-pilot-0286,Maintexx Interiors UAE,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Mazyad Mall - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Maintexx%20Interiors%20UAE&query_place_id=ChIJ08FSHR9HXj4RYWBGWbdr-I0,not_enriched_this_pass
uae-pilot-0287,Majestic Engineering Consultants ماجستيك للاستشارات الهندسية,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Engineering consultant,91 Al Qimmah Street - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Majestic%20Engineering%20Consultants%20%D9%85%D8%A7%D8%AC%D8%B3%D8%AA%D9%8A%D9%83%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9&query_place_id=ChIJaVxyRGRHXj4Rwv-nGAoI99w,not_enriched_this_pass
uae-pilot-0288,"Make My Accounts. Accounting Services in Dubai. VAT Consultancy, CFO Services & Audit Services in Dubai",eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,sunil.kataria@makemyaccounts.com The Burjuman، Business Tower Office 30 - Level 13 Sheikh Zayed Rd - Mankhool - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Make%20My%20Accounts.%20Accounting%20Services%20in%20Dubai.%20VAT%20Consultancy%2C%20CFO%20Services%20%26%20Audit%20Services%20in%20Dubai&query_place_id=ChIJa4QBnjtDXz4Rj_Bu4NX30Q8,not_enriched_this_pass
uae-pilot-0291,Marine Valley Shipping & Logistics Services,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Shipping service,Al Manhal - W15 01 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Marine%20Valley%20Shipping%20%26%20Logistics%20Services&query_place_id=ChIJ-zv4upRBXj4RSLr_9kf5EBE,not_enriched_this_pass
uae-pilot-0295,Mayas Consultancy Engineers,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Engineering consultant,Al Bareed St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Mayas%20Consultancy%20Engineers&query_place_id=ChIJwYUcyKFHXj4RIK1mwq8T1Zo,not_enriched_this_pass
uae-pilot-0298,MCM,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,2 - 1 10A St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=MCM&query_place_id=ChIJNwsOzDBDXz4RHKC9BneZwZw,not_enriched_this_pass
uae-pilot-0308,MOHAMED ISMAIL BUILDING,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,78F7+MPV - 14D St - Naif - Deira - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=MOHAMED%20ISMAIL%20BUILDING&query_place_id=ChIJp3AaVUtDXz4Rwj1iCCb-jko,not_enriched_this_pass
uae-pilot-0313,Munazuri Design Studio,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,Jumeirah Beach Road Drydocks Medical Centre Building Ground Floor Apartment 114 55389 - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Munazuri%20Design%20Studio&query_place_id=ChIJ6zo2SwdDXz4RGE8Kt9TE4NA,not_enriched_this_pass
uae-pilot-0322,New Building,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,7 10th St - Al Sabkha - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=New%20Building&query_place_id=ChIJ-2L1P0ZDXz4RQDfesz5heYo,not_enriched_this_pass
uae-pilot-0323,New Derma Health International Medical Centre,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Medical Center,"Shopping center - Office 206, Al Diyafa - 2nd December St - above Taza Restaurant - Al Bada' - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=New%20Derma%20Health%20International%20Medical%20Centre&query_place_id=ChIJbYpdT_xCXz4RZCrXCGrEnLQ,not_enriched_this_pass
uae-pilot-0325,Nice View Technical Service,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Landscape designer,,,,https://www.google.com/maps/search/?api=1&query=Nice%20View%20Technical%20Service&query_place_id=ChIJWV_M6wvY2y8Ro9z8UVtjJ04,not_enriched_this_pass
uae-pilot-0328,No company,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,67MH+X7J - Al Bada' - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=No%20company&query_place_id=ChIJA6zA_5VDXz4RHHTOlRYF47o,not_enriched_this_pass
uae-pilot-0332,North Atlantic Logistics LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Freight forwarding service,F9VG+6F9 - Sheikh Zayed Bin Sultan St - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=North%20Atlantic%20Logistics%20LLC&query_place_id=ChIJQaAtBVtmXj4Rh1LpqMAYLNU,not_enriched_this_pass
uae-pilot-0339,Octopus Decor,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,شعبية - Ad Duha St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Octopus%20Decor&query_place_id=ChIJgwyCoZtHXj4RmAPoCttY16w,not_enriched_this_pass
