boursa_name,normalized_name,ticker,sector,boursa_reference,official_domain,careers_ats_url,kuwait_presence,current_job_evidence,existing_canonical_id,dedup_result,employer_outcome,evidence_quality,notes
National Industries Group Holding - KPSC,National Industries Group Holding -,NIND,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-national-industries-group (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Kuwait Telecommunications Company K.S.C.P.,Kuwait Telecommunications Company .,STC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,kuwait-employer-research.csv lead #1 (hold_manual_review) -- 'Kuwait Telecommunications Company K.S.C.P.' is stc/VIVA Kuwait's formal legal/listing name,already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Boursa Kuwait Securities Company K.P.S.C.,Boursa Kuwait Securities Company .,BOURSA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-boursa-kuwait (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Gulf Insurance Group K.S.C.P.,Gulf Insurance Group .,GINS,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-gulf-insurance-group (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Jazeera Airways K.S.C.P.,Jazeera Airways .,JAZEERA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-jazeera-airways (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
United Real Estate Company K.S.C.P.,United Real Estate Company .,URC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,"cc-united-real-estate-company-urc (staged this pilot, supplied lead #32)",already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Ali Al-Ghanim Sons Automotive Company K.S.C.P.,Ali Al-Ghanim Sons Automotive Company .,ALG,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,"cc-ali-alghanim-sons-automotive-company (staged this pilot, independent discovery)",already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Humansoft Holding Company K.S.C.P.,Humansoft Holding Company .,HUMANSOFT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-humansoft-holding (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Warba Insurance and Reinsurance Company (K.S.C.P.),Warba Insurance and Reinsurance Company (.),WINSRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,"cc-warba-insurance-reinsurance-company (staged this pilot, independent discovery)",already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Palms Agro Production Company K.S.C.P,Palms Agro Production Company,PAPCO,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,"cc-palms-agro-production-company (staged this pilot, supplied lead #38)",already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Al Ahli Bank of Kuwait K.S.C.P.,Al Ahli Bank of Kuwait .,ABK,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://abk.eahli.com,https://careers.eahli.com/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Boubyan Petrochemical Company K.S.C.P.,Boubyan Petrochemical Company .,BPCC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.boubyan.com,https://boubyan.com/careers/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Gulf Cables and Electrical Industries Group Company - KPSC,Gulf Cables and Electrical Industries Group Company -,CABLE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,http://www.gulfcable.com,https://www.gulfcable.com/apply,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Kuwait Cement Company K.P.S.C.,Kuwait Cement Company .,KCEM,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://kuwaitcement.com,https://kuwaitcement.com/?lang=en,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
IFA Hotels and Resorts - KPSC,IFA Hotels and Resorts -,IFAHR,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.ifahotelsresorts.com,https://www.ifahotelsresorts.com/en/join-us,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Salhia Real Estate Company K.S.C.P.,Salhia Real Estate Company .,SRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.salhia.com,https://www.salhia.com/career/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
ACICO Industries Company - K.S.C. (Public),ACICO Industries Company - . (Public),ACICO,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://acicogroup.com,https://acicogroup.com/jobs/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
National Investments Company K.S.C.P.,National Investments Company .,NINV,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.nic.com.kw,https://www.nic.com.kw/careers/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Al-Ahleia Insurance Company S.A.K.P.,Al-Ahleia Insurance Company S.A.K.P.,AINS,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.alahleia.com,https://www.alahleia.com/Vacancies.aspx,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Oula Fuel Marketing Company - KSCP,Oula Fuel Marketing Company -,OULAFUEL,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.oula1.com,https://oula1.com/oula/career.html,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Automated Systems Company - KPSC,Automated Systems Company -,ASC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,http://www.asc-me.net,https://www.asc-me.net/Career.aspx,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Heavy Engineering Industries and Shipbuilding Company K.S.C.P.,Heavy Engineering Industries and Shipbuilding Company .,SHIP,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.heisco.com,https://www.heisco.com/careers.html,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Kuwait Reinsurance Company K.S.C.P.,Kuwait Reinsurance Company .,KUWAITRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://kuwaitre.com,https://kuwaitre.com/careers/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Kuwait Insurance Company S.A.K.P.,Kuwait Insurance Company S.A.K.P.,KINS,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.kic-kw.com,https://www.kic-kw.com/english/careers,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Arkan Al-Kuwait Real Estate Company K.S.C.P.,Arkan Al-Kuwait Real Estate Company .,ARKAN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://arkanalkuwait.com,https://arkanalkuwait.com/careers/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
United Projects Company For Aviation Services K.S.C.P.,United Projects Company For Aviation Services .,UPAC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.upac.com.kw,https://www.upac.com.kw/careers/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
National Industries Company - KPSC,National Industries Company -,NICBM,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.nicbm.com,https://www.nicbm.com/en/application,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
A'ayan Real Estate Company K.S.C.P.,A'ayan Real Estate Company .,AAYANRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.aayanre.com,https://www.aayanre.com/careers.php,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
National Cleaning Company K.P.S.C.,National Cleaning Company .,CLEANING,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://ncc-kw.com,https://ncc-kw.com,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
"Digitus Group for Digital Infrastructure, Data Centers & Communications (K.S.C.P)","Digitus Group for Digital Infrastructure, Data Centers & Communications ()",DIGITUS,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://digitusg.com,https://digitusg.com/career/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Trolley General Trading Company K.S.C.C.,Trolley General Trading Company C.,TROLLEY,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://trolley.com.kw,https://careers.trolley.com.kw/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Tamdeen Real Estate Company - KPSC,Tamdeen Real Estate Company -,TAM,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.tamdeen.com,https://careers.tamdeen.com,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Shamal Az-Zour Al-Oula Power and Water Company KSC (Public),Shamal Az-Zour Al-Oula Power and Water Company  (Public),AZNOULA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://aznoula.com,https://aznoula.com/career/,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Commercial Facilities Company S.A.K.P.,Commercial Facilities Company S.A.K.P.,FACIL,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.cfc-kw.com,https://www.cfc-kw.com/forms/7,"confirmed (Kuwait-listed, Kuwait-headquartered)",careers page/portal confirmed; specific live listing not individually re-verified for every row,new,new_employer_candidate,approve_unchanged,medium-high (official domain + confirmed careers page),Verified this pass: real Boursa Kuwait-listed company with a confirmed official domain and a distinct careers page/portal (not just the root domain).
Kuwait International Bank K.S.C.P.,Kuwait International Bank .,KIB,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.kib.com.kw,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
National Real Estate Company - K.P.S.C.,National Real Estate Company - .,NRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,http://www.nrec.com.kw/en,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
Kuwait National Cinema Company (K.P.S.C),Kuwait National Cinema Company (),KCIN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,http://www.kncc.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
Al Kout Industrial Projects Company K.S.C.P.,Al Kout Industrial Projects Company .,ALKOUT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.alkoutprojects.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
Munshaat Real Estate Projects Company K.S.C.P.,Munshaat Real Estate Projects Company .,MUNSHAAT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.munshaat.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
JTC Logistics Transportation & Stevedoring Co. K.S.C.P.,JTC Logistics Transportation & Stevedoring Co. .,JTC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.jtckw.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
