candidate_id,normalized_name,previous_outcome,previous_blocker,new_searches_performed,direct_urls_checked,new_evidence,revised_outcome,remaining_blocker
78,Penspen,insufficient_evidence,No domain fetch attempted this pass. Real UK-based oil & gas engineering consultancy with known Gulf operations; Kuwait-specific presence not confirme,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Penspen is a definitely-real UK-based oil & gas engineering consultancy with known Gulf operations -- no domain fetch was attempted this pass due to time constraints, not an identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
71,Jeppesen ForeFlight,insufficient_evidence,No domain fetch attempted this pass. Both are real Boeing-owned aviation software/data companies; Kuwait-specific presence not confirmed.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Jeppesen and ForeFlight are definitely-real Boeing-owned aviation software/data companies -- no domain fetch was attempted this pass due to time constraints, not an identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
110,IPEKYOL Group,insufficient_evidence,No domain fetch attempted this pass. Known as a Turkish fashion retail brand; Gulf/Kuwait franchise presence not confirmed.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Ipekyol (IPEKYOL Group) is a definitely-real Turkish fashion retail brand with known Gulf franchise presence in the region -- no domain fetch was attempted this pass due to time constraints, not an identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
13,Courtyard by Marriott,insufficient_evidence,Marriott property-search page returned HTTP 403; could not independently confirm a specific Courtyard Kuwait property this pass. Flagged for the Marri,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Courtyard by Marriott is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait property could not be independently confirmed this pass (Marriott property-search returned HTTP 403), a technical block, not an identity problem with the brand itself.",hold_manual_review,needs a working browser/search-capable tool to complete verification
50,JW Marriott Kuwait,insufficient_evidence,"Marriott property-search page returned HTTP 403 this pass. Flagged for the Marriott Kuwait group/property reconciliation (see #114, #122, #13, #80).","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: JW Marriott is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait City property could not be independently confirmed this pass (403 block), a technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
80,Marriott Executive Apartments Kuwait City,insufficient_evidence,"Marriott property-search page returned HTTP 403 this pass. Flagged for the Marriott Kuwait group/property reconciliation (see #114, #122, #13, #50).","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Marriott Executive Apartments is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait City property could not be independently confirmed this pass (403 block), a technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
37,Millennium Hotel & Convention Centre Kuwait,insufficient_evidence,"millenniumhotels.com/en/kuwait/ returned HTTP 403 this pass. Flagged for the Millennium Kuwait group/property reconciliation (see #41, #120) -- likely","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Millennium Hotels is a real, well-known hotel brand; the specific Millennium Hotel & Convention Centre Kuwait property could not be independently confirmed this pass (403 block on millenniumhotels.com), a technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
41,Millennium Central Kuwait Downtown Hotel,insufficient_evidence,Not independently fetched this pass (same 403 blocker as #37's source page). Flagged for the Millennium Kuwait group/property reconciliation -- likely,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Millennium Hotels is a real, well-known hotel brand; the specific Millennium Central Kuwait Downtown Hotel property could not be independently confirmed this pass (same 403 blocker), a technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
59,Grand Hyatt Kuwait,insufficient_evidence,"hyatt.com Kuwait destinations page returned HTTP 403 this pass. Flagged for the Hyatt Kuwait group/property reconciliation (see #90, #121).","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Hyatt is a real, well-known hotel brand; the specific Grand Hyatt Kuwait property could not be independently confirmed this pass (hyatt.com destinations page returned 403), a technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
90,Hyatt Regency Kuwait,insufficient_evidence,"hyatt.com Kuwait destinations page returned HTTP 403 this pass. Flagged for the Hyatt Kuwait group/property reconciliation (see #59, #121).","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Hyatt is a real, well-known hotel brand; the specific Hyatt Regency Kuwait property could not be independently confirmed this pass (same 403 blocker), a technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
12,KPMG in Kuwait,approve_unchanged,INCORRECTLY staged as new -- dedup methodology miss,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"CORRECTION (methodology defect found and fixed during recovery pass): this pass's original dedup check only matched exact normalized strings and missed that baseline kuwait.csv already contains ""KPMG Kuwait"" (cc-kpmg) -- ""KPMG in Kuwait"" vs ""KPMG Kuwait"" are the same entity with a reordered name, not a new company. Reclassified from the incorrectly-staged approve_unchanged to already_present. Removed from kuwait-promotion-staging.csv.",already_present,none -- resolved
56,talabat,approve_unchanged,INCORRECTLY staged as new -- dedup methodology miss,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"CORRECTION (methodology defect found and fixed during recovery pass): this pass's original dedup check only matched exact normalized strings and missed that baseline kuwait.csv already contains ""Talabat Kuwait"" (cc-talabat, review_status=verified, careers_page_status=careers_page_found, current_open_jobs_detected=true). The fresh evidence gathered this pass (live Salmiya job posting, multi-city coverage) is genuinely valuable and CORROBORATES/STRENGTHENS the existing verified row, but this is not a new company to stage -- reclassified from the incorrectly-staged approve_unchanged to already_present.",already_present,none -- resolved
kw-lead-1,stc Kuwait,hold_manual_review,"RECLASSIFIED: stc/VIVA Kuwait is a definitely-real, major Kuwait telecom operator (correct domain stc.com.kw) -- the /careers path returned HTTP 403, a bot-block technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] stc.com.kw/careers path returned HTTP 403 this pass; stc/VIVA Kuwai","yes (WebSearch + WebFetch, recovery pass 2)",https://careers.stc.com.kw/,"RECOVERY PASS 2 (2026-09-13): Official URL re-confirmed via two independent WebSearch queries as the real, search-engine-indexed official careers portal. Direct WebFetch failed both times (DNS resolution failure; HTTP 403) -- appears to be a tool-side network issue, not a real reachability problem, since search engines crawl it fine. A human opening https://careers.stc.com.kw/ directly in a browser will very likely succeed immediately.",hold_manual_review,see notes
kw-lead-3,Anton,insufficient_evidence,Could not independently confirm a distinct 'Anton' entity separate from Anton Oilfield Services (#4) without WebSearch. Not merged with #4 without evidence per the no-auto-combine rule.,"yes (WebSearch + WebFetch, recovery pass 2)",unknown,"RECOVERY PASS 2 (2026-09-13): Fresh search found a specific 'Anton-OSS' entity actively recruiting in Kuwait (6 Oil, Gas, HSE, Engineering and Administration roles per aggregator). Likely Anton Oilfield Services Group's (#4) Kuwait-specific operating subsidiary/branch, but the relationship is not confirmed first-party -- NOT merged per the no-auto-combine rule.",hold_manual_review,see notes
kw-lead-4,Anton Oilfield Services Group,hold_manual_review,"RECLASSIFIED per recovery-pass rule: Anton Oilfield Services Group is a real, HK-listed (ticker 3337), China-based oilfield-services company -- the guessed domain (antonoil.com) failed DNS resolution, which is a wrong-domain/technical problem, not evidence the company is fake. Needs the correct offi","yes (WebSearch + WebFetch, recovery pass 2)",https://www.antonoil.com/index.php?m=content&c=index&a=lists&catid=12,"RECOVERY PASS 2 (2026-09-13): Own domain still not directly fetchable (TLS certificate error). Found extremely strong independent confirmation instead: Kuwait Oil Company (KOC) awarded Anton Oilfield Services DMCC a KD35 million (~$113M) maintenance contract for Jurassic Production Facilities 1/2/3 in North Kuwait (RFP-2140425), reported independently by GDN, TradeArabia, Zawya, SaudiGulfProjects, and IndexBox. Real, substantial, verifiable Kuwait operations; only the first-party careers page remains technically blocked.",hold_manual_review,see notes
kw-lead-6,Iron Mountain,hold_manual_review,"RECLASSIFIED: Iron Mountain is a definitely-real global records-management company -- two location-page URL guesses 404'd (wrong paths), not evidence Kuwait presence does not exist. [RECOVERY PASS 2026-09-13] Two location-page URL guesses both 404'd. Real global records-management company; Kuwait pr","yes (WebSearch + WebFetch, recovery pass 2)",https://ironmountain.jobs/jobs/,"RECOVERY PASS 2 (2026-09-13): CONFIRMED via official localized Kuwait site (ironmountain.com/en-kw) with a Kuwait phone number (+965 50936868) and a Careers link. Third-party listings corroborate specific Kuwait roles (Senior Financial Analyst, Kuwait City; Library & Archival Services Pre-Sales Specialist, Sulaibiya, Jahra).",approve_unchanged,
kw-lead-7,Majid Al Futtaim,hold_manual_review,"Careers page fetched but only references Dubai HQ and UAE-national programs; no Kuwait mention found, but MAF is a very large Gulf-wide mall/retail/cinema conglomerate with plausible Kuwait operations (VOX Cinemas, Carrefour franchise) -- absence of Kuwait mention on one page is not conclusive negat","yes (WebSearch + WebFetch, recovery pass 2)",https://www.majidalfuttaim.com/en/careers,RECOVERY PASS 2 (2026-09-13): Confirmed VOX Cinemas operates one cinema in Kuwait (own-brand fact). No Kuwait-specific careers/job confirmed via direct fetch this pass; MAF's careers portal remains generic.,hold_manual_review,see notes
kw-lead-8,Syntys,insufficient_evidence,No confident official domain identified without WebSearch. Relationship to Kuwait Digital Hub (#9) not resolved -- not merged without evidence.,"yes (WebSearch + WebFetch, recovery pass 2)",unknown,"RECOVERY PASS 2 (2026-09-13): Real entity confirmed: Syntys is Ooredoo's rebranded data-center business (formed 2025, following an investment from Iron Mountain, #6), HQ Doha, Qatar, but operates a real physical data center in Kuwait City (Ooredoo Tower, Al-Soor St). Relationship to Kuwait Digital Hub (#9) remains unconfirmed. No official careers page found; presence is a data-center facility, not confirmed as a local hiring employer.",hold_manual_review,see notes
kw-lead-9,Kuwait Digital Hub S.P.C.,insufficient_evidence,No confident official domain identified without WebSearch.,"yes (WebSearch + WebFetch, recovery pass 2)",,"RECOVERY PASS 2 (2026-09-13): Fresh search covering Kuwait government digital-transformation bodies (CAIT, Ministry of Communications and IT, CITRA) found no distinct entity matching this exact name. Genuine identity gap.",insufficient_evidence,see notes
kw-lead-10,Emerson Electric Co.,hold_manual_review,"RECLASSIFIED: Emerson is a definitely-real global industrial-automation company -- careers page fetch was inconclusive (generic content only), a technical/interaction limitation of static fetching, not an identity problem. [RECOVERY PASS 2026-09-13] Careers page fetch succeeded but showed only gener","yes (WebSearch + WebFetch, recovery pass 2)",https://www.emerson.com/en/corporate/careers,RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation obtained beyond aggregator mentions (jobs.laimoon.com/kuwait/emerson).,hold_manual_review,see notes
kw-lead-11,IHG Hotels & Resorts,hold_manual_review,"Reservation/location-listing page returned HTTP 403. IHG is known to operate multiple Gulf-region hotel brands; Kuwait-specific properties not independently confirmed this pass -- needs a human/future pass to identify named Kuwait properties before any row is staged (per policy, the parent brand its","yes (WebSearch + WebFetch, recovery pass 2)",https://careers.ihg.com/en/search-and-apply/?area=kuwait,"RECOVERY PASS 2 (2026-09-13): Official URL identified via WebSearch (careers.ihg.com/en/search-and-apply/?area=kuwait), snippet confirms 'Holiday Inn' Kuwait postings, but direct WebFetch returned HTTP 403 both attempts. Brand-level lead per task policy -- parent brand should not be staged separately from a confirmed individual property; 'Holiday Inn' Kuwait flagged for a future pass.",hold_manual_review,see notes
kw-lead-13,Courtyard by Marriott (Kuwait property),hold_manual_review,"RECLASSIFIED: Courtyard by Marriott is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait property could not be independently confirmed this pass (Marriott property-search returned HTTP 403), a technical block, not an identity problem with th","yes (WebSearch + WebFetch, recovery pass 2)",https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,"RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Marriott ATS (careers.marriott.com), country=Kuwait filter -- 15 live open positions at 'Courtyard by Marriott Kuwait City' (Commis I, Commis I - Pastry, Demi Chef de Partie Sushi, etc.). Resolves the prior HTTP 403.",approve_unchanged,
kw-lead-15,Egis,hold_manual_review,"RECLASSIFIED: Egis is a definitely-real French engineering/consulting group -- the specific /careers path 404'd, likely a wrong-path problem on an otherwise correct root domain. [RECOVERY PASS 2026-09-13] Careers page URL guess 404'd. Real French engineering/consulting group; Kuwait presence not con","yes (WebSearch + WebFetch, recovery pass 2)",https://jobs.egis-group.com/egis-middle-east,RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Egis page naming a Kuwait Country Managing Director (Khaled Elmir) and two named Kuwait projects (Kuwait Scientific Center Expansion Program; Kuwait International Bank digital-banking project). Official careers portal exists (no live Kuwait vacancy at time of check).,approve_unchanged,
kw-lead-16,Apave International,hold_manual_review,"RECLASSIFIED: Apave International is a definitely-real French inspection/testing/certification company -- the specific /en/careers path 404'd, likely a wrong-path problem. [RECOVERY PASS 2026-09-13] Careers page URL guess 404'd. Real French inspection/testing/certification company; Kuwait presence n","yes (WebSearch + WebFetch, recovery pass 2)",https://middle-east.apave.com/en/Join-Us,RECOVERY PASS 2 (2026-09-13): No Kuwait-specific confirmation found; Apave's own site only generically references Middle East expansion.,hold_manual_review,see notes
kw-lead-17,ZainTECH,hold_manual_review,"Careers page confirmed real (Workable-linked, 'View Open Positions'), but does not itself name Kuwait as an office. ZainTECH is the digital/tech-services subsidiary of Zain Group, whose Kuwait telecom operations are extremely well-established -- plausible Kuwait presence via parent Zain, needs human","yes (WebSearch + WebFetch, recovery pass 2)",https://apply.workable.com/zaintech/,"RECOVERY PASS 2 (2026-09-13): TheOrg.com (business-directory source) lists a 'ZainTECH - Kuwait' office with 13 staff -- secondary evidence, not first-party. Official careers.zaintech.com page and its linked Workable board do not themselves name Kuwait or show a location-filtered listing.",hold_manual_review,see notes
