review_id,lead_number,raw_name,normalized_name,official_domain,blocker,evidence_urls,action_needed
KW-HOLD-011,19,Cisco,"Cisco Systems, Inc.",https://www.cisco.com,"RECLASSIFIED: Cisco is a definitely-real global technology company -- the generic careers page loaded fine but showed no location-filtered results, a static-fetch interaction limitation, not an identity problem. [RECOVERY PASS 2026-09-13] General careers overview page fetched; showed no location-specific job listings (Kuwait or otherwise) without using the internal search/filter tool, which requires interaction beyond a static fetch. No Kuwait-specific evidence obtained this pass.

RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation; only generic third-party job-board mentions found.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-012,20,Hilton,Hilton Worldwide,https://www.hilton.com,"CONFIRMED 4 Kuwait properties via Hilton's own booking site: Hilton Garden Inn Kuwait, Waldorf Astoria Kuwait, Hampton by Hilton Kuwait Salmiya, and Hilton Kuwait Mangaf Resort (listed as 'Coming Soon'). This is booking-site evidence (secondary), not yet an official careers/HR confirmation -- needs a direct careers-page fetch per property before staging as employer row(s). See group/property reconciliation #123.

RECOVERY PASS 2 (2026-09-13): Re-checked. No official Hilton ATS URL (jobs.hilton.com or equivalent) could be located via WebSearch or direct fetch this pass; hilton.com/en/careers/ 404'd. 4 Kuwait properties remain confirmed only via Hilton's own booking site (secondary) and third-party job boards, not first-party careers/HR evidence. Technical discovery block persists.

PASS 3 (2026-09-13): RESOLVED. Browser extension unavailable this pass; used first-party fallback (WebSearch-crawled official domain). Hilton's real official ATS domain is jobs.hilton.com (previously undiscoverable) -- confirmed via a crawled first-party job-detail URL pattern (jobs.hilton.com/emea/en/job/HOT0B9R3/Concierge-Agent, Al Farwaniya, Kuwait; the specific listing has since expired/404'd on direct re-fetch, consistent with normal ATS churn, same evidence-tier treatment as Siemens' job IDs in the prior pass). 4 Kuwait properties confirmed via Hilton's own hotel pages (hilton.com/en/hotels/kwigigi-hilton-garden-inn-kuwait/, /kwiwawa-waldorf-astoria-kuwait/).

AUDIT CORRECTION (pass 3, 2026-09-13): Reverted from approve_unchanged back to hold_manual_review. The prior upgrade staged the BRAND (Hilton Worldwide) rather than a specific confirmed property, inconsistent with the IHG brand/property policy applied in the same pass. The one live job found (Concierge Agent, Al Farwaniya) does not cleanly match any of the 4 known named Kuwait Hilton properties. A future pass should confirm one specific property (most likely Hilton Garden Inn Kuwait, which has its own confirmed hotel page) with a matching live job before staging.",https://www.hilton.com/en/locations/kuwait/;https://www.hilton.com/en/locations/kuwait/;https://jobs.hilton.com/emea/en/job/HOT0B9R3/Concierge-Agent;https://www.hilton.com/en/hotels/kwigigi-hilton-garden-inn-kuwait/,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-013,23,Accenture,Accenture,https://www.accenture.com,"accenture.com/kw-en/careers returned HTTP 403 this pass. Accenture already has Qatar (cc-accenture-qatar) and Saudi (cc-accenture-sa) rows following an established '-country' suffix convention; a Kuwait row would likely follow the same pattern (cc-accenture-kw) if Kuwait-specific evidence is confirmed. Needs a re-fetch or human browser check.

RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation found; accenture.com/careers is generic.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-014,24,NADEC Foods,National Agricultural Development Company (NADEC),https://www.nadec.com.sa,"RECLASSIFIED per recovery-pass rule: NADEC (National Agricultural Development Company) is a definitely-real, large Saudi dairy/agriculture company -- the only issue is a TLS certificate hostname mismatch on the fetched URL (a hosting/technical problem, not an identity problem). Needs a corrected URL or browser check. [RECOVERY PASS 2026-09-13] Fetch failed with a TLS certificate hostname mismatch (technical issue, not identity evidence). NADEC is a real, large Saudi dairy/agriculture company; Kuwait distribution/office presence not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Fresh search returned only Saudi-specific NADEC career information; no Kuwait-specific evidence found at all this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-015,25,Microsoft,Microsoft Corporation,https://www.microsoft.com,"RECLASSIFIED: Microsoft is a definitely-real global technology company -- careers search redirected repeatedly without reaching final content, a technical/redirect-handling limitation, not an identity problem. [RECOVERY PASS 2026-09-13] Careers search URLs redirected repeatedly (jobs.careers.microsoft.com -> apply.careers.microsoft.com) without reaching a page showing Kuwait-specific results this pass. Microsoft's Gulf operations are typically hubbed regionally (UAE); no confirmed local Kuwait office/careers listing obtained.

RECOVERY PASS 2 (2026-09-13): No Kuwait-specific first-party confirmation found this pass; searches returned only generic 'Microsoft Office skills' listings and aggregator noise.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-016,26,Keeta,Keeta (Meituan international delivery brand),https://hr.meituan.com,"RE-CHECKED this pass: Meituan's own corporate about-us page does not mention ""Keeta"" at all; food.keeta.com does not resolve (DNS failure). The identity conflict from the prior pass stands UNRESOLVED and is now further confirmed as unresolved (not just unattempted) -- keeta.com is confirmed to be an unrelated blockchain-payments company; Meituan's actual Keeta food-delivery domain was still not found without WebSearch. IMPORTANT FINDING: keeta.com resolves to an unrelated blockchain-payments company, NOT Meituan's international food-delivery brand also called 'Keeta'. Meituan's actual Keeta delivery-brand domain was not identified this pass (no WebSearch available). Do not conflate the two -- flagged explicitly so a future pass does not mistakenly treat keeta.com as Meituan's brand.

RECOVERY PASS 2 (2026-09-13): IDENTITY RESOLVED. Meituan's own recruitment domain (zhaopin.meituan.com / hr.meituan.com) -- NOT keeta.com, which remains confirmed as an unrelated blockchain-payments company -- has an official job-search URL explicitly filtered to 'Kuwait_KuwaitCity'. Multiple GulfTalent-hosted postings attributed 'by Keeta' for Kuwait City (Key Account Manager, Sales Operation). Public reporting confirms Keeta launched in Qatar, Kuwait, and UAE in 2025. Held rather than approved only because direct WebFetch of the official ATS hit a JS-rendering limitation.",https://www.keeta.com/;https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity;https://www.gulftalent.com/kuwait/jobs/key-account-manager-457948,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-017,27,THAHAB,THAHAB,,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real: Kuwait City-headquartered luxury e-commerce marketplace platform (THAHAB), 11-50 employees (LinkedIn). No open jobs found on Wuzzuf at time of check. Official domain not independently confirmed.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-018,30,Americana Foods,Americana Foods,https://www.americanafoods.com,"CROSS-REFERENCE: baseline kuwait.csv already contains cc-americana-group (the restaurant-operations entity, see #93 notes) which is historically related but represents the OTHER side of Americana Group's 2022 corporate split (Americana Foods = packaged/manufactured foods business, distinct from the restaurant-franchise business). Not the same entity as cc-americana-group; still no confident official domain identified for Americana Foods specifically. No confident official domain identified without WebSearch. Publicly known to be historically related to Americana Restaurants (#93) via a 2022 corporate split into two separate independent public companies -- not merged without direct Kuwait-specific evidence for either.

RECOVERY PASS 2 (2026-09-13): Official domain confirmed: americanafoods.com (distinct from americanarestaurants.com, #93). Own-site confirms a real Kuwait bakery factory established 1985. No careers/job evidence found this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-019,40,DHL Global Forwarding,DHL Global Forwarding,https://www.dhl.com,"URL guess 404'd this pass. DHL Global Forwarding is part of the very large, well-established DHL/Deutsche Post group with known extensive Gulf logistics operations -- Kuwait presence highly plausible but not independently confirmed this pass; needs a re-check with a corrected URL.

RECOVERY PASS 2 (2026-09-13): Official localized site (dhl.com/kw-en/home/about-us.html) exists but WebFetch timed out this pass. Multiple specific Kuwait job mentions found via aggregators (Facilities & Warehouse Operations Lead, Ardiya, Kuwait) -- not independently re-verified first-party.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-020,44,SSC HR Solutions,SSC HR Solutions,https://soshr.net,"No confident official domain identified without WebSearch. Name suggests an HR/staffing firm -- both employer-role and source-role decisions unresolved. Restated later in the supplied list as item #129 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Fresh search found the real 'SSC HR Solutions' (ssc-hr.com) operates only in Saudi Arabia, Egypt, and UAE -- NOT Kuwait. A genuinely Kuwait-based, similarly-named firm was found instead: 'SOS HR Solutions' (soshr.net, est. 1975). Likely an OCR/transcription mix-up between 'SSC' and 'SOS' -- flagged explicitly for human confirmation rather than silently substituted.

PASS 3 (2026-09-13): Strengthened. 'SOS HR Solutions' (soshr.net / soshrsolutions.com) confirmed with CURRENT open vacancies (HR Specialist, HR Officer, Technical Sales) and a direct contact channel (techkwt@soshr.net). Since 1975. Very high confidence this is the entity meant by supplied lead #44 'SSC HR Solutions' (single-letter transposition, identical business type, only Kuwait-based match found) -- still NOT auto-substituted per the no-guessing rule; flagged for final human sign-off rather than staged under a name that doesn't match what was supplied.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-021,45,Agthia,Agthia Group,https://www.agthia.com,"RECLASSIFIED per recovery-pass rule: Agthia Group is a definitely-real UAE-based F&B/consumer-goods conglomerate -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Real UAE-based F&B/consumer-goods conglomerate; Kuwait presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Own-site confirms Kuwait as one of Agthia's markets and Indeed shows Kuwait City culinary-role listings, but careers.agthia.com did not render a Kuwait-filtered live listing this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-022,46,KBR,"KBR, Inc.",https://www.kbr.com,"RECLASSIFIED: KBR is a definitely-real global engineering/government-services contractor (already has a verified Qatar row, cc-kbr) -- careers page returned HTTP 403, a bot-block technical problem, not an identity problem. Same conservative cross-market-id-reuse caution as the Saudi pass applies if evidence is later found. [RECOVERY PASS 2026-09-13] careers page returned HTTP 403 this pass. KBR already has a Qatar row (cc-kbr) and was held (not promoted) in the Saudi pass for lacking first-party Kuwait/Saudi evidence when reusing a cross-market id -- same conservative treatment applies here: no first-party Kuwait evidence obtained, do not assume.

RECOVERY PASS 2 (2026-09-13): careers.kbr.com Kuwait-keyword search returned no results this pass. Aggregators mention 17 Kuwait-area positions including Al-Jahra -- not first-party confirmed. Same conservative cross-market-id-reuse caution as the Saudi pass applies.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-023,47,Libertex Group,Libertex Group,https://libertex.com,"RE-CHECKED this pass: both libertex.com/careers and libertex.org/careers returned HTTP 403 on independent attempts. Kuwait remote-eligibility remains unconfirmed either way -- do not assume eligibility from a LinkedIn label. careers page returned HTTP 403 this pass. Task explicitly flags this as a remote-eligibility case requiring careful verification (Section 9) -- Kuwait remote-eligibility could not be confirmed or denied this pass; do not assume eligibility from a LinkedIn location label alone.

RECOVERY PASS 2 (2026-09-13): Fresh search confirmed Libertex offers remote roles globally (HQ Limassol, Cyprus, 110+ countries) but found no explicit statement of Kuwait-resident eligibility. Per task rule, a LinkedIn location label alone is insufficient; genuinely unresolved, not assumed either way.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-024,52,Almarai,Almarai Company,https://www.almarai.com,"careers URL guess 404'd this pass. Almarai already has a Saudi row (cc-almarai) and is a major Gulf-wide dairy/FMCG distributor with plausible Kuwait distribution/office presence, but not independently confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Guessed careers URL 404'd again this pass. Third-party sources mention Kuwait store-helper roles; not first-party confirmed.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-025,53,Etoile Group,Etoile Group,https://www.etoilegroup.com,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain etoilegroup.com, established 1983; Kuwait City store renovated/relaunched April 2024; Chanel boutique in Kuwait reopened. No careers page or Kuwait-specific job posting found this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-026,55,AL-Muhalhel Co.,AL-Muhalhel Co.,https://www.almuhalhel.com,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain almuhalhel.com; interior fit-out/construction company since 1999, located in Al Asimah, Kuwait. No careers page or job posting independently confirmed this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-027,57,SimplitIN,SimplitIN,https://simplit.me,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain simplit.me; only Odoo Gold Partner in Kuwait (ERP/CRM/POS consultancy), HQ in Sharq, Kuwait. No careers page or job posting independently confirmed this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-028,58,Fortinet,"Fortinet, Inc.",https://www.fortinet.com,"RECLASSIFIED per recovery-pass rule: Fortinet is a definitely-real, large global cybersecurity company with known Gulf regional presence -- no domain was even attempted this pass (time constraint), so this is an under-researched real entity, not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Real global cybersecurity company with known Gulf regional presence; Kuwait-specific office not confirmed.

RECOVERY PASS 2 (2026-09-13): Search snippet mentions a Major Account Manager role open to candidates 'based in Kuwait, Bahrain, and UAE' -- but the guessed official careers-search URL 404'd, so not independently re-verified first-party.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-029,63,Snoonu,Snoonu,https://snoonu.com,"RECLASSIFIED: Snoonu is a definitely-real company (already has a verified Qatar row, cc-snoonu) -- careers page returned HTTP 403, a bot-block technical problem. Kuwait expansion plausibility unconfirmed either way. [RECOVERY PASS 2026-09-13] careers page returned HTTP 403 this pass. Snoonu already has a Qatar row (cc-snoonu) and is primarily a Qatar-focused delivery/super-app company; no evidence of Kuwait expansion found.

RECOVERY PASS 2 (2026-09-13): snoonu.com/careers returned HTTP 403 again (persistent bot-block), but found strong independent corroboration via entarabi.com (regional business news): Snoonu officially launched Kuwait operations 2026-04-30, hiring ~180 local employees, named CEO of Kuwait operations (Bader Al-Ajeel). Substantially stronger evidence than the prior pass; held rather than approved only for lack of a first-party careers/ATS URL.

PASS 3 (2026-09-13): Re-attempted; snoonu.com/careers still HTTP 403 (persistent bot-block). No Kuwait-specific breakdown found on aggregator career pages (Qureos shows '48 positions, remote or on-site' Qatar-wide, not Kuwait-specific). The 2026-04-30 Kuwait market-entry press release (Zawya, entarabi) remains strong presence evidence, but does not itself constitute an official careers/ATS confirmation -- kept hold pending a working fetch of the official careers page.",https://entarabi.com/en/2026/05/snoonu-announces-its-official-expansion-into-kuwait/,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-030,68,Sanad Education,Sanad Education,https://sanadeducation.co,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Likely match found: 'Sanad Edu' (sanadeducation.co), a Kuwait-based study-abroad education consultancy. Reasonably close but not identical name match ('Sanad Edu' vs 'Sanad Education') -- flagged for human confirmation rather than auto-matched. No careers page confirmed.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-031,69,Amalfi Foods,Amalfi Foods,https://amalfifoods.com,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Real company confirmed, official domain amalfifoods.com, but headquartered in Bahrain, not Kuwait; sells/distributes into Kuwait among many regional markets. Market presence confirmed, but no confirmed local Kuwait office or direct employer relationship.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-032,70,AMICO Group,AMICO Group,https://www.amicogroup.com,"RE-CHECKED this pass: the guessed domain amico-group.com redirects to a domain-resale/parking page (ezdomaindeals.com) -- CONFIRMED this is NOT AMICO Group's real domain. A Wikipedia page search for ""AMICO Group"" also 404'd (no article at that exact title). AMICO's real official domain remains unidentified without WebSearch. No domain fetch attempted this pass. AMICO is publicly known as a Kuwait-founded pharmaceutical/healthcare-distribution group with regional operations -- plausible strong real-world Kuwait presence, but not independently confirmed via direct fetch this pass.

RECOVERY PASS 2 (2026-09-13): Correct official domain identified: amicogroup.com (NOT amico-group.com, a confirmed parked/resale domain). Direct fetch of amicogroup.com/careers hit an HTTP 307 redirect my tool could not follow. Search confirmed 'AMICO Group in Kuwait has announced job vacancies for positions such as Regulatory Affairs Agent and Sales Representative.' AMICO is a Kuwait-founded (1984) medical-device/pharma distribution group -- Kuwait presence essentially certain, but the specific careers fetch remains a technical gap.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-033,71,Jeppesen ForeFlight,Jeppesen / ForeFlight (Boeing subsidiaries),https://jobs.boeing.com,"RECLASSIFIED: Jeppesen and ForeFlight are definitely-real Boeing-owned aviation software/data companies -- no domain fetch was attempted this pass due to time constraints, not an identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Both are real Boeing-owned aviation software/data companies; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): No Kuwait-specific evidence found; Boeing's careers portal lists Jeppesen roles only in Abu Dhabi, Centennial (CO), and San Jose (CA).",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-034,76,Libera Consultants,Libera Consultants,https://www.liberaconsultants.com,"No confident official domain identified without WebSearch. Likely a consulting/recruitment-adjacent firm -- both employer-role and source-role decisions unresolved. Restated later in the supplied list as item #130 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Confirmed real: an oil & gas executive-search/recruitment firm established 2022, headquartered in Dubai, UAE, covering 'across the Middle East region.' No Kuwait-specific office confirmed.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-035,84,Numerica Financial Advisory,Numerica Financial Advisory,https://www.numericaadvisory.com,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Fresh search found only an unrelated US credit union ('Numerica Credit Union', Washington state). No matching Kuwait financial-advisory entity found. Genuine identity gap.

PASS 3 (2026-09-13): RESOLVED IDENTITY. Fresh search found the exact matching entity via its official LinkedIn organization page ('Numerica Financial Advisory') and official domain (numericaadvisory.com). Direct fetch confirmed Kuwait phone numbers (+965 96666002, +965 99211653) on the official site -- Kuwait presence confirmed. No careers/jobs page found in the site navigation (Our Clients, About Us, Our Services, Our Team, Blog, Contact Us only) -- held rather than approved for lack of any careers/hiring evidence.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
