source_name,official_domain,source_type,kuwait_job_coverage,robots_txt_status,tos_status,prior_internal_classification,final_source_decision,requirements_gap_for_higher_tier,evidence,retrieval_date
Kuwait Investment Authority (KIA) — potential portfolio directory,https://www.kia.gov.kw,government_investment_directory,see_notes,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,"Corrected this pass: confirmed to already exist as a verified row in the production kuwait.csv baseline -- was initially mis-logged as a new discovery, now corrected to already_present and excluded from new staging.",2026-09-13
GulfTalent Kuwait (re-verification of existing source),https://www.gulftalent.com/kuwait/jobs,job_board,see_notes,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,"Corrected this pass: confirmed to already exist as a verified row in the production kuwait.csv baseline -- was initially mis-logged as a new discovery, now corrected to already_present and excluded from new staging.",2026-09-13
Egypt Kuwait Holding Company,https://careers.ekholding.com/,boursa_kuwait_listed_company,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",2026-09-13
Boursa Kuwait Listed Companies Directory,https://www.boursakuwait.com.kw/en/participants/participants/listed-companies/,discovery_channel,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",2026-09-13
Public Authority for Manpower (Kuwait),https://www.manpower.gov.kw,official_government_employment_body,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real source with positive access-policy signal (e.g. permissive robots.txt / confirmed portal), but ToS and/or technical structure not fully verified -- correctly held short of automated-ingestion approval.",2026-09-13
Wathif,https://wathif.com,job_board,see_notes,"permissive (only disallows /wp-admin/, allows admin-ajax.php; standard WordPress robots.txt)",not_checked,hold_manual_review,manual_review_only,ToS not checked,"Real source with positive access-policy signal (e.g. permissive robots.txt / confirmed portal), but ToS and/or technical structure not fully verified -- correctly held short of automated-ingestion approval.",2026-09-13
Airswift (Kuwait office),https://www.airswift.com/about/locations/kuwait,recruitment_staffing_agency,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",2026-09-13
NES Fircroft (Kuwait office),https://www.nesfircroft.com/regions/recruitment-in-middle-east/kuwait-jobs/,recruitment_staffing_agency,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",2026-09-13
SOS HR Solutions,https://soshr.net,recruitment_staffing_agency,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",2026-09-13
بيت.كوم,bayt.com,job_board,strong (dedicated Kuwait section,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
تنقيب,kuwait.tanqeeb.com,job_board,strong (dedicated Kuwait Arabic + English sections including a remote-jobs filter),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
السوق المفتوح (OpenSooq),kw.opensooq.com,job_board_classifieds,strong (daily-updated Kuwait jobs section across many categories),not_checked,not_checked,hold_manual_review,reject_unsafe,robots.txt not checked; ToS not checked; documented fraud/safety risk -- permanently excluded regardless of access-policy status,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
بعيد (Baaeed),baaeed.com,job_board_remote,unconfirmed (a general Arabic remote-jobs platform; Kuwait-specific volume not verified this pass),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
البوابة الإلكترونية الرسمية لدولة الكويت (Kuwait e.gov.kw Employment),e.gov.kw,official_government_portal,informational (links to sector-specific government hiring systems rather than hosting listings itself),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
ديوان الخدمة المدنية - نظام التوظيف المركزي,portal2.csc.gov.kw,official_government_job_portal,strong (explicit 'Central Recruitment' / job-seeker-registration system for Kuwaiti nationals),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
الهيئة العامة للقوى العاملة - أسهل,e-portal.manpower.gov.kw;labour.manpower.gov.kw;e-forms.manpower.gov.kw,official_government_employment_body,strong (multiple confirmed official e-service sub-portals for employer/labour services),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
وزارة الصحة - نظام التوظيف الطبي,eservices.moh.gov.kw,official_government_job_portal,strong (dedicated hiring-application system for medical/allied-health/technical positions),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
Qureos,qureos.com,ai_recruitment_platform,moderate (positioned as a leading Kuwait recruitment platform per its own marketing; also independently observed as the ATS used by Snoonu Kuwait and Trolley Kuwait in this pass's research),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
الحفر (el7far.com),kuwait.el7far.com,job_aggregator,strong (surfaced constantly across nearly every query this pass,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,2026-09-13
Talentscript,https://www.talentscript.com/,recruitment_staffing_agency,confirmed (Kuwait-based HR consultancy),not_checked,not_checked,hold_manual_review,discovery_only,robots.txt not checked; ToS not checked,"CORRECTED (production-promotion gate): final_source_decision was self-contradicting this row's own evidence text. Confirmed real Kuwait HR/EOR firm, but does not publish open positions with employer names (CV-submission model) -- correctly classified discovery_only rather than manual_review_only, since there is no vacancy content to review for ingestion.",2026-09-13
MCN,https://www.mcn-kw.com/,recruitment_staffing_agency,strong (explicitly 'specialize in Recruitment Services in the State of Kuwait'),not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Strongest of the 6 candidates: confirmed real, licensed Kuwait recruitment agency with a genuine employer-facing jobs platform. Held at manual_review_only (not approved for automated ingestion) since no robots.txt/ToS check was performed this pass.",2026-09-13
Kershaw Leonard,not_confirmed_this_pass,recruitment_staffing_agency,unconfirmed,not_checked,not_checked,insufficient_evidence,insufficient_evidence,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"CORRECTED (production-promotion gate): final_source_decision was self-contradicting prior_internal_classification (said discovery_only despite no confirmed domain and insufficient_evidence prior). Genuine evidence gap (WebSearch budget exhausted, reasonable domain guesses failed) -- not a fabricated or guessed classification. No confirmed domain exists to catalog; excluded from any source-catalog append.",2026-09-13
Kuwait Business Partners,not_confirmed_this_pass,recruitment_staffing_agency,unconfirmed,not_checked,not_checked,insufficient_evidence,insufficient_evidence,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"CORRECTED (production-promotion gate): final_source_decision was self-contradicting prior_internal_classification (said discovery_only despite no confirmed domain and insufficient_evidence prior). Genuine evidence gap (WebSearch budget exhausted, reasonable domain guesses failed) -- not a fabricated or guessed classification. No confirmed domain exists to catalog; excluded from any source-catalog append.",2026-09-13
Mena Business Services,not_confirmed_this_pass,recruitment_staffing_agency,unconfirmed,not_checked,not_checked,insufficient_evidence,insufficient_evidence,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"CORRECTED (production-promotion gate): final_source_decision was self-contradicting prior_internal_classification (said discovery_only despite no confirmed domain and insufficient_evidence prior). Genuine evidence gap (WebSearch budget exhausted, reasonable domain guesses failed) -- not a fabricated or guessed classification. No confirmed domain exists to catalog; excluded from any source-catalog append.",2026-09-13
Al-Hafez Company (شركة الحافظ),not_confirmed_this_pass,recruitment_staffing_agency,unconfirmed,not_checked,not_checked,insufficient_evidence,insufficient_evidence,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"CORRECTED (production-promotion gate): final_source_decision was self-contradicting prior_internal_classification (said discovery_only despite no confirmed domain and insufficient_evidence prior). Genuine evidence gap (WebSearch budget exhausted, reasonable domain guesses failed, and the one plausible domain guess resolved to a confirmed-wrong unrelated Syria-based company) -- not a fabricated or guessed classification. No confirmed domain exists to catalog; excluded from any source-catalog append.",2026-09-13
