inventory_id,boursa_name,normalized_company_name,arabic_name,ticker,sector,previous_batch_category,previous_outcome,official_domain,domain_status,operating_status,employer_holding_shell_classification,kuwait_evidence,careers_url,ats_url,current_vacancy_evidence,canonical_id,duplicate_alias_result,first_party_evidence_urls,secondary_evidence_urls,final_decision,exact_reason,retrieval_date
KBT,Kuwait Business Town Real Estate Company - KPSC,Kuwait Business Town Real Estate Company,not_captured_this_pass,KBT,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),kbt.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com.kw domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://kbt.com.kw,https://stockanalysis.com/quote/kwse/KBT/company/,hold_manual_review,Real Kuwait real-estate operator. Careers page not individually verified this pass.,2026-09-13
QIC,Umm Al Qaiwain General Investments Company P.S.C.,Umm Al Qaiwain General Investments Company,not_captured_this_pass,QIC,"Investors, not elsewhere classified",Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),qic-uaq.ae,confirmed_via_direct_fetch_or_stockanalysis_profile,active_but_non_kuwait_domiciled,wrong_market,"NONE -- UAE-domiciled (.ae domain, 'Umm Al Qaiwain' in the legal name itself)",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://qic-uaq.ae,https://stockanalysis.com/quote/kwse/QIC/company/,geo_ineligible,"This is a UAE company (Umm Al Qaiwain is a UAE emirate) cross-listed or dual-tracked on Boursa Kuwait's ticker system -- no Kuwait operations, office, or employer relevance found. Correctly excluded as a Kuwait job-discovery candidate.",2026-09-13
KFIC,KFIC Invest Company K.S.C. (Public),KFIC Invest Company,not_captured_this_pass,KFIC,Personal Credit Institutions,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),kfic-kw.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed .com.kw domain, 144 employees",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://kfic-kw.com,https://stockanalysis.com/quote/kwse/KFIC/company/,hold_manual_review,Real Kuwait financial-services firm with a substantial (144) confirmed headcount. Careers page not individually verified this pass.,2026-09-13
KCPC,The Kuwait Company for Process Plant Construction and Contracting K.S.C.P.,Kuwait Company for Process Plant Construction and Contracting,not_captured_this_pass,KCPC,Heavy Construction,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),kcpc.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_major,"confirmed, 1,124 employees",https://kcpc.com.kw/careers,not_verified,none confirmed this pass,cc-kuwait-company-for-process-plant-construction-and-contractin,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://kcpc.com.kw,https://stockanalysis.com/quote/kwse/KCPC/company/,approve_unchanged,"CONFIRMED official careers page (kcpc.com.kw/careers, with an Arabic version at /ar-careers) via direct fetch of the company's own site footer. Large (1,124-employee) real Kuwait EPC contractor.",2026-09-13
ALENMA,Al-Enma'a Real Estate Company K.S.C.P.,Al-Enma'a Real Estate Company,not_captured_this_pass,ALENMA,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),enmaa.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed, 656 employees",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://enmaa.com,https://stockanalysis.com/quote/kwse/ALENMA/company/,hold_manual_review,"Real, substantial (656-employee) Kuwait real-estate/facilities operator. Careers page not individually verified this pass.",2026-09-13
MARAKEZ,Marakez Real Estate Development Company (K.P.S.C),Marakez Real Estate Development Company,not_captured_this_pass,MARAKEZ,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),marakezkw.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_small,"confirmed .com domain, small (15-employee) operation",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://marakezkw.com,https://stockanalysis.com/quote/kwse/MARAKEZ/company/,hold_manual_review,Real but small Kuwait real-estate operator (15 employees). Careers page not individually verified this pass.,2026-09-13
ARGAN,Al Argan International Real Estate Company - K.S.C.P.,Al Argan International Real Estate Company,not_captured_this_pass,ARGAN,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),alargan.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://alargan.com,https://stockanalysis.com/quote/kwse/ARGAN/company/,hold_manual_review,Real Kuwait real-estate/hospitality developer. Careers page not individually verified this pass.,2026-09-13
THURAYA,Dar Al-Thuraya Real Estate Company K.S.C.P.,Dar Al-Thuraya Real Estate Company,not_captured_this_pass,THURAYA,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),daralthuraya.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://daralthuraya.com,https://stockanalysis.com/quote/kwse/THURAYA/company/,hold_manual_review,Real Kuwait real-estate operator. Careers page not individually verified this pass.,2026-09-13
CATTL,Livestock Transport and Trading Company K.P.S.C.,Livestock Transport and Trading Company,not_captured_this_pass,CATTL,Farm-product Raw Materials,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),almawashi.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com.kw domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://almawashi.com.kw,https://stockanalysis.com/quote/kwse/CATTL/company/,hold_manual_review,Real Kuwait livestock/meat-processing operator with international operations. Careers page not individually verified this pass.,2026-09-13
KFOUC,Kuwait Foundry Company K.S.C.P.,Kuwait Foundry Company,not_captured_this_pass,KFOUC,"Steel Works, Blast Furnaces, and Rolling and Finishing Mills",Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),kwfoundry.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_major,"confirmed, 6,000 employees",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://kwfoundry.com,https://stockanalysis.com/quote/kwse/KFOUC/company/,hold_manual_review,"Real, very large (6,000-employee) Kuwait industrial manufacturer -- but a direct check of kwfoundry.com's own navigation found NO careers/jobs link this pass. Held rather than approved given the confirmed absence of a discoverable careers channel on the official site itself, despite the company's clear scale and reality.",2026-09-13
SHUAIBA,Shuaiba Industrial Company K.P.S.C.,Shuaiba Industrial Company,not_captured_this_pass,SHUAIBA,Converted Paper and Paperboard Products,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),sic-kwt.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://sic-kwt.com,https://stockanalysis.com/quote/kwse/SHUAIBA/company/,hold_manual_review,Real Kuwait paper-packaging manufacturer. Careers page not individually verified this pass.,2026-09-13
MUNTAZAHAT,Kuwait Resorts Company K.P.S.C.,Kuwait Resorts Company,not_captured_this_pass,MUNTAZAHAT,Hotels and Motels,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),muntazahat.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com.kw domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://muntazahat.com.kw,https://stockanalysis.com/quote/kwse/MUNTAZAHAT/company/,hold_manual_review,Real Kuwait hospitality/resorts operator. Careers page not individually verified this pass.,2026-09-13
AQAR,Aqar Real Estate Investments Company K.S.C. (Public),Aqar Real Estate Investments Company,not_captured_this_pass,AQAR,Operators of Nonresidential Buildings,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),aqar.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_small,"confirmed, small (14-employee) operation",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://aqar.com.kw,https://stockanalysis.com/quote/kwse/AQAR/company/,hold_manual_review,Real but small Kuwait real-estate/hospitality operator (14 employees). Careers page not individually verified this pass.,2026-09-13
MENA,MENA Real Estate Company - KSCP,MENA Real Estate Company,not_captured_this_pass,MENA,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),mena-realestate.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed, HQ Kuwait City, CEO named (Fawaz Adnan Rais)",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://mena-realestate.com,https://stockanalysis.com/quote/kwse/MENA/company/,hold_manual_review,Real Kuwait real-estate developer. Careers page not individually verified this pass.,2026-09-13
MRC,Metal and Recycling Company K.S.C. (Public),Metal and Recycling Company,not_captured_this_pass,MRC,Scrap and Waste Materials,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),mrckw.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_major,"confirmed, 2,090 employees",https://www.mrckw.com/careers/,not_verified,none confirmed this pass,cc-metal-and-recycling-company,"Confirmed subsidiary of Makhazen (MKHZN, also verified/approved this pass).",https://mrckw.com,https://stockanalysis.com/quote/kwse/MRC/company/,approve_unchanged,"CONFIRMED official careers page (mrckw.com/careers, confirmed via direct fetch of the site footer/nav, appears twice). Large (2,090-employee) Kuwait waste-management/recycling operator. PARENT/SUBSIDIARY NOTE: confirmed to be a subsidiary of Makhazen (MKHZN, also individually verified and approved this pass) -- kept as a separate row since it is independently listed on Boursa Kuwait with its own ticker, consistent with how other parent/subsidiary pairs are handled in this project.",2026-09-13
FUTUREKID,Future Kid Entertainment and Real Estate Company K.P.S.C.,Future Kid Entertainment and Real Estate Company,not_captured_this_pass,FUTUREKID,Miscellaneous Amusement and Recreation,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),futurekid.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com.kw domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://futurekid.com.kw,https://stockanalysis.com/quote/kwse/FUTUREKID/company/,hold_manual_review,Real Kuwait entertainment/hospitality operator. Careers page not individually verified this pass.,2026-09-13
KHOT,Kuwait Hotels Company K.S.C.P.,Kuwait Hotels Company,not_captured_this_pass,KHOT,Hotels and Motels,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),khc.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed .com.kw domain, Kuwait-HQ'd hotel group",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://khc.com.kw,https://stockanalysis.com/quote/kwse/KHOT/company/,hold_manual_review,"Real, multi-country Kuwait-HQ'd hotel operator with a notable 'manpower supply' business segment (potentially source-catalog relevant too). Careers page not individually verified this pass.",2026-09-13
GFC,Gulf Franchising Holding Company - K.S.C. (Public),Gulf Franchising Holding Company,not_captured_this_pass,GFC,Business Services,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),gfc.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_cross_market,Kuwait-listed and HQ'd but operations described as 'primarily serving the Kingdom of Saudi Arabia',not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://gfc.com.kw,https://stockanalysis.com/quote/kwse/GFC/company/,hold_manual_review,"Real, substantial (562-employee) company, Kuwait-listed/HQ'd, but its own business description states operations primarily serve Saudi Arabia -- Kuwait-specific hiring relevance genuinely unclear. Held pending clarification rather than assumed either way.",2026-09-13
WETHAQ,Wethaq Takaful Insurance Company K.S.C.P.,Wethaq Takaful Insurance Company,not_captured_this_pass,WETHAQ,Insurance Carriers,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),wethaq.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://wethaq.com,https://stockanalysis.com/quote/kwse/WETHAQ/company/,hold_manual_review,Real Kuwait takaful insurer. Careers page not individually verified this pass.,2026-09-13
DALQANRE,Dalqan Real Estate Company K.S.C. (Public),Dalqan Real Estate Company,not_captured_this_pass,DALQANRE,Real Estate Operators (except Developers) and Lessors,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),dalqanrealestate.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed, HQ Kuwait City",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://dalqanrealestate.com,https://stockanalysis.com/quote/kwse/DALQANRE/company/,hold_manual_review,"Real Kuwait real-estate operator, subsidiary of Dalqan Holding Group Company K.S.C. Careers page not individually verified this pass.",2026-09-13
MASAKEN,Al-Masaken International for Real Estate Development Company - K.S.C. (Public),Al-Masaken International for Real Estate Development Company,not_captured_this_pass,MASAKEN,Land Subdividers and Developers,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),masakenint.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://masakenint.com,https://stockanalysis.com/quote/kwse/MASAKEN/company/,hold_manual_review,Real Kuwait/UK real-estate developer. Careers page not individually verified this pass.,2026-09-13
MEZZAN,Mezzan Holding Company K.S.C.P.,Mezzan Holding Company,not_captured_this_pass,MEZZAN,Conglomerates,Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),mezzan.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_major,confirmed HQ Kuwait,https://careers.mezzan.com/,not_verified,"Commercial Assistant role live on careers.mezzan.com (Dubai, UAE location; not Kuwait-specific)",cc-mezzan-holding-company,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://mezzan.com,https://stockanalysis.com/quote/kwse/MEZZAN/company/,approve_unchanged,"CONFIRMED official careers portal (careers.mezzan.com, a dedicated subdomain) with a live current job posting (Commercial Assistant, Dubai UAE, posted 2026-09-13). Kuwait-HQ'd major regional FMCG conglomerate -- the one visible live job happens to be UAE-based, but the careers channel itself is official, real, and actively used, satisfying the 'legitimate careers/application channel' bar even without a Kuwait-specific opening confirmed at this exact moment.",2026-09-13
GIH,Gulf Investment House - KPSC,Gulf Investment House,not_captured_this_pass,GIH,"Investors, not elsewhere classified",Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),gih.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed .com.kw domain, HQ Kuwait City",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://gih.com.kw,https://stockanalysis.com/quote/kwse/GIH/company/,hold_manual_review,Real Kuwait investment/financial-services firm with real-estate and manufacturing segments (not a pure passive fund). Careers page not individually verified this pass.,2026-09-13
ARZAN,Arzan Financial Group for Financing and Investment - KPSC,Arzan Financial Group,not_captured_this_pass,ARZAN,Personal Credit Institutions,Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),arzan.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com.kw domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://arzan.com.kw,https://stockanalysis.com/quote/kwse/ARZAN/company/,hold_manual_review,"Real, diversified Kuwait financial-services firm (not a pure passive investment fund -- includes consumer credit, debt collection, SME financing operations). Careers page not individually verified this pass.",2026-09-13
TAMINV,Tamdeen Investment Company - KSCP,Tamdeen Investment Company,not_captured_this_pass,TAMINV,Investment Advice,Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),tamdeen.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,possible_alias_or_sister_company,confirmed .com domain -- NOTE: same domain root as the already-staged Tamdeen Real Estate/Group (cc-tamdeen-real-estate-company),not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,"Shares tamdeen.com domain root with the already-staged Tamdeen Real Estate/Group row -- possible same-group sister ticker, not auto-merged.",https://tamdeen.com,https://stockanalysis.com/quote/kwse/TAMINV/company/,hold_manual_review,Shares the tamdeen.com domain with the already-staged Tamdeen Group/Real Estate row from the prior pass -- likely the same corporate group's investment-arm ticker rather than a fully independent company. Held rather than staged separately to avoid a possible duplicate; a human should confirm whether TAMINV is a distinct Boursa-listed legal entity within the Tamdeen group or effectively the same employer already staged.,2026-09-13
NOOR,Noor Financial Investment Company - KPSC,Noor Financial Investment Company,not_captured_this_pass,NOOR,"Security and Commodity Brokers, Dealers, Exchanges, and Services",Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),noorinvestment.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_small,"confirmed, 31 employees",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://noorinvestment.com,https://stockanalysis.com/quote/kwse/NOOR/company/,hold_manual_review,Real but small (31-employee) diversified Kuwait investment/services firm. Careers page not individually verified this pass.,2026-09-13
VALMORE,Valmore Holding S.A.E.,Valmore Holding S.A.E.,not_captured_this_pass,VALMORE,unknown,Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),not_confirmed_this_pass,not_confirmed,active_operating_company,unknown,unconfirmed,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,,https://stockanalysis.com/quote/kwse/VALMORE/company/,insufficient_evidence,"stockanalysis.com company-profile fetch 404'd; the 'S.A.E.' suffix suggests Egyptian incorporation, raising a genuine question of whether this is even a Kuwait-relevant operating entity or a dormant/delisted cross-listing. WebSearch budget was exhausted before a manual search could resolve this. Genuine evidence gap.",2026-09-13
IFA,International Financial Advisors Holding - KPSC,International Financial Advisors Holding,not_captured_this_pass,IFA,Investment Advice,Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),ifakuwait.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed ifakuwait.com domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,"Related but distinct from the already-staged IFA Hotels & Resorts (ticker IFAHR, ifahotelsresorts.com) -- confirmed different domain (ifakuwait.com).",https://ifakuwait.com,https://stockanalysis.com/quote/kwse/IFA/company/,hold_manual_review,"Real, highly diversified Kuwait investment-holding firm. NOTE: shares 'IFA' branding with the separately-verified and already-staged 'IFA Hotels and Resorts' (ticker IFAHR, ifahotelsresorts.com, staged in the prior pass) -- confirmed DIFFERENT domains and likely a related but distinct sister company within a broader 'IFA' group. Kept as its own row per the no-auto-merge rule; relationship flagged for human review.",2026-09-13
