canonical_company_id,company_name,lead_source,source_confidence,careers_page_status,current_open_jobs_detected,audit_category,audit_finding,audit_verdict
cc-procapita-group,Procapita Group,33,high,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-siemens-ag,Siemens AG,35,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-millennium-hotel-convention-centre-kuwait,Millennium Hotel & Convention Centre Kuwait,37,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-palms-agro-production-company,Palms Agro Production Company,38,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-bfl-group,BFL Group,39,high,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-millennium-central-kuwait-downtown-hotel,Millennium Central Kuwait Downtown Hotel,41,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-jw-marriott-kuwait-city,JW Marriott Kuwait City,50,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-sv7-advisory,SV7 Advisory,51,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-taiba-hospital,Taiba Hospital,60,high,careers_page_found,unknown,unsupported_active_job_claim,"The ""7 current openings"" claim relied on aggregator (GulfTalent/Neelim) summaries rather than a first-party fetch of the official domain's own careers content. Downgraded current_open_jobs_detected to unknown; careers_page_status kept at careers_page_found since the official domain itself is confirmed real and relevant.",correct_then_approve
cc-sephora,Sephora,62,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-abyat,ABYAT,64,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-al-mashaan-general-trading-general-contracting-for-buildings,Al Mashaan General Trading & General Contracting for Buildings Co.,65,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-hitachi-energy-ltd,Hitachi Energy Ltd.,66,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-united-steel-industrial-co,United Steel Industrial Co.,72,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-four-seasons-hotel-kuwait-at-burj-alshaya,Four Seasons Hotel Kuwait at Burj Alshaya,73,medium,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-srvme,SRVME,77,high,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-marriott-executive-apartments-kuwait-city,Marriott Executive Apartments Kuwait City,80,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-australian-university-kuwait,Australian University Kuwait,82,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-worley-limited,Worley Limited,83,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-bureau-veritas-sa,Bureau Veritas SA,86,medium,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-ali-abdulwahab-al-mutawa-commercial-co,Ali Abdulwahab Al Mutawa Commercial Co.,88,high,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-diyar-united-company,Diyar United Company,94,high,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-slb-formerly-schlumberger,SLB (formerly Schlumberger),96,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-oryx-holding-kuwait,Oryx Holding (Kuwait),97,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-radisson-hotel-group,Radisson Hotel Group,100,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-larsen-toubro-limited,Larsen & Toubro Limited,101,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-nestle-sa,Nestlé S.A.,107,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-commercial-bank-of-kuwait-al-tijari,Commercial Bank of Kuwait (Al-Tijari),109,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-leidos-holdings-inc,"Leidos Holdings, Inc.",111,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-fluor-corporation,Fluor Corporation,112,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-kitchenpark,KitchenPark,113,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claimed careers_page_found but only the root company domain (== official_website_url) was actually confirmed -- no distinct careers subpage was independently verified. Corrected to an honest not_verified state per the schema-permitted fallback.,correct_then_approve
cc-al-mulla-engineering,Al Mulla Engineering,118,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-residence-inn-by-marriott-kuwait-city,Residence Inn by Marriott Kuwait City,independent_discovery,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-grand-hyatt-kuwait,Grand Hyatt Kuwait,59,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-penspen-ltd,Penspen Ltd.,78,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-hyatt-regency-kuwait,Hyatt Regency Kuwait,90,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-behbehani-motors-company,Behbehani Motors Company,independent_discovery,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-ali-alghanim-sons-automotive-company,Ali Alghanim & Sons Automotive Company,independent_discovery,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-warba-insurance-reinsurance-company,Warba Insurance & Reinsurance Company,independent_discovery,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-keo-international-consultants,KEO International Consultants,independent_discovery,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-al-ahli-bank-of-kuwait,Al Ahli Bank of Kuwait,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-boubyan-petrochemical-company,Boubyan Petrochemical Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-gulf-cables-and-electrical-industries-group-company,Gulf Cables and Electrical Industries Group Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-kuwait-cement-company,Kuwait Cement Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-ifa-hotels-and-resorts,IFA Hotels and Resorts,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-salhia-real-estate-company,Salhia Real Estate Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-acico-industries-company-ksc,ACICO Industries Company - K.S.C.,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-national-investments-company,National Investments Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-al-ahleia-insurance-company-sakp,Al-Ahleia Insurance Company S.A.K.P.,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-oula-fuel-marketing-company,Oula Fuel Marketing Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-automated-systems-company,Automated Systems Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-heavy-engineering-industries-and-shipbuilding-company,Heavy Engineering Industries and Shipbuilding Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-kuwait-reinsurance-company,Kuwait Reinsurance Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-kuwait-insurance-company-sakp,Kuwait Insurance Company S.A.K.P.,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-arkan-al-kuwait-real-estate-company,Arkan Al-Kuwait Real Estate Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-united-projects-company-for-aviation-services,United Projects Company For Aviation Services,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-national-industries-company,National Industries Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-aayan-real-estate-company,A'ayan Real Estate Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-national-cleaning-company,National Cleaning Company,boursa_kuwait_walk,medium,not_verified,unknown,unsupported_evidence_strength,careers_page_status claims careers_page_found but official_careers_url equals the root official_website_url -- same overclaim pattern caught earlier this pilot. Corrected to not_verified.,correct_then_approve
cc-digitus-group-for-digital-infrastructure-data-centers-commun,"Digitus Group for Digital Infrastructure, Data Centers & Communications (K.S.C.P)",boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-trolley-general-trading-company-kscc,Trolley General Trading Company K.S.C.C.,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-tamdeen-real-estate-company,Tamdeen Real Estate Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-shamal-az-zour-al-oula-power-and-water-company-ksc,Shamal Az-Zour Al-Oula Power and Water Company KSC,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-commercial-facilities-company-sakp,Commercial Facilities Company S.A.K.P.,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-kuwait-projects-company-holding-kipco,Kuwait Projects Company Holding (KIPCO),boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-makhazen,Makhazen,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-kuwait-company-for-process-plant-construction-and-contractin,Kuwait Company for Process Plant Construction and Contracting,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-metal-and-recycling-company,Metal and Recycling Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-mezzan-holding-company,Mezzan Holding Company,boursa_kuwait_walk,medium,careers_page_found,yes,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
cc-integrated-holding-company,Integrated Holding Company,boursa_kuwait_walk,medium,careers_page_found,unknown,none,No adversarial-audit issues found. Official domain and a distinct careers page (not just the root domain) were both independently confirmed during the Boursa Kuwait walk.,approve_unchanged
