lead_number,normalized_name,official_domain,kuwait_presence_evidence_category,careers_or_ats_url,employer_outcome,evidence_urls,verification_date,notes
11,IHG Hotels & Resorts,https://www.ihg.com,,https://careers.ihg.com/en/search-and-apply/?area=kuwait,hold_manual_review,https://careers.ihg.com/en/search-and-apply/?area=kuwait,2026-09-13,"Reservation/location-listing page returned HTTP 403. IHG is known to operate multiple Gulf-region hotel brands; Kuwait-specific properties not independently confirmed this pass -- needs a human/future pass to identify named Kuwait properties before any row is staged (per policy, the parent brand itself should not be staged separately from confirmed individual properties).

RECOVERY PASS 2 (2026-09-13): Official URL identified via WebSearch (careers.ihg.com/en/search-and-apply/?area=kuwait), snippet confirms 'Holiday Inn' Kuwait postings, but direct WebFetch returned HTTP 403 both attempts. Brand-level lead per task policy -- parent brand should not be staged separately from a confirmed individual property; 'Holiday Inn' Kuwait flagged for a future pass.

PASS 3 (2026-09-13): Two specific named IHG Kuwait properties now confirmed via IHG's own official hotel-detail pages (tier-1): 'Holiday Inn Kuwait Salmiya' (ihg.com/holidayinn/hotels/us/en/kuwait/kwime/hoteldetail, hotel code kwime) and 'Holiday Inn Kuwait Al Thuraya City' (kwikw). Logged as new independent-discovery candidates (see independent-discovery-candidates.csv) rather than promoting the brand-level lead itself, per the established group/property policy. careers.ihg.com remains 403-blocked to direct fetch."
12,KPMG (Kuwait),cc-kpmg,,cc-kpmg,already_present,https://kpmg.com/kw/en/careers/work-with-us.html,2026-09-13,"CORRECTION (methodology defect found and fixed during recovery pass): this pass's original dedup check only matched exact normalized strings and missed that baseline kuwait.csv already contains ""KPMG Kuwait"" (cc-kpmg) -- ""KPMG in Kuwait"" vs ""KPMG Kuwait"" are the same entity with a reordered name, not a new company. Reclassified from the incorrectly-staged approve_unchanged to already_present. Removed from kuwait-promotion-staging.csv. CONFIRMED STRONG: official careers subpage lists 5 live roles (Assistant Manager - Infrastructure Advisory; Assistant Manager - Corporate Finance and Valuation; Business Support & Translation Associate; Third Party Intern - Audit; Intern - Management Consulting), all via SuccessFactors ATS (career5.successfactors.eu)."
13,Courtyard by Marriott (Kuwait property),https://careers.marriott.com,,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,approve_unchanged,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,2026-09-13,"RECLASSIFIED: Courtyard by Marriott is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait property could not be independently confirmed this pass (Marriott property-search returned HTTP 403), a technical block, not an identity problem with the brand itself. [RECOVERY PASS 2026-09-13] Marriott property-search page returned HTTP 403; could not independently confirm a specific Courtyard Kuwait property this pass. Flagged for the Marriott Kuwait group/property reconciliation (see #114, #122).

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Marriott ATS (careers.marriott.com), country=Kuwait filter -- 15 live open positions at 'Courtyard by Marriott Kuwait City' (Commis I, Commis I - Pastry, Demi Chef de Partie Sushi, etc.). Resolves the prior HTTP 403."
14,Alghanim Industries,https://www.alghanim.com,,https://www.alghanim.com,already_present,https://careers.alghanim.com/,2026-09-13,Exact match to existing verified Kuwait row cc-alghanim-industries in master-company-registry.csv.
15,Egis,https://www.egis-group.com,,https://jobs.egis-group.com/egis-middle-east,approve_unchanged,https://www.egis-group.com/locations/middle-east/kuwait,2026-09-13,"RECLASSIFIED: Egis is a definitely-real French engineering/consulting group -- the specific /careers path 404'd, likely a wrong-path problem on an otherwise correct root domain. [RECOVERY PASS 2026-09-13] Careers page URL guess 404'd. Real French engineering/consulting group; Kuwait presence not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Egis page naming a Kuwait Country Managing Director (Khaled Elmir) and two named Kuwait projects (Kuwait Scientific Center Expansion Program; Kuwait International Bank digital-banking project). Official careers portal exists (no live Kuwait vacancy at time of check)."
16,Apave International,https://www.apave.com,,https://middle-east.apave.com/en/Join-Us,hold_manual_review,,2026-09-13,"RECLASSIFIED: Apave International is a definitely-real French inspection/testing/certification company -- the specific /en/careers path 404'd, likely a wrong-path problem. [RECOVERY PASS 2026-09-13] Careers page URL guess 404'd. Real French inspection/testing/certification company; Kuwait presence not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): No Kuwait-specific confirmation found; Apave's own site only generically references Middle East expansion."
17,ZainTECH,https://www.zaintech.com,,https://apply.workable.com/zaintech/,hold_manual_review,https://www.zaintech.com/careers;https://theorg.com/org/zaintech/offices/kuwait,2026-09-13,"Careers page confirmed real (Workable-linked, 'View Open Positions'), but does not itself name Kuwait as an office. ZainTECH is the digital/tech-services subsidiary of Zain Group, whose Kuwait telecom operations are extremely well-established -- plausible Kuwait presence via parent Zain, needs human confirmation before staging.

RECOVERY PASS 2 (2026-09-13): TheOrg.com (business-directory source) lists a 'ZainTECH - Kuwait' office with 13 staff -- secondary evidence, not first-party. Official careers.zaintech.com page and its linked Workable board do not themselves name Kuwait or show a location-filtered listing."
18,Kuwait Foundation for the Advancement of Sciences (KFAS),https://www.kfas.org.kw,,https://www.kfas.org.kw,hold_manual_review,,2026-09-13,"Direct fetch of kfas.org.kw failed with an expired-certificate error (a technical/access issue, not evidence the organization is not real). KFAS is a well-known, real, prominent Kuwait government-linked science-funding foundation. Needs a re-fetch (certificate issue may be transient) before staging.

RECOVERY PASS 2 (2026-09-13): Not re-attempted this pass; kfas.org.kw's TLS certificate problem was already documented as persistent across https/http in the prior pass. No new information."
19,"Cisco Systems, Inc.",https://www.cisco.com,,https://www.cisco.com/c/en/us/about/careers.html,hold_manual_review,,2026-09-13,"RECLASSIFIED: Cisco is a definitely-real global technology company -- the generic careers page loaded fine but showed no location-filtered results, a static-fetch interaction limitation, not an identity problem. [RECOVERY PASS 2026-09-13] General careers overview page fetched; showed no location-specific job listings (Kuwait or otherwise) without using the internal search/filter tool, which requires interaction beyond a static fetch. No Kuwait-specific evidence obtained this pass.

RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation; only generic third-party job-board mentions found."
20,Hilton Worldwide,https://www.hilton.com,,https://jobs.hilton.com/emea/en,hold_manual_review,https://www.hilton.com/en/locations/kuwait/;https://www.hilton.com/en/locations/kuwait/;https://jobs.hilton.com/emea/en/job/HOT0B9R3/Concierge-Agent;https://www.hilton.com/en/hotels/kwigigi-hilton-garden-inn-kuwait/,2026-09-13,"CONFIRMED 4 Kuwait properties via Hilton's own booking site: Hilton Garden Inn Kuwait, Waldorf Astoria Kuwait, Hampton by Hilton Kuwait Salmiya, and Hilton Kuwait Mangaf Resort (listed as 'Coming Soon'). This is booking-site evidence (secondary), not yet an official careers/HR confirmation -- needs a direct careers-page fetch per property before staging as employer row(s). See group/property reconciliation #123.

RECOVERY PASS 2 (2026-09-13): Re-checked. No official Hilton ATS URL (jobs.hilton.com or equivalent) could be located via WebSearch or direct fetch this pass; hilton.com/en/careers/ 404'd. 4 Kuwait properties remain confirmed only via Hilton's own booking site (secondary) and third-party job boards, not first-party careers/HR evidence. Technical discovery block persists.

PASS 3 (2026-09-13): RESOLVED. Browser extension unavailable this pass; used first-party fallback (WebSearch-crawled official domain). Hilton's real official ATS domain is jobs.hilton.com (previously undiscoverable) -- confirmed via a crawled first-party job-detail URL pattern (jobs.hilton.com/emea/en/job/HOT0B9R3/Concierge-Agent, Al Farwaniya, Kuwait; the specific listing has since expired/404'd on direct re-fetch, consistent with normal ATS churn, same evidence-tier treatment as Siemens' job IDs in the prior pass). 4 Kuwait properties confirmed via Hilton's own hotel pages (hilton.com/en/hotels/kwigigi-hilton-garden-inn-kuwait/, /kwiwawa-waldorf-astoria-kuwait/).

AUDIT CORRECTION (pass 3, 2026-09-13): Reverted from approve_unchanged back to hold_manual_review. The prior upgrade staged the BRAND (Hilton Worldwide) rather than a specific confirmed property, inconsistent with the IHG brand/property policy applied in the same pass. The one live job found (Concierge Agent, Al Farwaniya) does not cleanly match any of the 4 known named Kuwait Hilton properties. A future pass should confirm one specific property (most likely Hilton Garden Inn Kuwait, which has its own confirmed hotel page) with a matching live job before staging."
21,unresolved,,,,insufficient_evidence,,2026-09-13,"Identity explicitly ambiguous per task instruction. No confident real-entity match found without WebSearch. Not guessed.

RECOVERY PASS 2 (2026-09-13): Fresh search for 'EDT' found no matching company in a Kuwait context. Genuine identity gap persists after real search.

PASS 3 (2026-09-13): Fresh variant search ('EDT engineering design technology', Arabic 'اي دي تي') found several real global 'EDT' companies (Engineering Design Technologies Inc. -- US; Engineering Design Team; Engineering Design & Testing Corp.) but none with any Kuwait connection. Genuine identity gap persists."
22,Deloitte Kuwait,https://www2.deloitte.com/kw/en.html,,https://www2.deloitte.com/kw/en.html,already_present,https://www2.deloitte.com/kw/en/careers/experienced-hires.html,2026-09-13,Exact match to existing verified Kuwait row cc-deloitte in master-company-registry.csv.
23,Accenture,https://www.accenture.com,,https://www.accenture.com/kw-en/careers,hold_manual_review,,2026-09-13,"accenture.com/kw-en/careers returned HTTP 403 this pass. Accenture already has Qatar (cc-accenture-qatar) and Saudi (cc-accenture-sa) rows following an established '-country' suffix convention; a Kuwait row would likely follow the same pattern (cc-accenture-kw) if Kuwait-specific evidence is confirmed. Needs a re-fetch or human browser check.

RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation found; accenture.com/careers is generic."
24,National Agricultural Development Company (NADEC),https://www.nadec.com.sa,,https://www.nadec.com.sa,hold_manual_review,,2026-09-13,"RECLASSIFIED per recovery-pass rule: NADEC (National Agricultural Development Company) is a definitely-real, large Saudi dairy/agriculture company -- the only issue is a TLS certificate hostname mismatch on the fetched URL (a hosting/technical problem, not an identity problem). Needs a corrected URL or browser check. [RECOVERY PASS 2026-09-13] Fetch failed with a TLS certificate hostname mismatch (technical issue, not identity evidence). NADEC is a real, large Saudi dairy/agriculture company; Kuwait distribution/office presence not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Fresh search returned only Saudi-specific NADEC career information; no Kuwait-specific evidence found at all this pass."
25,Microsoft Corporation,https://www.microsoft.com,,https://www.microsoft.com,hold_manual_review,,2026-09-13,"RECLASSIFIED: Microsoft is a definitely-real global technology company -- careers search redirected repeatedly without reaching final content, a technical/redirect-handling limitation, not an identity problem. [RECOVERY PASS 2026-09-13] Careers search URLs redirected repeatedly (jobs.careers.microsoft.com -> apply.careers.microsoft.com) without reaching a page showing Kuwait-specific results this pass. Microsoft's Gulf operations are typically hubbed regionally (UAE); no confirmed local Kuwait office/careers listing obtained.

RECOVERY PASS 2 (2026-09-13): No Kuwait-specific first-party confirmation found this pass; searches returned only generic 'Microsoft Office skills' listings and aggregator noise."
26,Keeta (Meituan international delivery brand),https://hr.meituan.com,,https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity,hold_manual_review,https://www.keeta.com/;https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity;https://www.gulftalent.com/kuwait/jobs/key-account-manager-457948,2026-09-13,"RE-CHECKED this pass: Meituan's own corporate about-us page does not mention ""Keeta"" at all; food.keeta.com does not resolve (DNS failure). The identity conflict from the prior pass stands UNRESOLVED and is now further confirmed as unresolved (not just unattempted) -- keeta.com is confirmed to be an unrelated blockchain-payments company; Meituan's actual Keeta food-delivery domain was still not found without WebSearch. IMPORTANT FINDING: keeta.com resolves to an unrelated blockchain-payments company, NOT Meituan's international food-delivery brand also called 'Keeta'. Meituan's actual Keeta delivery-brand domain was not identified this pass (no WebSearch available). Do not conflate the two -- flagged explicitly so a future pass does not mistakenly treat keeta.com as Meituan's brand.

RECOVERY PASS 2 (2026-09-13): IDENTITY RESOLVED. Meituan's own recruitment domain (zhaopin.meituan.com / hr.meituan.com) -- NOT keeta.com, which remains confirmed as an unrelated blockchain-payments company -- has an official job-search URL explicitly filtered to 'Kuwait_KuwaitCity'. Multiple GulfTalent-hosted postings attributed 'by Keeta' for Kuwait City (Key Account Manager, Sales Operation). Public reporting confirms Keeta launched in Qatar, Kuwait, and UAE in 2025. Held rather than approved only because direct WebFetch of the official ATS hit a JS-rendering limitation."
27,THAHAB,,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real: Kuwait City-headquartered luxury e-commerce marketplace platform (THAHAB), 11-50 employees (LinkedIn). No open jobs found on Wuzzuf at time of check. Official domain not independently confirmed."
28,Elevatus,https://elevatus.io,,https://elevatus.io,insufficient_evidence,https://elevatus.io/,2026-09-13,"CONFIRMED real company: an AI-powered recruitment/ATS software vendor (EVA-REC/EVA-SSESS/EVA-BOARD products). Lists 'Jordan Kuwait Bank' as a client testimonial, but this indicates a B2B software customer relationship, not that Elevatus itself has Kuwait offices or hires staff there. No confirmed Kuwait employer presence. Not a job-discovery source either (it's B2B ATS software sold to employers, not a public job board) -- source_outcome is not applicable.

RECOVERY PASS 2 (2026-09-13): Elevatus confirmed to be Saudi Arabia-headquartered (Riyadh, founded 2019), a B2B AI recruitment-software (ATS) vendor sold to employers -- not itself a Kuwait employer, and not a public job-discovery source. No Kuwait office/presence found; source_outcome remains not applicable."
29,HRInvest,https://www.hrinvest.com,,https://www.hrinvest.com/recruiting/explore-job-opportunities/,approve_unchanged,https://www.hrinvest.com/recruiting/,2026-09-13,"No confident official domain identified without WebSearch. Likely an HR/staffing-adjacent firm based on the name; both employer and source roles unresolved. Restated later in the supplied list as item #131 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Official domain hrinvest.com, founded 2006, physical Kuwait address (Sharq, Jaber Al-Mubarak St, AlWattiyah Sharq Tower). Dedicated recruiting/job-opportunities and resume-submission pages. Also relevant as a potential job source (staffing/recruitment firm)."
30,Americana Foods,https://www.americanafoods.com,,,hold_manual_review,,2026-09-13,"CROSS-REFERENCE: baseline kuwait.csv already contains cc-americana-group (the restaurant-operations entity, see #93 notes) which is historically related but represents the OTHER side of Americana Group's 2022 corporate split (Americana Foods = packaged/manufactured foods business, distinct from the restaurant-franchise business). Not the same entity as cc-americana-group; still no confident official domain identified for Americana Foods specifically. No confident official domain identified without WebSearch. Publicly known to be historically related to Americana Restaurants (#93) via a 2022 corporate split into two separate independent public companies -- not merged without direct Kuwait-specific evidence for either.

RECOVERY PASS 2 (2026-09-13): Official domain confirmed: americanafoods.com (distinct from americanarestaurants.com, #93). Own-site confirms a real Kuwait bakery factory established 1985. No careers/job evidence found this pass."
31,Gulf Bank,https://www.e-gulfbank.com,,https://www.e-gulfbank.com,already_present,https://www.e-gulfbank.com/en/about-us/careers/,2026-09-13,Exact match to existing verified Kuwait row cc-gulf-bank in master-company-registry.csv.
32,United Real Estate Company (URC),https://www.urc.com.kw,,https://www.urc.com.kw/careers.aspx,approve_unchanged,https://apply.workable.com/urckw/;https://www.urc.com.kw/careers.aspx,2026-09-13,"Found a Workable tenant at path 'urckw' (suggestive of 'URC Kuwait') titled 'Current Openings', but the fetched content lacked company-identifying text to independently confirm this is genuinely United Real Estate Company's own Workable tenant rather than a coincidentally similar path. Needs a direct re-check.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Official Kuwait-headquartered domain (urc.com.kw), KSE-listed since 1984, physical HQ (Al Shaheed Tower, Sharq). Direct fetch of the official careers page confirmed 3 live Kuwait postings: Call Center Agent, Leasing Executive, AVP - Operations."
33,Procapita Group,https://www.pro-capita.com,,https://www.pro-capita.com/,approve_unchanged,https://www.pro-capita.com/,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Established in Kuwait 2013, official domain pro-capita.com, physical Kuwait office (Sharq, Ahmad Al Jaber St, Arzan Tower Floor 8). HR/management consulting firm -- also relevant as a potential job source."
34,Tabby,https://www.tabby.ai,,https://www.tabby.ai,geo_ineligible,https://www.tabby.ai/careers,2026-09-13,"CONFIRMED: official careers page states offices only in Riyadh, Dubai, and Cairo, and explicitly states 'No open roles right now' company-wide. No Kuwait office; already correctly excluded from Kuwait (existing rows are Saudi/UAE only, cc-tabby)."
35,Siemens AG,https://www.siemens.com,,https://jobs.siemens.com,approve_unchanged,https://jobs.siemens.com/en_US/externaljobs/JobDetail/482175;https://jobs.siemens.com/en_US/externaljobs/JobDetail/489790,2026-09-13,"RECLASSIFIED: Siemens is a definitely-real global industrial company -- the parent careers page correctly identified an external Kuwait-capable job portal (jobs.siemens.com) that was not independently re-fetched this pass. [RECOVERY PASS 2026-09-13] Parent careers page references an external job portal (jobs.siemens.com) for location-specific search, but that portal itself was not successfully fetched with Kuwait results this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Siemens ATS domain (jobs.siemens.com) indexing two named Kuwait job postings: 'Logistics & Order Management Specialist @Siemens Kuwait' and 'Senior Automation Engineer @Siemens Kuwait'. Direct re-fetch of those specific job IDs 404'd (normal listing churn); evidence tier documented honestly as official-domain search-indexed content rather than a live direct-fetch confirmation."
36,Deliveroo,https://careers.deliveroo.co.uk,,https://careers.deliveroo.co.uk,geo_ineligible,https://careers.deliveroo.co.uk/,2026-09-13,"CONFIRMED: careers page lists only Milan, London, Manchester, and Paris as office locations, with no mention of Kuwait or any Middle East operations. Deliveroo does not appear to operate in Kuwait."
37,Millennium Hotel & Convention Centre Kuwait,https://www.millenniumhotels.com,,https://millennium-hotel-convention-centre-kuwait.millenniumhotelscareers.com/jobs,approve_unchanged,https://millennium-hotel-convention-centre-kuwait.millenniumhotelscareers.com/jobs,2026-09-13,"RECLASSIFIED: Millennium Hotels is a real, well-known hotel brand; the specific Millennium Hotel & Convention Centre Kuwait property could not be independently confirmed this pass (403 block on millenniumhotels.com), a technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] millenniumhotels.com/en/kuwait/ returned HTTP 403 this pass. Flagged for the Millennium Kuwait group/property reconciliation (see #41, #120) -- likely a genuine distinct property from #41, but not independently confirmed this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official property-specific Millennium ATS subdomain -- named property 'Millennium Hotel & Convention Centre, Kuwait City, Kuwait', 10 live open positions. Resolves prior HTTP 403 on the root domain."
38,Palms Agro Production Company,http://www.palms-kw.com,,http://www.palms-kw.com,approve_unchanged,http://www.palms-kw.com,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Kuwaiti Shareholding Company since 1982, KSE-listed since 2002 (ticker PAPCO), physical HQ (Al Rai, Fourth Ring Road, Block 56). Careers page not independently confirmed this pass; staged on strength of confirmed identity/domain/KSE-listing/physical HQ."
39,BFL Group,https://bflgroup.ae,,https://bflgroup.ae/,approve_unchanged,https://www.zawya.com/en/press-release/bfl-group-enters-the-kuwait-market-with-first-brands-for-less-branch-k5a18p4v,2026-09-13,"No confident official domain identified without WebSearch; name too generic/ambiguous to guess safely.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Zawya press release: 'BFL Group enters the Kuwait market with first Brands For Less branch.' Physical Kuwait HQ at Terrace Mall, Salmiya."
40,DHL Global Forwarding,https://www.dhl.com,,https://www.logistics.dhl/us-en/home/careers.html,hold_manual_review,,2026-09-13,"URL guess 404'd this pass. DHL Global Forwarding is part of the very large, well-established DHL/Deutsche Post group with known extensive Gulf logistics operations -- Kuwait presence highly plausible but not independently confirmed this pass; needs a re-check with a corrected URL.

RECOVERY PASS 2 (2026-09-13): Official localized site (dhl.com/kw-en/home/about-us.html) exists but WebFetch timed out this pass. Multiple specific Kuwait job mentions found via aggregators (Facilities & Warehouse Operations Lead, Ardiya, Kuwait) -- not independently re-verified first-party."
41,Millennium Central Kuwait Downtown Hotel,https://www.millenniumhotels.com,,https://millennium-central-kuwait-downtown.millenniumhotelscareers.com/jobs,approve_unchanged,https://millennium-central-kuwait-downtown.millenniumhotelscareers.com/jobs,2026-09-13,"RECLASSIFIED: Millennium Hotels is a real, well-known hotel brand; the specific Millennium Central Kuwait Downtown Hotel property could not be independently confirmed this pass (same 403 blocker), a technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] Not independently fetched this pass (same 403 blocker as #37's source page). Flagged for the Millennium Kuwait group/property reconciliation -- likely a genuine distinct property from #37, both real named Kuwait addresses per the supplied lead names, but neither independently confirmed via a direct fetch this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official property-specific Millennium ATS subdomain -- named property 'Millennium Central Kuwait Downtown', 5 live open positions. Distinct confirmed property from #37."
