lead_number,raw_supplied_name,likely_entity_type,employer_outcome,source_outcome,evidence_urls,unresolved_issue
11,IHG Hotels & Resorts,employer_candidate,hold_manual_review,na,https://careers.ihg.com/en/search-and-apply/?area=kuwait,"PASS 3 (2026-09-13): Two specific named IHG Kuwait properties now confirmed via IHG's own official hotel-detail pages (tier-1): 'Holiday Inn Kuwait Salmiya' (ihg.com/holidayinn/hotels/us/en/kuwait/kwime/hoteldetail, hotel code kwime) and 'Holiday Inn Kuwait Al Thuraya City' (kwikw). Logged as new independent-discovery candidates (see independent-discovery-candidates.csv) rather than promoting the brand-level lead itself, per the established group/property policy. careers.ihg.com remains 403-blocked to direct fetch."
12,KPMG in Kuwait,employer_candidate,already_present,na,https://kpmg.com/kw/en/careers/work-with-us.html,"CORRECTION (methodology defect found and fixed during recovery pass): this pass's original dedup check only matched exact normalized strings and missed that baseline kuwait.csv already contains ""KPMG Kuwait"" (cc-kpmg) -- ""KPMG in Kuwait"" vs ""KPMG Kuwait"" are the same entity with a reordered name, not a new company. Reclassified from the incorrectly-staged approve_unchanged to already_present. Removed from kuwait-promotion-staging.csv. CONFIRMED STRONG: official careers subpage lists 5 live roles (Assistant Manager - Infrastructure Advisory; Assistant Manager - Corporate Finance and Valuation; Business Support & Translation Associate; Third Party Intern - Audit; Intern - Management Consulting), all via SuccessFactors ATS (career5.successfactors.eu)."
13,Courtyard by Marriott,employer_candidate,approve_unchanged,na,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,
14,Alghanim Industries,possible_recruitment_or_staffing_source,already_present,already_present,https://careers.alghanim.com/,Exact match to existing verified Kuwait row cc-alghanim-industries in master-company-registry.csv.
15,Egis,employer_candidate,approve_unchanged,na,https://www.egis-group.com/locations/middle-east/kuwait,
16,Apave International,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): No Kuwait-specific confirmation found; Apave's own site only generically references Middle East expansion.
17,ZainTECH,employer_candidate,hold_manual_review,na,https://www.zaintech.com/careers;https://theorg.com/org/zaintech/offices/kuwait,"RECOVERY PASS 2 (2026-09-13): TheOrg.com (business-directory source) lists a 'ZainTECH - Kuwait' office with 13 staff -- secondary evidence, not first-party. Official careers.zaintech.com page and its linked Workable board do not themselves name Kuwait or show a location-filtered listing."
18,Kuwait Foundation for the Advancement of Sciences (KFAS),employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): Not re-attempted this pass; kfas.org.kw's TLS certificate problem was already documented as persistent across https/http in the prior pass. No new information.
19,Cisco,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation; only generic third-party job-board mentions found.
20,Hilton,employer_candidate,hold_manual_review,na,https://www.hilton.com/en/locations/kuwait/;https://www.hilton.com/en/locations/kuwait/;https://jobs.hilton.com/emea/en/job/HOT0B9R3/Concierge-Agent;https://www.hilton.com/en/hotels/kwigigi-hilton-garden-inn-kuwait/,Staged then reverted by the adversarial audit (pass 3) -- brand-level entry inconsistent with the IHG brand/property policy; needs a specific confirmed property before re-staging.
21,EDT,employer_candidate,insufficient_evidence,na,,"PASS 3 (2026-09-13): Fresh variant search ('EDT engineering design technology', Arabic 'اي دي تي') found several real global 'EDT' companies (Engineering Design Technologies Inc. -- US; Engineering Design Team; Engineering Design & Testing Corp.) but none with any Kuwait connection. Genuine identity gap persists."
22,Deloitte Kuwait,possible_recruitment_or_staffing_source,already_present,already_present,https://www2.deloitte.com/kw/en/careers/experienced-hires.html,Exact match to existing verified Kuwait row cc-deloitte in master-company-registry.csv.
23,Accenture,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation found; accenture.com/careers is generic.
24,NADEC Foods,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): Fresh search returned only Saudi-specific NADEC career information; no Kuwait-specific evidence found at all this pass.
25,Microsoft,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): No Kuwait-specific first-party confirmation found this pass; searches returned only generic 'Microsoft Office skills' listings and aggregator noise.
26,Keeta,employer_candidate,hold_manual_review,na,https://www.keeta.com/;https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity;https://www.gulftalent.com/kuwait/jobs/key-account-manager-457948,"RECOVERY PASS 2 (2026-09-13): IDENTITY RESOLVED. Meituan's own recruitment domain (zhaopin.meituan.com / hr.meituan.com) -- NOT keeta.com, which remains confirmed as an unrelated blockchain-payments company -- has an official job-search URL explicitly filtered to 'Kuwait_KuwaitCity'. Multiple GulfTalent-hosted postings attributed 'by Keeta' for Kuwait City (Key Account Manager, Sales Operation). Public reporting confirms Keeta launched in Qatar, Kuwait, and UAE in 2025. Held rather than approved only because direct WebFetch of the official ATS hit a JS-rendering limitation."
27,THAHAB,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Confirmed real: Kuwait City-headquartered luxury e-commerce marketplace platform (THAHAB), 11-50 employees (LinkedIn). No open jobs found on Wuzzuf at time of check. Official domain not independently confirmed."
28,Elevatus,employer_candidate,insufficient_evidence,na,https://elevatus.io/,"RECOVERY PASS 2 (2026-09-13): Elevatus confirmed to be Saudi Arabia-headquartered (Riyadh, founded 2019), a B2B AI recruitment-software (ATS) vendor sold to employers -- not itself a Kuwait employer, and not a public job-discovery source. No Kuwait office/presence found; source_outcome remains not applicable."
29,HRInvest / HRIInvest,possible_recruitment_or_staffing_source,approve_unchanged,insufficient_evidence,https://www.hrinvest.com/recruiting/,
30,Americana Foods,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Official domain confirmed: americanafoods.com (distinct from americanarestaurants.com, #93). Own-site confirms a real Kuwait bakery factory established 1985. No careers/job evidence found this pass."
31,Gulf Bank,possible_recruitment_or_staffing_source,already_present,already_present,https://www.e-gulfbank.com/en/about-us/careers/,Exact match to existing verified Kuwait row cc-gulf-bank in master-company-registry.csv.
32,United Real Estate Company (URC),employer_candidate,approve_unchanged,na,https://apply.workable.com/urckw/;https://www.urc.com.kw/careers.aspx,
33,Procapita Group,employer_candidate,approve_unchanged,na,https://www.pro-capita.com/,
34,Tabby,employer_candidate,geo_ineligible,na,https://www.tabby.ai/careers,"CONFIRMED: official careers page states offices only in Riyadh, Dubai, and Cairo, and explicitly states 'No open roles right now' company-wide. No Kuwait office; already correctly excluded from Kuwait (existing rows are Saudi/UAE only, cc-tabby)."
35,Siemens,employer_candidate,approve_unchanged,na,https://jobs.siemens.com/en_US/externaljobs/JobDetail/482175;https://jobs.siemens.com/en_US/externaljobs/JobDetail/489790,
36,Deliveroo,employer_candidate,geo_ineligible,na,https://careers.deliveroo.co.uk/,"CONFIRMED: careers page lists only Milan, London, Manchester, and Paris as office locations, with no mention of Kuwait or any Middle East operations. Deliveroo does not appear to operate in Kuwait."
37,Millennium Hotel & Convention Centre Kuwait,employer_candidate,approve_unchanged,na,https://millennium-hotel-convention-centre-kuwait.millenniumhotelscareers.com/jobs,
38,Palms Agro Production Company,employer_candidate,approve_unchanged,na,http://www.palms-kw.com,
39,BFL Group,employer_candidate,approve_unchanged,na,https://www.zawya.com/en/press-release/bfl-group-enters-the-kuwait-market-with-first-brands-for-less-branch-k5a18p4v,
40,DHL Global Forwarding,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Official localized site (dhl.com/kw-en/home/about-us.html) exists but WebFetch timed out this pass. Multiple specific Kuwait job mentions found via aggregators (Facilities & Warehouse Operations Lead, Ardiya, Kuwait) -- not independently re-verified first-party."
41,Millennium Central Kuwait Downtown Hotel,employer_candidate,approve_unchanged,na,https://millennium-central-kuwait-downtown.millenniumhotelscareers.com/jobs,
42,The Flex,employer_candidate,geo_ineligible,na,https://theflex.global/,"CONFIRMED: official site lists current markets as London, Paris, Algiers, Constantine, Oran, and Lisbon, with Milan, Casablanca, Cairo, and Berlin marked 'Coming soon'. Kuwait is not listed among current or upcoming markets. This directly resolves the task's explicit remote-eligibility concern for this exact company -- the LinkedIn location label does not reflect any confirmed Kuwait eligibility."
43,International Turnkey Systems (ITS),employer_candidate,approve_unchanged,na,https://its.ws/careers/,"CONFIRMED STRONG: headquartered at 'ITS Tower, Mubarak Al Kabeer Street, Kuwait City'; founded 1981 by Kuwait Finance House. Careers page confirmed live (search/filter framework present) though no specific job titles were extracted from the fetched excerpt -- still a genuine, verified Kuwait employer with a real official careers channel."
44,SSC HR Solutions,possible_recruitment_or_staffing_source,hold_manual_review,insufficient_evidence,,"PASS 3 (2026-09-13): Strengthened. 'SOS HR Solutions' (soshr.net / soshrsolutions.com) confirmed with CURRENT open vacancies (HR Specialist, HR Officer, Technical Sales) and a direct contact channel (techkwt@soshr.net). Since 1975. Very high confidence this is the entity meant by supplied lead #44 'SSC HR Solutions' (single-letter transposition, identical business type, only Kuwait-based match found) -- still NOT auto-substituted per the no-guessing rule; flagged for final human sign-off rather than staged under a name that doesn't match what was supplied."
45,Agthia,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Own-site confirms Kuwait as one of Agthia's markets and Indeed shows Kuwait City culinary-role listings, but careers.agthia.com did not render a Kuwait-filtered live listing this pass."
46,KBR,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): careers.kbr.com Kuwait-keyword search returned no results this pass. Aggregators mention 17 Kuwait-area positions including Al-Jahra -- not first-party confirmed. Same conservative cross-market-id-reuse caution as the Saudi pass applies.
47,Libertex Group,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Fresh search confirmed Libertex offers remote roles globally (HQ Limassol, Cyprus, 110+ countries) but found no explicit statement of Kuwait-resident eligibility. Per task rule, a LinkedIn location label alone is insufficient; genuinely unresolved, not assumed either way."
48,Val Libertex Group,employer_candidate,insufficient_evidence,na,,RECOVERY PASS 2 (2026-09-13): No new evidence found this pass distinguishing this from #47 (Libertex Group). Genuine identity gap persists.
49,Turbo Pay,employer_candidate,insufficient_evidence,na,,"PASS 3 (2026-09-13): Fresh variant search (English + Arabic 'توربو باي الكويت') found multiple real global 'TurboPay' products (Egypt/Vodafone-linked app, Philippines payment gateway, a blockchain messaging app) but none Kuwait-specific. Genuine identity gap persists."
50,JW Marriott Kuwait,employer_candidate,approve_unchanged,na,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,
51,SV7,employer_candidate,approve_unchanged,na,https://sv-7.com/,
52,Almarai,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): Guessed careers URL 404'd again this pass. Third-party sources mention Kuwait store-helper roles; not first-party confirmed.
53,Etoile Group,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain etoilegroup.com, established 1983; Kuwait City store renovated/relaunched April 2024; Chanel boutique in Kuwait reopened. No careers page or Kuwait-specific job posting found this pass."
54,Maison,employer_candidate,insufficient_evidence,na,,"RECOVERY PASS 2 (2026-09-13): Fresh search found MULTIPLE distinct real 'Maison'-branded retail entities operating in Kuwait (Maison Chic, MaisonO, Maison Q8, Maison de Parfum) -- confirming the task's own flagged ambiguity rather than resolving it. Kept insufficient_evidence since no single entity can be confidently identified as the one meant."
55,AL-Muhalhel Co.,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain almuhalhel.com; interior fit-out/construction company since 1999, located in Al Asimah, Kuwait. No careers page or job posting independently confirmed this pass."
56,talabat,employer_candidate,already_present,na,,"CORRECTION (methodology defect found and fixed during recovery pass): this pass's original dedup check only matched exact normalized strings and missed that baseline kuwait.csv already contains ""Talabat Kuwait"" (cc-talabat, review_status=verified, careers_page_status=careers_page_found, current_open_jobs_detected=true). The fresh evidence gathered this pass (live Salmiya job posting, multi-city coverage) is genuinely valuable and CORROBORATES/STRENGTHENS the existing verified row, but this is not a new company to stage -- reclassified from the incorrectly-staged approve_unchanged to already_present. CONFIRMED STRONG via fresh direct fetch: talabat.com/kuwait explicitly lists multiple Kuwait cities served (Ahmadi, Hawally, Al Jahra, Farwaniya, Mubarak Al-kabir, Kuwait City); careers.deliveryhero.com/talabat shows a LIVE Kuwait job (Sr. Specialist Real Estate & Construction, Salmiya, Kuwait). Already has verified Qatar and UAE rows (cc-talabat) -- reusing the same market-neutral canonical_company_id for Kuwait. [RECOVERY PASS 2026-09-13] Not independently fetched this pass. talabat is publicly well-known to have been founded in Kuwait in 2004 before expanding regionally, and already has Qatar (cc-talabat) and UAE (cc-talabat) rows -- extremely strong prior plausibility of genuine, continuing Kuwait presence, but per the no-fabrication rule this pass did not independently re-confirm a live official careers page/ATS with a direct fetch, so held rather than approved outright."
57,SimplitIN,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain simplit.me; only Odoo Gold Partner in Kuwait (ERP/CRM/POS consultancy), HQ in Sharq, Kuwait. No careers page or job posting independently confirmed this pass."
58,Fortinet,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Search snippet mentions a Major Account Manager role open to candidates 'based in Kuwait, Bahrain, and UAE' -- but the guessed official careers-search URL 404'd, so not independently re-verified first-party."
59,Grand Hyatt Kuwait,employer_candidate,approve_unchanged,na,https://careers.hyatt.com/en-us/careers/search;https://newsroom.hyatt.com/news-releases?item=124287,
60,Taiba Hospital,employer_candidate,approve_unchanged,na,https://www.taibahospital.com/,
61,Foodics,employer_candidate,approve_unchanged,na,https://www.foodics.com/careers,"CONFIRMED: careers/contact page displays a dedicated Kuwait phone number (22086665) alongside other regional office numbers, confirming a genuine Kuwait office presence. Already has a verified Saudi row (cc-foodics) -- reuse the existing market-neutral canonical_company_id for a Kuwait row, per repository convention, flagged for human confirmation of the exact id-reuse decision."
62,Sephora,employer_candidate,approve_unchanged,na,https://jobs.sephora.com/MiddleEast/job/Kuwait/846032755/,
63,Snoonu,employer_candidate,hold_manual_review,na,https://entarabi.com/en/2026/05/snoonu-announces-its-official-expansion-into-kuwait/,"PASS 3 (2026-09-13): Re-attempted; snoonu.com/careers still HTTP 403 (persistent bot-block). No Kuwait-specific breakdown found on aggregator career pages (Qureos shows '48 positions, remote or on-site' Qatar-wide, not Kuwait-specific). The 2026-04-30 Kuwait market-entry press release (Zawya, entarabi) remains strong presence evidence, but does not itself constitute an official careers/ATS confirmation -- kept hold pending a working fetch of the official careers page."
64,ABYAT,employer_candidate,approve_unchanged,na,https://jobs.abyat.com/;https://www.abyat.com/kw/en/about,
65,Al Mashaan General Trading & General Contracting for Buildings Co.,employer_candidate,approve_unchanged,na,https://www.almgtc.com/about-us,
66,Hitachi Energy,employer_candidate,approve_unchanged,na,https://www.hitachienergy.com/careers;https://careers.hitachi.com/search/jobs/in/country/kuwait,
67,American International University Kuwait,employer_candidate,approve_unchanged,na,https://www.aiu.edu.kw/,"CONFIRMED: real institution, official domain aiu.edu.kw, with explicit careers-section links found ('Jobs at AIU' at /about/jobs-at-aiu, 'Internships at AIU', and a Human Resources page). Distinct from Australian University Kuwait (#82, similarly-named but different institution)."
68,Sanad Education,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Likely match found: 'Sanad Edu' (sanadeducation.co), a Kuwait-based study-abroad education consultancy. Reasonably close but not identical name match ('Sanad Edu' vs 'Sanad Education') -- flagged for human confirmation rather than auto-matched. No careers page confirmed."
69,Amalfi Foods,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Real company confirmed, official domain amalfifoods.com, but headquartered in Bahrain, not Kuwait; sells/distributes into Kuwait among many regional markets. Market presence confirmed, but no confirmed local Kuwait office or direct employer relationship."
70,AMICO Group,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Correct official domain identified: amicogroup.com (NOT amico-group.com, a confirmed parked/resale domain). Direct fetch of amicogroup.com/careers hit an HTTP 307 redirect my tool could not follow. Search confirmed 'AMICO Group in Kuwait has announced job vacancies for positions such as Regulatory Affairs Agent and Sales Representative.' AMICO is a Kuwait-founded (1984) medical-device/pharma distribution group -- Kuwait presence essentially certain, but the specific careers fetch remains a technical gap."
71,Jeppesen ForeFlight,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): No Kuwait-specific evidence found; Boeing's careers portal lists Jeppesen roles only in Abu Dhabi, Centennial (CO), and San Jose (CA)."
72,United Steel Industrial Co.,employer_candidate,approve_unchanged,na,https://www.kwtsteel.com/about,
73,Four Seasons Kuwait,employer_candidate,approve_unchanged,na,https://careers.fourseasons.com/us/en/search-results?keywords=Kuwait,
74,PingWind,employer_candidate,insufficient_evidence,na,,"RECOVERY PASS 2 (2026-09-13): Fresh search confirmed PingWind is a real company, but it is a US-based (Annandale, Virginia) SDVOSB IT/cybersecurity firm with no discoverable Kuwait connection whatsoever. Genuine no-Kuwait-relevance finding."
75,TrendAI,employer_candidate,insufficient_evidence,na,,"RECOVERY PASS 2 (2026-09-13): Fresh search found a real company literally named 'TrendAI' (trendaisecurity.com, AI-powered cybersecurity) with a social post tagged '#saudiarabia' -- suggesting Saudi, not Kuwait, association. No Kuwait-specific evidence found. Genuine identity/relevance gap persists."
76,Libera Consultants,possible_recruitment_or_staffing_source,hold_manual_review,insufficient_evidence,,"RECOVERY PASS 2 (2026-09-13): Confirmed real: an oil & gas executive-search/recruitment firm established 2022, headquartered in Dubai, UAE, covering 'across the Middle East region.' No Kuwait-specific office confirmed."
77,SRVME / SRVME App,employer_candidate,approve_unchanged,na,https://www.srvme.com,
78,Penspen,employer_candidate,approve_unchanged,na,https://www.penspen.com/regions/east-region/,
79,Fiorito,employer_candidate,geo_ineligible,na,,"RECOVERY PASS 2 (2026-09-13): Fresh search for 'The Flex' Kuwait remote hiring found no evidence confirming Kuwait-resident eligibility, and no evidence overturning the original pass's direct confirmation that Kuwait is absent from The Flex's current and coming-soon markets. Reclassified from insufficient_evidence to geo_ineligible per explicit task instruction (Section 5)."
80,Marriott Executive Apartments Kuwait City,employer_candidate,approve_unchanged,na,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,
81,National Bank of Kuwait (NBK),possible_recruitment_or_staffing_source,already_present,already_present,https://careers.nbk.com/,Exact match to existing verified Kuwait row cc-national-bank-of-kuwait in master-company-registry.csv.
82,Australian University Kuwait,employer_candidate,approve_unchanged,na,https://careers.au.edu.kw/;https://wuzzuf.net/jobs/p/0KwoakBwAVnZ-Assistant-Manager--Alumni-and-Career-Placement-The-Australian-University-AU-Kuwait-City-Kuwait,
83,Worley,employer_candidate,approve_unchanged,na,https://worley.com/en/careers;https://www.worley.com/en/about-us/where-we-operate/kuwait,
84,Numerica Financial Advisory,employer_candidate,hold_manual_review,na,,"PASS 3 (2026-09-13): RESOLVED IDENTITY. Fresh search found the exact matching entity via its official LinkedIn organization page ('Numerica Financial Advisory') and official domain (numericaadvisory.com). Direct fetch confirmed Kuwait phone numbers (+965 96666002, +965 99211653) on the official site -- Kuwait presence confirmed. No careers/jobs page found in the site navigation (Our Clients, About Us, Our Services, Our Team, Blog, Contact Us only) -- held rather than approved for lack of any careers/hiring evidence."
85,Al-Futtaim,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): Own careers page confirmed real but redirects to an external portal (afuturewithus.com) that could not be fetched this pass (connection reset). Third-party sources list 6 Kuwait roles -- not independently re-verified first-party.
86,Bureau Veritas,employer_candidate,approve_unchanged,na,https://careers.bureauveritas.com/,
87,SpaStaff / Spa Staff.com,possible_recruitment_or_staffing_source,insufficient_evidence,insufficient_evidence,https://www.spastaff.com/,"RECOVERY PASS 2 (2026-09-13): See kuwait-source-research.csv for the corrected SOURCE-role finding (Kuwait coverage now confirmed). As an EMPLOYER, SpaStaff.com remains not applicable -- it is a recruitment marketplace, not a direct Kuwait employer."
88,Ali Abdulwahab Al Mutawa Commercial Co.,employer_candidate,approve_unchanged,na,https://aaw.com/,
89,American University of Kuwait (AUK),possible_recruitment_or_staffing_source,already_present,already_present,https://careers.auk.edu.kw/,"Exact match to existing verified Kuwait row cc-american-university-of-kuwait in master-company-registry.csv. NOTE: distinct from American International University Kuwait (#67, aiu.edu.kw) -- two separate, similarly-named institutions, not conflated."
90,Hyatt Regency Kuwait,employer_candidate,approve_unchanged,na,https://careers.hyatt.com/en-us/careers/search;https://newsroom.hyatt.com/news-releases?item=123781,
91,Meituan,employer_candidate,hold_manual_review,na,https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity,RECOVERY PASS 2 (2026-09-13): Same resolution as #26 -- Meituan's international delivery brand is Keeta; see #26 for full evidence. Meituan has no separate direct Kuwait presence beyond the Keeta brand.
92,General Dynamics Information Technology (GDIT),employer_candidate,geo_ineligible,na,https://www.gdit.com/careers/,CONFIRMED: careers page focuses exclusively on US-based defense/intelligence/homeland-security roles; no Kuwait or international locations referenced despite GDIT's parent (General Dynamics) having known global defense-contractor operations. No Kuwait-specific evidence found on the public careers site this pass.
93,Americana Restaurants,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): No new first-party careers evidence, but a significant new fact: Americana Restaurants' own official site states its corporate history as originating 'in Kuwait back in 1964' and being 'publicly traded on the Kuwait Stock Exchange' -- the SAME founding year and KSE-listing fact already used for the existing baseline row cc-americana-group. Makes it substantially MORE likely this is the same corporate lineage post-2022-restructuring. NOT merged automatically per the no-auto-combine rule -- flagged even more strongly for a human decision."
94,Diyar United Company,employer_candidate,approve_unchanged,na,https://www.diyarme.com,
95,V2X,employer_candidate,geo_ineligible,na,https://www.gov2x.com/careers,"CONFIRMED: careers page states '~16,000 Global Employees operating in 47 countries and territories' but does not name or reference Kuwait specifically anywhere in the fetched content, despite V2X being a defense-logistics contractor type that sometimes operates in Gulf theaters. No Kuwait-specific evidence found on the public careers site this pass."
96,SLB,employer_candidate,approve_unchanged,na,https://apply.slb.com/careers?location=Kuwait&pid=563499718832380&domain=slb.com,
97,Oryx,employer_candidate,approve_unchanged,na,https://www.oryxholding.com/about-us/,
98,"Nalco Water, an Ecolab Company",employer_candidate,duplicate_or_alias,na,,"Nalco Water is publicly documented as Ecolab's water-treatment division/brand globally (corporate-structure fact, independent of Kuwait-specific confirmation). Treated as an alias of Ecolab (#99) rather than a separate row. Ecolab's own Kuwait presence is itself only hold_manual_review pending confirmation -- if Ecolab is not ultimately staged for Kuwait, this alias entry would not be staged either."
99,Ecolab,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): Explicit negative signal found: Glassdoor states 'No Jobs at Ecolab in Kuwait' currently. Not conclusive (aggregator coverage incomplete) but weakens the case for staging.
100,Radisson Hotel Group,employer_candidate,approve_unchanged,na,https://radissoncareers.com/jobs?location=Kuwait,
101,Larsen & Toubro,employer_candidate,approve_unchanged,na,https://www.larsentoubro.com/corporate/careers/;https://www.larsentoubro.com/kuwait-construction/careers,
102,ADES / Advanced Energy Systems,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Identity resolved -- 'Advanced Energy Systems' is confirmed as a genuine alternate/trading name for ADES (per its own social channels, e.g. '@adesdrilling' titled 'ADES - Advanced Energy Systems'). ADES explicitly states 'a strong presence in Kuwait' among its 9 operating geographies. No Kuwait-specific careers page or job posting independently confirmed this pass."
103,Mashreq,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Own corporate description confirms 'growing retail presence in the region including Egypt, Qatar, Kuwait and Bahrain' (tier-1 market confirmation), but no Kuwait-specific careers URL or job posting confirmed."
104,Apparel Group,employer_candidate,approve_unchanged,na,https://www.apparelgroup.com/en/careers/,"CONFIRMED: official careers page explicitly states 'KUWAIT Brands 50 Stores 153', confirming a substantial genuine Kuwait retail presence. Already has a verified Saudi row (cc-apparel-group-sa) -- reuse the existing market-neutral canonical_company_id for a Kuwait row, per repository convention, flagged for human confirmation. Note: the specific brands operated in Kuwait (e.g. whether this includes Abercrombie & Fitch/Hollister, #105/#106) were not itemized in the fetched content."
