supplied_name,normalized_name,candidate_type,existing_or_new,matched_canonical_company_id,matched_source_record_id,target_market,official_website_url,official_careers_url,ats_provider,public_jobs_endpoint_or_feed,official_linkedin_company_url,linkedin_jobs_url,Lebanon_remote_eligibility,evidence_urls,decision,decision_reason
App4Legal,Lexzur (formerly App4Legal),employer_company,new,cc-app4legal-lexzur,sr-lb-app4legal-lexzur,Lebanon,https://www.lexzur.com/,none found,unknown,none found,not_verified,not_verified,unknown,https://www.app4legal.com (redirect confirmed); https://www.lexzur.com/; https://www.lexzur.com/contact,new_needs_manual_review_record_added,"Rebrand (App4Legal -> Lexzur) confirmed directly, but no distinct careers destination exists, and current Lebanon relevance could not be confirmed despite the company's historical Beirut origin."
People365 (Lebanon list),People365 HCM,employer_company,new,cc-people365,sr-lb-people365,"Lebanon (+ Saudi Arabia, Qatar — see separate rows)",https://people365.com/,https://p365.people365cloud.com/careers/#/Landing,custom (People365cloud),"portal exists, JS-rendered — listings not enumerable",not_verified,not_verified,"not_applicable (Lebanon HQ, on-site)",https://people365.com/; https://p365.people365cloud.com/careers/#/Landing,new_verified_record_added,"Own domain and a distinct, own-domain careers portal both confirmed directly from the company's own site navigation. Supplied on BOTH a Lebanon and a Gulf list — own-site content confirms multi-market operations (Lebanon, Qatar, KSA); see separate needs_manual_review rows filed for Qatar/Saudi Arabia given weaker market-specific job evidence there."
Intalio,Intalio,employer_company,new,cc-intalio,sr-lb-intalio,Lebanon,https://www.intalio.com,https://www.intalio.com/careers,none,none (email application),not_verified,not_verified,"not_applicable (Lebanon-based, on-site)","https://www.intalio.com/careers; https://careers.beirutdigitaldistrict.com/jobs/show/1155/net-developer-internship-intalio; https://www.glassdoor.com/Location/Intalio-Beirut-Location-EI_IE15878.0,7_IL.8,14_IC3558366.htm",new_needs_manual_review_record_added,"CORRECTED on 2026-09-04 evidence-classification audit: originally added as new_verified_record_added, then downgraded to needs_manual_review because its careers-page content (open roles, internship program) was inferred from a search-indexed snippet and a third-party portal listing, never a direct read of Intalio's own careers page, which is JS-rendered. The official domain and Beirut office remain genuinely confirmed."
RemotelyX (as Lebanon employer),RemotelyX,staffing_or_recruitment_agency,new,,,none/rejected (see source-role row below),https://www.remotelyx.com/,none found,none,none,not_verified,not_verified,not_applicable to this angle,https://www.remotelyx.com/; https://www.remotelyx.com/for-job-seekers,rejected_irrelevant,"No evidence of RemotelyX's own internal-staff careers channel — its ""for job seekers"" content is a client-placement funnel, not internal hiring. Evaluated separately as a job-source platform (see the RemotelyX source-role row)."
SE Factory (as Lebanon employer),SE Factory,training_or_education_provider,new,,,none/rejected (see source-role row below),https://www.sefactory.io/,none found,not_applicable,not_applicable,not_verified,not_verified,not_applicable to this angle,https://www.sefactory.io/,rejected_unverifiable,"No primary evidence of SE Factory's own internal-staff hiring channel found. Per product rule, not added merely as a training/bootcamp entity. Evaluated separately as a placement source (see the SE Factory source-role row)."
RemotelyX (as remote job source),RemotelyX,staffing_or_recruitment_agency,new,cc-remotelyx,sr-intl-remotelyx-source,international-remote (Lebanon-origin talent placement),https://www.remotelyx.com/,not_applicable,custom (careers.remotelyx.com),"no API/feed; general-application funnel only, no per-role canonical URLs",not_verified,not_verified,"location_unclear (own site does not explicitly confirm applicant-geography eligibility; third-party Tracxn/Trustpilot data points to a Tripoli, Lebanon HQ and a Lebanon-talent placement premise)",https://www.remotelyx.com/; https://www.remotelyx.com/for-job-seekers; https://careers.remotelyx.com/open-application,source_only_record_added,"Legitimate, independently-corroborated staffing/placement platform whose founding premise is placing Lebanese remote talent — fits as a manual-referral source, not an automated-ingestion feed (listings not structured for scraping)."
SE Factory (as remote job source),SE Factory,staffing_or_recruitment_agency,new,cc-se-factory,sr-lb-se-factory,Lebanon (placement reach into GCC/US/Europe),https://www.sefactory.io/,not_applicable,not_applicable,"none — ""Talent Network"" is a curated introduction/matching service, not a public listing or API",not_verified,not_verified,"not_applicable (this is a Lebanon-based placement service, not a remote-eligibility question)",https://www.sefactory.io/; https://www.sefactory.io/talent-network,new_needs_manual_review_record_added,"Real, described placement service confirmed via own domain, but language strongly suggests the candidate pool is drawn from SE Factory's own bootcamp graduates rather than being open to any Lebanon job seeker — eligibility could not be conclusively resolved. Not added as a course (per exclusion rule); only its placement service was evaluated."
Al Tamimi & Company,Al Tamimi & Company,professional_services_firm,new,cc-al-tamimi-company,sr-sa-al-tamimi-company; sr-ae-al-tamimi-company,UAE (Dubai; Sharjah) + Saudi Arabia (Jeddah),https://www.tamimi.com,https://www.tamimi.com/join-us/careers/,Talentera,https://tamimi.talentera.com/,not_verified,not_verified,not_applicable (on-site regional legal roles),https://tamimi.talentera.com/; https://www.tamimi.com/join-us/careers/,new_verified_record_added,"Own ATS (Talentera) shows live current postings in Dubai/Sharjah and Jeddah — direct evidence of genuine hiring presence in both markets, not just office/HQ existence. No Qatar or Kuwait postings found, so not added there."
Cedar Digital Solutions,Cedar Digital Solutions,employer_company,new,cc-cedar-digital-solutions,sr-lb-cedar-digital-solutions,Lebanon (NOT Gulf — see decision_reason),https://cedardigitalsolutions.com/,none found,none,none found,not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://cedardigitalsolutions.com/,new_needs_manual_review_record_added,"Confirmed official site is Tripoli, Lebanon-based, not Gulf as the source list tagged it, and has no own careers/jobs page. IMPORTANT: a distinctly different company, ""Cedar Digital"" (cedardigital.io, a GCC-focused venture studio), may be the one the original LinkedIn source actually intended — that company was NOT researched/added since it was not the literal supplied name; recommend human disambiguation."
Cosmo,(unresolved — too generic),unclear,new,,,none/rejected,none found,none found,none,none,not_verified,not_verified,not_applicable,"(none met the verification bar — 6 unrelated ""Cosmo""-named companies surfaced across multiple countries/industries)",rejected_unverifiable,"""Cosmo"" is too generic — at least 6 unrelated companies surfaced and none could be confidently identified as the one the user intended from a LinkedIn screenshot."
Drive Terra,Drive Terra (Terra Tech Ltd.),employer_company,new,cc-drive-terra,sr-ae-drive-terra,UAE (Dubai),https://www.driveterra.com/,https://www.driveterra.com/careers,none,none (email application),not_verified,not_verified,not_applicable (on-site UAE operational role type),https://www.driveterra.com/; https://www.driveterra.com/careers,new_verified_record_added,Own domain confirmed (DIFC Dubai HQ) with a dedicated distinct careers page and documented application channel — meets the verified bar despite zero current openings.
Dubai Municipality,Dubai Municipality,government_entity,new,cc-dubai-municipality,sr-ae-dubai-municipality,UAE (Dubai),https://www.dm.gov.ae,https://jobs.dubaicareers.ae/careersection/dubaicareers/jobsearch.ftl?ignoreSavedQuery&f=ORGANIZATION(3805100456)&lang=en,custom (Dubai Careers portal),https://jobs.dubaicareers.ae/careersection/dubaicareers/jobsearch.ftl?ignoreSavedQuery&f=ORGANIZATION(3805100456)&lang=en,not_verified,not_verified,not_applicable (on-site Dubai government role; many roles carry Emirati-national restrictions),https://www.dm.gov.ae; https://jobs.dubaicareers.ae/careersection/dubaicareers/jobsearch.ftl?ignoreSavedQuery&f=ORGANIZATION(3805100456)&lang=en,new_verified_record_added,"Official government entity's own site links directly to the official Dubai Government careers portal, org-filtered specifically to Dubai Municipality — a legitimate, confirmable public-sector source."
Esnad Contracting,ESNAD Constructions Company,construction,new,cc-esnad-contracting,sr-sa-esnad-contracting,Saudi Arabia (Riyadh),https://www.esnadcontracting.com,https://www.esnadcontracting.com/jobs/?lang=en,none,https://www.esnadcontracting.com/career-statement/?lang=en,not_verified,not_verified,not_applicable (on-site Saudi construction role),https://www.esnadcontracting.com/?lang=en; https://www.esnadcontracting.com/jobs/?lang=en,new_needs_manual_review_record_added,"CORRECTED on 2026-09-04 evidence-classification audit: originally added as new_verified_record_added, then downgraded to needs_manual_review due to an unresolved name-collision risk (4 similarly-named Saudi entities exist; a Jeddah job ad could not be conclusively tied to this exact domain) that was documented at research time but not acted on when the record was first written."
newtecx,NewtecX,employer_company,new,cc-newtecx,sr-qa-newtecx; sr-sa-newtecx; sr-kw-newtecx,Qatar (Doha) + Saudi Arabia (Riyadh) + Kuwait (Kuwait City),https://newtecx.com/,https://newtecx.com/careers.html,none,none (email: hr@newtecx.com),not_verified,not_verified,"location_unclear (one job track lists ""Remote"" alongside Doha/Riyadh, not confirmed as Lebanon-open)",https://newtecx.com/; https://newtecx.com/careers.html,new_verified_record_added,"Own careers page lists multiple current, location-tagged openings confirming genuine hiring presence in all three markets simultaneously."
Socienta,Socienta,employer_company,new,cc-socienta,sr-ae-socienta,UAE (Abu Dhabi),https://socienta.com/,none found,unknown,none found,not_verified,not_verified,not_applicable,https://socienta.com/about-us/,new_needs_manual_review_record_added,"Real, operating, award-nominated PropTech company confirmed (Abu Dhabi primary, Dubai secondary office), but no distinct careers destination or job listing exists anywhere on the site."
Toothpick,Toothpick SAL,employer_company,new,cc-toothpick,sr-lb-toothpick,Lebanon (tentative — see decision_reason),https://toothpick.com/ (blocked),none confirmed,unknown,unknown,not_verified,not_verified,unknown,"(none directly fetched — toothpick.com, toothpick.com/careers, lb.toothpick.com/en all returned HTTP 403 on every attempt)",new_needs_manual_review_record_added,"Real, multi-market company confirmed via regional subdomains and its ""SAL"" (Lebanese joint-stock) legal suffix, but every direct fetch was blocked. Target-market classification is genuinely ambiguous (one third-party source claimed Abu Dhabi HQ) — filed under Lebanon on the strength of the legal-entity evidence; a human should resolve this with a manual browser visit."
Netways,Netways,professional_services_firm,new,cc-netways,sr-lb-netways; sr-sa-netways; sr-qa-netways; sr-ae-netways,Lebanon + Saudi Arabia + Qatar + UAE,https://www.netways.com/,https://www.netways.com/career.html,none,none (email: cv@netways.com),not_verified,not_verified,not_applicable (on-site regional consultancy roles; Lebanon office itself confirmed),https://www.netways.com/career.html; https://www.netways.com/findlocation.html,new_verified_record_added,"Official ""Worldwide Locations"" page directly lists offices in all four markets, combined with a live, own-domain careers page listing current openings and a dedicated internship channel — strong primary-source evidence of genuine multi-market presence. No Kuwait office found, so not added there."
Business Partners – شركاء الأعمال,(unresolved),unclear,new,,,none/rejected,none found,none found,none,none,not_verified,not_verified,not_applicable,(none met the verification bar),rejected_unverifiable,"Both Arabic and English renderings returned only generic ""HR Business Partner"" job-title content and recruitment-agency directories — no single distinct company with an identifiable official domain could be found."
Aspire Software,Aspire Software (Valsoft Corporation),employer_company,new,cc-aspire-software-valsoft,sr-lb-aspire-software-valsoft,Lebanon,https://www.aspiresoftware.com,https://www.aspiresoftware.com/careers-culture/,Workable,apply.workable.com/valsoftaspire-software/,not_verified,not_verified,"not_applicable (evidence shows Lebanon-located roles, not remote-from-anywhere)",https://www.aspiresoftware.com/careers-culture/; https://www.aspiresoftware.com/open-roles/; Bayt.com listing titles corroborating Lebanon location,new_needs_manual_review_record_added,"CORRECTED on 2026-09-04 evidence-classification audit: originally added as new_verified_record_added, then downgraded to needs_manual_review because the core Lebanon-location evidence rested on Bayt.com (a third-party aggregator), not a direct read of the primary Workable ATS page, which is JS-rendered and was never directly rendered. The domain and company identity remain genuine and unchanged."
BrightCHAMPS,BrightCHAMPS,ed_tech_employer,new,cc-brightchamps,sr-intl-brightchamps,international-remote,https://brightchamps.com,https://brightchamps.com/en-us/careers-teacher,Freshteam / Zoho Recruit,"ATS-hosted listing pages, browsable",not_verified,not_verified,location_unclear,https://brightchamps.com/en-us/careers-teacher; https://brightchamps.com/en-us/careers,new_needs_manual_review_record_added,"Genuine ed-tech employer of tutors (evaluated as employer, not course content, per the exclusion rule), with real open remote roles confirmed via two ATS instances — but Lebanon eligibility not explicit; listings skew India/remote-unspecified."
CareerByteCode,CareerByteCode,learning_community_or_marketplace,new,,,none/rejected,https://www.careerbytecode.in/,none found,not_applicable,"not_applicable (hosts a third-party listing marketplace, not own hiring)",not_verified,not_verified,not_applicable,https://www.careerbytecode.in/,rejected_irrelevant,"This is a course/cohort/mentorship/creator-earnings platform, not itself a genuine employer with real job openings — matches the course/publisher exclusion rule."
Chipa Tech,(identity uncertain),unclear,new,,,none/rejected,"https://chipatech.com (best-guess match, unconfirmed identity)",none found (404),none confirmed,none found,not_verified,not_verified,location_unclear,https://chipatech.com (homepage only),rejected_unverifiable,"Company identity itself carries real disambiguation risk (an unrelated ""Chipa"" fintech and other similarly-named entities exist); no confirmed careers destination found. A WebSearch AI-summary claimed a remote Lebanon-eligible role existed but this could NOT be confirmed by direct fetch (404) and is explicitly not treated as evidence."
Cogent Softech,Cogent Softech,employer_company,new,,,none/rejected,https://www.cogentsoftech.com,none found,none,none,not_verified,not_verified,not confirmed — no remote or target-market connection found,https://www.cogentsoftech.com,rejected_geographically_ineligible,"Real, small, Michigan-based custom-software shop confirmed directly (distinct from the similarly-named ""Cogent Infotech""), but no careers page and zero evidence of remote hiring open to Lebanon-based applicants or presence in any target Gulf market."
FIFA,FIFA,sports_or_intergovernmental_organization,new,,,none/rejected,https://www.fifa.com,https://jobs.fifa.com,proprietary,https://jobs.fifa.com/work-with-us,not_verified,not_verified,not_applicable_onsite_only,https://jobs.fifa.com/work-with-us,rejected_geographically_ineligible,"Real, legitimate employer with a genuine careers page, but roles are on-site in Zurich/regional offices with minimal home-office flexibility (""up to two days per week"") — no remote or Lebanon-eligible pathway exists."
FlowOn,(no distinct company identified),unclear,new,,,none/rejected,none found,none found,none,none,not_verified,not_verified,not_applicable,"(none confirmed — only unrelated ""Flow""-named companies surfaced)",rejected_unverifiable,"After multiple targeted searches (incl. MENA/Lebanon-specific and hiring-specific queries), no distinct official ""FlowOn"" company/domain could be confidently identified."
Packt,Packt Publishing,publisher,new,cc-packt,sr-intl-packt,international-remote,https://www.packtpub.com,https://apply.workable.com/packt-publishing/?lng=en,Workable / Trakstar,ATS-hosted listings (JS-rendered),not_verified,not_verified,location_unclear,https://apply.workable.com/packt-publishing/?lng=en; https://packtpub.hire.trakstar.com/,new_needs_manual_review_record_added,"Packt qualifies as an employer independent of its publishing/course content (own-branded ATS, real corporate roles per third-party headcount data) — correctly NOT excluded as a course/book publisher — but listings could not be directly rendered and Lebanon eligibility is unconfirmed."
Revolt Media Group,REVOLT,employer_company,new,,,none/rejected,https://www.revolt.tv,none found on operator's own site,unknown,none (only third-party listings found),not_verified,not_verified,not_applicable_onsite_only,https://www.revolt.tv/about,rejected_geographically_ineligible,"Legitimate US media company (Atlanta/LA-based), but no confirmed remote/Lebanon-eligible hiring and no operator-run careers destination found."
SoftHub,(no distinct company identified),unclear,new,,,none/rejected,none confirmed,none found,none,none,not_verified,not_verified,not_applicable,"(none — only third-party directory listings found, no operator-owned domain reached)",rejected_unverifiable,Name too generic to confidently identify one specific official company/domain; no operator-owned site or hiring evidence found.
Viaka,Viaka,founder_investor_ecosystem_platform,new,,,none/rejected,https://www.viaka.net,none found,none,none,not_verified,not_verified,not_applicable,https://www.viaka.net,rejected_irrelevant,"Real, verifiable MENA-connected organization confirmed, but its core function is a founder/investor networking and events platform, not a hiring employer or job source — no careers page or job openings evidence found."
ADPList (as employer),ADPList,employer_company,new,cc-adplist,sr-intl-adplist,international-remote,https://www.adplist.org,https://adplist.notion.site/Careers-at-ADPList-87b129322e144be0ad5de46a46211ee3,custom (Notion-hosted),not independently enumerable,not_verified,not_verified,location_unclear,https://adplist.notion.site/Careers-at-ADPList-87b129322e144be0ad5de46a46211ee3; https://jobs.surgeahead.com/jobs/adplist,new_needs_manual_review_record_added,"ADPList itself is a real organization with a distinct, operator-owned careers destination confirmed directly, but current specific listings and Lebanon eligibility could not be confirmed. Expect very few open roles (small team relative to user base)."
ADPList (as job source),ADPList,mentorship_platform,new,,,none/rejected,https://www.adplist.org,not_applicable,not_applicable,not_applicable,not_verified,not_verified,not_applicable_onsite_only,https://www.adplist.org,rejected_irrelevant,ADPList connects mentees with volunteer mentors for career coaching — it does not list third-party job openings and is not a job-source/platform in the employment-listing sense this registry tracks.
LinkedIn,LinkedIn,job_board_or_aggregator,existing (already used product-wide for manual discovery),,,not_applicable,https://www.linkedin.com,not_applicable,not_applicable,none suitable for automated use,not_applicable,not_applicable,"not_applicable (usage restriction is policy-based, not geographic)",,rejected_unsafe_or_unsuitable,"Fixed, non-negotiable product policy: linkedin_usage_classification=manual_discovery_or_application_link_only. LinkedIn must never be classified as suitable for automated scraping/ingestion. It remains usable elsewhere in the product strictly for manual discovery and providing users the original job link — no row is added to any market CSV for LinkedIn itself."
Remote Circle,Remote Circle,job_board_or_aggregator,new,,,none/rejected,unreachable (see decision_reason),not_applicable,not_applicable,none found,not_verified,not_verified,location_unclear,https://remotecircle.com (redirects to an unrelated Paris hotel booking site); https://remotecircle.io (DNS does not resolve),rejected_unverifiable,The platform's primary domain now redirects to an unrelated business and the .io variant does not resolve at all — not reachable at any expected official domain; no citable live successor found.
We Work Remotely,We Work Remotely,job_board_or_aggregator,new,cc-we-work-remotely,sr-intl-we-work-remotely,international-remote,https://weworkremotely.com,not_applicable,not_applicable,Public RSS feed (weworkremotely.com/remote-jobs.rss); partner API on request,not_verified,not_verified,location_unclear,"(direct WebFetch blocked, HTTP 403, both attempts; evidence is search-indexed confirmation of the RSS feed structure)",source_only_record_added,"Well-established, legitimate, free-for-job-seekers job board with a documented public RSS feed and original employer-submitted listings; recommend a manual/browser re-check given WebFetch was blocked both attempts."
Hubstaff Talent,Hubstaff Talent,freelance_or_gig_marketplace,new,cc-hubstaff-talent,sr-intl-hubstaff-talent,international-remote,https://hubstafftalent.net/,not_applicable,not_applicable,browsable public profiles; no documented API,not_verified,not_verified,location_unclear,https://hubstafftalent.net/,source_only_record_added,"Legitimate, free, global freelance marketplace directly confirmed via its own About/pricing statement; no country-exclusion evidence found, though no explicit Lebanon confirmation either. Note: primary domain moved from talent.hubstaff.com to hubstafftalent.net."
Remote Woman,RemoteWoman,job_board_or_aggregator,new,cc-remote-woman,sr-intl-remote-woman,international-remote,https://remotewoman.com,not_applicable,not_applicable,"plain HTML public listings, no documented API",not_verified,not_verified,location_unclear,https://remotewoman.com,source_only_record_added,"Real, legitimate job board/community directly confirmed with original free listings; not gender-restricted for applications despite branding, but geographic reach skews US and Lebanon eligibility unconfirmed."
Wellfound / AngelList Talent,Wellfound,job_board_or_aggregator,new,cc-wellfound,sr-intl-wellfound,international-remote,https://wellfound.com,not_applicable,not_applicable,"plain HTML public listings, no documented public API",not_verified,not_verified,location_unclear,https://wellfound.com/jobs,source_only_record_added,"Large, free-to-browse startup job board directly confirmed, with ""Everywhere"" remote and international listings observed; no country-block evidence found, though heavily US-skewed and Lebanon eligibility unconfirmed."
Remotive,Remotive,job_board_or_aggregator,new,cc-remotive,sr-intl-remotive,international-remote,https://remotive.com,not_applicable,not_applicable,Documented public API (remotive.com/remote-jobs/api) and RSS feed,not_verified,not_verified,location_unclear,https://remotive.com,source_only_record_added,"Genuinely documented free public API/RSS tier confirmed directly, but full listing coverage is reportedly paywalled beyond a small free-tier subset (~0.4% of roles per platform claims) — flag clearly before relying on it for volume. Lebanon eligibility unconfirmed."
WorkWave,WorkWave,single_b2b_software_employer,new,,,none/rejected (not a source platform),https://www.workwave.com,https://www.workwave.com/careers,Lever,https://jobs.lever.co/workwave,not_verified,not_verified,not evaluated (out of scope for this angle),https://www.workwave.com/careers; https://jobs.lever.co/workwave,rejected_irrelevant,"WorkWave is a single B2B software company (field-service/CRM software) with its own ordinary careers page — an individual employer, not a ""remote-source"" job platform/board. The recommendation list appears to have mischaracterized it; not evaluated or added as an individual-employer candidate since it was not supplied in that context."
AI Jobs Board / theaijobboard.com,The AI Job Board,unclear (domain now non-functional),new,,,none/rejected,https://theaijobboard.com (redirects to an unrelated bakery site),not_applicable,not_applicable,none reachable,not_verified,not_verified,location_unclear,"https://theaijobboard.com (redirects to https://sigridsbakery.com/products/, confirmed twice)",rejected_unverifiable,"The named domain no longer serves an AI job board — it currently redirects to an unrelated bakery products page on two independent fetch attempts. Do not confuse with unrelated, unvetted competitors (aijobs.ai, aijobs.com, aijobboard.io)."
Toptal,Toptal,freelance_or_gig_marketplace,existing,cc-toptal,sr-intl-toptal,international-remote,"(existing record, see international-remote.csv)",not_applicable,not_applicable,,not_verified,not_verified,location_unclear (per existing record),(spot-check only; see existing docs/job-source-discovery/international-remote.csv row cc-toptal),already_present_no_change,"Existing row already reflects an honest, conservative classification (geographic_scope=location_unclear, automation_eligibility=manual_only, needs_manual_review) consistent with what a fresh check would find — no update warranted."
FlexJobs,FlexJobs,job_board_or_aggregator,new,,,none/rejected,https://www.flexjobs.com,not_applicable,not_applicable,none public — paid membership required,not_verified,not_verified,location_unclear,https://www.flexjobs.com/pricing (via search); https://www.flexjobs.com/blog/post/faq-finding-international-flexible-jobs-on-flexjobs (via search),rejected_unsafe_or_unsuitable,"Confirmed subscription-gated for job seekers with recurring charges and a pricing-anchoring pattern (low trial price auto-renewing to a much higher recurring charge, e.g. $2.95 trial to $23.95/4wk). Charging Lebanon-based job seekers a recurring USD fee to access listings is not appropriate for this product to reference, even though FlexJobs is a legitimate business."
JS Remotely,JS Remotely,job_board_or_aggregator (brand discontinued),new,,,none/rejected,https://jsremotely.com (redirects to javascript.jobs/remote),not_applicable,not_applicable,none under this name,not_verified,not_verified,not_applicable (brand no longer operates independently),https://jsremotely.com (redirects); https://javascript.jobs/remote,rejected_unverifiable,"""JS Remotely"" no longer exists as a distinct platform — its domain now permanently redirects into a differently-branded board (javascript.jobs). Cannot verify the originally-recommended platform still operates as described; that redirect target was not independently vetted as its own candidate."
RemoteOK,RemoteOK,job_board_or_aggregator,new,cc-remoteok,sr-intl-remoteok,international-remote,https://remoteok.com,not_applicable,not_applicable,Documented public JSON API (remoteok.com/api) and RSS feed,not_verified,not_verified,location_unclear,(direct WebFetch returned HTTP 403 both attempts; evidence is search-indexed confirmation of the API terms),source_only_record_added,"Well-documented, free, public JSON API with clear usage terms confirmed via search-indexed sources — genuinely automation-friendly by design, though per-listing Lebanon eligibility varies and was not individually confirmed; recommend a manual re-check given the fetch block."
Jobfound Remote Jobs,Jobfound,job_board_or_aggregator,new,cc-jobfound,sr-intl-jobfound,international-remote,https://jobfound.org,not_applicable,not_applicable,plain HTML aggregated feed; click-through routes to original source,not_verified,not_verified,location_unclear,(direct WebFetch returned HTTP 403 both attempts; evidence is a search-indexed excerpt of jobfound.org/about),source_only_record_added,Legitimate aggregator that explicitly states (per its own About page) it routes to canonical original-source application URLs rather than acting as an intermediary — a transparent pass-through model; Lebanon eligibility unconfirmed and evidence is search-indexed only.
Study.com,Study.com,"employer_company (evaluated, not its course content)",new,cc-study-com,sr-intl-study-com,international-remote,https://study.com,https://study.com/careers.html,unknown,https://study.com/pages/Contractors.html (freelance/contractor track),not_verified,not_verified,location_unclear,(direct WebFetch returned HTTP 403 on every attempt; evidence is search-indexed summaries of the official careers/contractors pages),new_needs_manual_review_record_added,"Real, established company with a genuine careers/contractor pipeline for remote writers/tutors, correctly evaluated as a potential employer rather than its course/certificate products (which remain excluded) — but evidence is search-indexed only (403 blocked every direct attempt) and Lebanon eligibility is unconfirmed; salaried roles skew US-only."
Rev,Rev,freelance_or_gig_marketplace,new,,,none/rejected,https://www.rev.com,not_applicable,not_applicable,none — application/skills-assessment based,not_verified,not_verified,rejected_geographically_ineligible,https://www.rev.com/freelancers; PayPal-Lebanon support status via search,rejected_geographically_ineligible,"Real, established gig-work platform (similar to Appen/Clickworker, already in this registry), but its sole stated payout method, PayPal, is unsupported in Lebanon — making it practically inaccessible for a Lebanon-based user to actually get paid, even though signup itself is not geo-blocked."
