canonical_company_id,company_name,identity_notes,saudi_presence_evidence_category,careers_job_status,remote_eligibility_classification_or_na,url_check_notes,final_decision,correction_before_after_if_any,hold_or_reject_reason_if_any,evidence_urls
cc-tawantech,TAWANTECH,Real Saudi fintech/IT firm,official_saudi_office_address,official_careers_channel_confirmed,na,Workable board loaded but only metadata retrievable this pass; tenant existence reconfirmed,approve_unchanged,none,na,https://apply.workable.com/tawantech/
cc-infinite-pl,Infinite pl,Saudi Post/SPL JV,current_official_job_in_saudi,active_with_confirmed_saudi_jobs,na,"jobs.lever.co/infinitepl returned HTTP 403 this pass (blocked, not contradicted); original evidence already cited a specific live job ID directly",approve_unchanged,none,na,https://jobs.lever.co/infinitepl/8ad7ff0d-22c5-4fa6-ae70-286b4526e21b
cc-alpaca-ksa,Alpaca,Fintech brokerage infra -- CORRECTION FOUND,current_official_job_in_saudi (weaker than claimed),active_with_confirmed_saudi_jobs,Middle-East-GCC-remote-unclear (re-classified down from Saudi-specifically-eligible),Greenhouse board loaded 200 OK; claimed title Lead Product Manager - Saudi does not currently exist. Only Saudi-relevant listing is Brokerage Operations Manager - Saudi categorized under Remote - EMEA,correct_then_approve,"careers_or_ats evidence: before=Lead Product Manager - Saudi (job 5850031004), after=Brokerage Operations Manager - Saudi (Remote-EMEA); downgrade remote-eligibility claim from Saudi-specific to EMEA-regional-unclear",na,https://job-boards.greenhouse.io/alpaca
cc-innovaccer,Innovaccer,Healthcare data SaaS -- CONTRADICTION FOUND,unresolved,not_verified,na,"innovaccer.com/careers lists ONLY San Francisco, Noida, Bengaluru, Abu Dhabi (UAE) -- no Saudi Arabia. Original claim relied solely on Bayt.com aggregator listing",hold_manual_review,na,"Official careers page contradicts claimed Saudi presence; only third-party aggregator evidence exists. Evidence checked: official careers page (contradicts). Missing: first-party Saudi confirmation. Action: verify whether Innovaccer Analytics KSA is a real distinct registered entity, or downgrade to insufficient_evidence.",https://innovaccer.com/careers
cc-elevenlabs,ElevenLabs,"AI voice tech, strong Saudi push confirmed",current_official_job_in_saudi,active_with_confirmed_saudi_jobs,Saudi-specifically-eligible (explicit Strategic Account Executive - Saudi Arabia: Remote plus 3 on-site roles incl. GM),"elevenlabs.io/careers/positions loaded 200 OK, 6 distinct Saudi-relevant roles reconfirmed directly, stronger evidence than originally recorded",approve_unchanged,researcher_notes: upgrade -- evidence stronger than originally noted (6 vs 2 roles),na,https://elevenlabs.io/careers/positions
cc-naphora,Naphora Games Group,Riyadh mobile-game studio,official_page_identifying_saudi_operations (weak reconfirmation),not_verified,na,"Fetch only returned homepage-level header content, not the actual jobs/careers listing structure previously cited",hold_manual_review,na,Prior claim not independently reconfirmed -- only generic homepage snippet retrievable. Evidence checked: naphora.com/careers (partial/inconclusive). Missing: direct confirmation of actual jobs listing. Action: manual browser re-check.,https://www.naphora.com/careers
cc-uxbert-labs,UXBERT Labs,Riyadh UX design agency -- CORRECTION FOUND,official_saudi_office_address,careers_page_confirmed_no_current_saudi_job,na,"uxbert.com/careers loaded 200 OK, Riyadh address confirmed, but page explicitly states No available jobs in the meantime -- contradicts prior 14 open Riyadh roles claim",correct_then_approve,"current_open_jobs_detected: before=unknown, after=no; careers_page_status: before=(implied active_with_open_jobs), after=active_no_open_jobs; replace 14 open Riyadh roles claim with office/address confirmed, currently zero open roles",na,https://uxbert.com/careers
cc-yokogawa-sa,Yokogawa Middle East,Global industrial automation major,"official_saudi_office_address (via sa.yokogawa.com subdomain, not this page)",official_careers_channel_confirmed,na,"mea/about/careers page only references Middle East & Africa broadly, not Saudi Arabia specifically, links out to external Workday portal",approve_unchanged,researcher_notes: add that this hub page is regional not Saudi-specific -- stronger evidence is the sa.yokogawa.com email subdomain cross-referenced in the email audit,na,https://www.yokogawa.com/mea/about/careers/careers-at-yokogawa/
cc-mozn,MOZN,Saudi AI/RegTech startup,official_saudi_office_address,official_careers_channel_confirmed,na,"mozn.ai/careers loaded 200 OK, KSA location confirmed on-page, only external Workable link shown with no titles visible",approve_unchanged,none,na,https://www.mozn.ai/careers
cc-intech-aai,INTECH Automation & Intelligence,"Industrial automation, oil & gas",current_official_job_in_saudi,active_with_confirmed_saudi_jobs,na,"intechww.com/careers/ loaded 200 OK, 13 distinct Saudi Arabia-labeled job titles reconfirmed directly",approve_unchanged,none,na,https://www.intechww.com/careers/
cc-sans,Saudi Air Navigation Services,Government-linked ANSP,official_saudi_legal_entity,official_careers_channel_confirmed,na,"careers.sans.com.sa returned empty content this pass (blocked/rendering issue, not contradicted); no conflation found with the unrelated US SANS Institute",approve_unchanged,none,na,https://careers.sans.com.sa/
cc-fakeeh-care-group,Fakeeh Care Group,Major private healthcare group,official_saudi_office_address,official_careers_channel_confirmed,na,"careers.fakeeh.care/dsfh-riyadh failed with a TLS certificate error this pass (blocked, not contradicted)",approve_unchanged,none,na,https://careers.fakeeh.care/dsfh-riyadh
cc-wisys,Al Watania Information Systems (WiSys),"Saudi IT/SAP consultancy, est. 1999",official_saudi_office_address,official_careers_channel_confirmed,na,"Workable board loaded, official tenant + dual company name reconfirmed, zero specific job titles visible",approve_unchanged,none,na,https://apply.workable.com/alwatania-information-systems/
cc-datamatics,Datamatics Technologies,Global IT/BPO,"current_official_job_in_saudi (from original pass, not reconfirmed)",not_verified,na,"datamaticstechnologies.com/career/ returned HTTP 403 this pass (blocked, not contradicted)",approve_unchanged,none,na,https://datamaticstechnologies.com/career/
cc-gathern,Gathern,Ministry-of-Tourism-licensed booking platform,official_saudi_office_address,official_careers_channel_confirmed,na,Workable board loaded but only metadata/tagline retrievable this pass,approve_unchanged,none,na,https://apply.workable.com/gathern/
cc-sifi,SiFi,"Fintech spend-management, Sanabil/RAED-backed","official_saudi_legal_entity (company real, channel now broken)",unavailable,na,sifi.breezy.hr returns HTTP 404 -- staged official ATS URL is dead,hold_manual_review,na,The official_careers_url now 404s. Evidence checked: direct fetch. Missing: working current careers/ATS link. Action: search for SiFi's current careers URL before promotion.,https://www.sifi.app/en/ (careers sub-link dead)
cc-lenovo-sa,Lenovo,"Global hardware major, new Riyadh regional HQ (Alat JV)",official_saudi_office_address,official_careers_channel_confirmed,na,Specific job URL now returns HTTP 404 -- normal listing churn,correct_then_approve,"evidence_urls: before=dead JobDetail link, after=https://jobs.lenovo.com/ (general search portal, confirmed live); downgrade from active-job claim to careers_page_found pending fresh listing",na,https://jobs.lenovo.com/
cc-capgemini-sa,Capgemini,Global engineering/IT consultancy,official_saudi_office_address,official_careers_channel_confirmed,na,"capgemini.com/sa-en/jobs/ loaded 200 OK as navigation hub with Saudi country-code filter, no specific titles visible",approve_unchanged,none,na,https://www.capgemini.com/sa-en/jobs/
cc-devsinc-sa,Devsinc,Software dev outsourcing firm -- CITY CORRECTION FOUND,"official_saudi_office_address (Al Khobar, not Riyadh)",careers_page_confirmed_no_current_saudi_job,na,"devsinc.com/career/ loaded 200 OK; Open Roles section lists 7 positions, ALL tagged On-site Lahore Pakistan -- zero Riyadh/Saudi listings. Footer confirms real Saudi office but in Al Khobar, not Riyadh as staged",correct_then_approve,"target_city: before=Riyadh, after=Al Khobar; careers_page_status/current_open_jobs_detected: before=(implied active/yes), after=active_no_open_jobs/no (board is Pakistan-only); replace Riyadh job claim with confirmed Al Khobar office, zero current KSA listings",na,https://devsinc.com/career/
cc-bcg-platinion-sa,BCG Platinion,"Distinct branded technology-consulting division of BCG, kept separate per KPMG/EY precedent",current_official_job_in_saudi (stale),official_careers_channel_confirmed,na,Specific job URL now shows the job you are trying to apply for has been filled -- normal churn,correct_then_approve,"evidence_urls: before=stale job-56326 link, after=https://careers.bcg.com/global/en/search-jobs?keywords=Riyadh (or equivalent live search); downgrade to official_careers_channel_confirmed pending fresh listing",na,https://careers.bcg.com/
cc-apparel-group-sa,Apparel Group,"Multi-brand retail franchise (Zara, Mango, etc.)",official_page_identifying_saudi_operations,official_careers_channel_confirmed,na,"apparelgroup.com/en/careers/ loaded 200 OK, confirms 724 Stores in KSA via Oracle recruitment portal link, no individual titles visible",approve_unchanged,none,na,https://www.apparelgroup.com/en/careers/
cc-bmc-helix-sa,BMC Helix,Enterprise ITSM software (BMC Software),official_page_identifying_saudi_operations (localization news),official_careers_channel_confirmed,na,Specific job URL now returns HTTP 404 -- stale link; localization press release evidence still stands,correct_then_approve,"evidence_urls: before=stale JobDetail/46406 link, after=https://jobs.bmc.com/ (general portal) + retain localization press release; downgrade to official_careers_channel_confirmed",na,https://jobs.bmc.com/;https://www.bmc.com/newsroom/releases/saudi-arabia-to-offer-bmc-helix-itsm-as-service-in-local-platform.html
cc-mirai-games,Mirai,Scopely/Savvy Games Group PIF-backed studio,official_saudi_office_address,official_careers_channel_confirmed,na,"Workable board loaded 200 OK, located in the vibrant city of Riyadh directly reconfirmed, zero specific job titles visible",approve_unchanged,none,na,https://apply.workable.com/playmirai/
cc-amazon-sa,Amazon (incl. AWS),"Global tech major, distinct (id,country) pair from cc-amazon-uae confirmed -- EVIDENCE QUALITY ISSUE","official_saudi_office_address (well-documented, not directly reconfirmed this pass)",not_verified,na,"amazon.jobs search loaded only nav/footer content this pass. Sole evidence_urls value on file is a Bayt.com aggregator link -- explicitly insufficient as SOLE evidence, even though Amazon's Saudi presence is extremely well-established",correct_then_approve,"evidence_urls: before=Bayt aggregator only, after=add https://www.amazon.jobs/en/search?loc_query=Saudi+Arabia as the first-party evidence URL",na,https://www.amazon.jobs/en/search?loc_query=Saudi+Arabia
cc-coorb-sa,CoorB,Digital banking tech (Egypt/UAE/Saudi),current_official_job_in_saudi (stale),unavailable,na,coorb.io/careers now returns a 404 page -- staged official_careers_url is dead,hold_manual_review,na,Official careers URL now 404s; previously-cited live Riyadh roles cannot be reconfirmed. Evidence checked: direct fetch. Missing: working current careers link. Action: search for CoorB's current careers page/ATS before promotion.,https://coorb.io (careers sub-path dead)
cc-sulava-mea,Sulava MEA,Microsoft AI/Copilot consultancy,current_official_job_in_saudi,active_with_confirmed_saudi_jobs,na,"careers.sulavamea.com/jobs loaded 200 OK, 2 Riyadh hybrid roles directly reconfirmed with exact Saudi Arabia - Riyadh location tags",approve_unchanged,none,na,https://careers.sulavamea.com/jobs
cc-jeddah-airports,Jeddah Airports Company,Government-linked airport operator (JEDCO),official_saudi_legal_entity,official_careers_channel_confirmed,na,"career.jeddahairports.sa loaded 200 OK, official Talentera-powered portal reconfirmed, no specific listing visible",approve_unchanged,none,na,https://career.jeddahairports.sa/
cc-ncr-atleos-sa,NCR Atleos,Global ATM/financial technology,current_official_job_in_saudi (hub-level not reconfirmed),official_careers_channel_confirmed,na,"ncratleos.com/careers loaded 200 OK but only shows 3 regional portal links, no city-level confirmation; original Workday deep-link not re-fetched",approve_unchanged,"researcher_notes: hub page doesn't show city-level detail -- stronger evidence remains previously-cited Workday deep-link, spot-check in future pass",na,https://www.ncratleos.com/careers
cc-ninja-sa,Ninja,Saudi quick-commerce/logistics -- EVIDENCE QUALITY ISSUE,unresolved,not_verified,na,"ananinja.com returned HTTP 403 this pass; BOTH original evidence_urls (buildsaudi.co, bayt.com) are third-party/aggregator sources -- no first-party confirmation ever on file",hold_manual_review,na,"No first-party evidence exists anywhere in the record. Official domain blocked this pass. Evidence checked: ananinja.com (blocked), buildsaudi.co and bayt.com (both third-party). Missing: first-party company page or careers URL. Action: retry official domain later, or downgrade to insufficient_evidence.",https://buildsaudi.co/company/ninja;https://www.bayt.com/en/company/ninja-2229199/
cc-bupa-arabia,Bupa Arabia,"Major health insurer, Tadawul-listed",current_official_job_in_saudi,active_with_confirmed_saudi_jobs,na,"careers.bupa.com.sa loaded 200 OK, own location filter explicitly shows All Locations - Saudi Arabia (61) -- stronger confirmation than originally recorded",approve_unchanged,researcher_notes: upgrade -- portal confirms 61 live Saudi Arabia listings via own location-filter count,na,https://careers.bupa.com.sa/
cc-wipro-sa,Wipro,Global IT services major,current_official_job_in_saudi (hub-level not reconfirmed),official_careers_channel_confirmed,na,"careers.wipro.com/global-middleeast loaded 200 OK as navigation hub, specific job URL content not retrievable, no city-level detail",approve_unchanged,none,na,https://careers.wipro.com/global-middleeast
cc-nahdi-medical,Nahdi Medical Company,Largest MENA pharmacy chain -- DOMAIN ISSUE FOUND,unresolved,not_verified,na,Staged official_website_url (nahdi.com.sa) fails DNS resolution entirely. Alternate candidate nahdi.sa DOES resolve but returned HTTP 500 this pass,hold_manual_review,na,"Staged domain does not resolve at all. Evidence checked: nahdi.com.sa (DNS failure), nahdi.sa (resolves, server error). Missing: confirmed working official domain. Action: human should verify whether nahdi.sa is the correct current domain; do not carry forward nahdi.com.sa as-is.","https://www.nahdi.sa (unconfirmed, 500 error this pass)"
cc-alnafitha-it,Alnafitha IT,"100% Saudi-owned IT firm, est. 1993",official_saudi_office_address,official_careers_channel_confirmed,na,"Specific job posting (Zoho Recruit, M365 role) now shows This job posting is no longer available -- normal churn; Zoho Recruit tenant itself still confirmed real",correct_then_approve,"evidence_urls: before=stale specific M365 job link, after=https://alnafitha.zohorecruit.com/jobs/Careers (general tenant listing page); downgrade to official_careers_channel_confirmed pending fresh listing",na,https://alnafitha.zohorecruit.com/jobs/Careers
cc-perfect-vision,Perfect Vision,"Perfect Vision Factory KSA, IoT/AI manufacturing, Dammam. Domain/identity not re-disputed.",official_saudi_office_confirmed,official_careers_channel_confirmed,n/a,"not re-fetched this pass (low-risk, single small manufacturer, no contradicting signal found)",approve_unchanged,none,none,https://www.perfectvisionksa.com/jobs
cc-zatca,"Zakat, Tax and Customs Authority","Official Saudi government authority (ZATCA). Not a company but a government_linked employer, correctly typed.",saudi_government_authority_evidence,official_careers_channel_confirmed,n/a,"re-fetched careers.zatca.gov.sa directly: HTTP 200, confirmed official portal, Ameen 12-month program and capacity-building program named in Arabic, no live job list embedded (gateway to a separate search)",approve_unchanged,none,none,https://careers.zatca.gov.sa/
cc-atmaal,Atmaal,Al Rajhi Group BPO/financial-ops subsidiary. Identity solid (regulated bank subsidiary).,official_saudi_legal_entity,official_careers_channel_confirmed,n/a,"not re-fetched this pass; parent (Al Rajhi Bank) is one of Saudi's largest regulated banks, subsidiary claim independently plausible and specific",approve_unchanged,none,none,https://careers.atmaal.sa/
cc-kun-sports,KUN Sports,"Jeddah fitness holding, B-IT Fitness brand. Not re-disputed.",official_saudi_office_confirmed,official_careers_channel_confirmed,n/a,"not re-fetched this pass, low identity-collision risk",approve_unchanged,none,none,https://kunsports.com/careers-1;https://www.kunsports.com/about
cc-neoleap,neoleap,SAMA-licensed Al Rajhi Bank fintech subsidiary. Strong identity (regulated entity).,official_saudi_legal_entity,official_careers_channel_confirmed,n/a,"RE-FETCHED neoleap.com.sa: found the real careers link in the footer -> Oracle Cloud recruiting portal (HTTP 200). Prior pass had marked official_careers_url as not_found -- this was a gap, not a dead end.",correct_then_approve,"official_careers_url: before=not_found, after=https://iafkkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001; ats_provider: before=unknown, after=Oracle Cloud HCM; careers_page_status: before=careers_page_found, after=official_careers_channel_confirmed",none,https://www.neoleap.com.sa/en;https://iafkkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001;https://www.alrajhibank.com.sa/ir24/business_in_perspective/subsidiaries/neoleap.html
cc-sj-group,SJ Group (Surbana Jurong),Singapore-HQ urban-planning consultancy. Not re-disputed.,current_official_job_in_saudi_via_thirdparty_corroboration,active_with_confirmed_saudi_jobs,n/a,not re-fetched; original evidence already combined an official careers portal with specific third-party-mirrored live titles for Jeddah/Riyadh,approve_unchanged,none,none,https://www.sjgroup.com/careers/;https://www.founditgulf.com/job/architect-sj-group-saudi-arabia-50721740
cc-sihamco,SIHAMCO,"Siham International Trading, 25+ hospitality/entertainment brands, Jeddah. Not re-disputed.",official_saudi_office_confirmed,official_careers_channel_confirmed,n/a,"not re-fetched; own domain + Workable ATS both already independently confirmed, low collision risk",approve_unchanged,none,none,https://sihamco.com/career/;https://apply.workable.com/sihamco/
cc-azeus-systems,Azeus Systems Limited,"Global board-management software vendor (Azeus Convene), multinational_subsidiary. Not re-disputed.",dedicated_saudi_careers_subpage,official_careers_channel_confirmed,n/a,not re-fetched; dedicated /sa/ careers subpage plus a specific third-party-mirrored live Riyadh role already documented,approve_unchanged,none,none,https://www.azeus.com/careers/career-opportunities/sa/;https://www.founditgulf.com/job/business-development-esg-ksa-azeus-systems-limited-saudi-arabia-44790315
cc-aloula-aviation,Aloula Aviation,"RE-VERIFIED: mukamalah.com IS Aloula Aviation's real official site (rebrand of Saudi Aramco Aviation, Aug 2024); Arabic legal name confirmed on-page. The domain-transition flag from the prior pass is resolved, not a red flag.","official_saudi_office_confirmed (King Fahad Intl Airport, Dammam)",official_careers_channel_confirmed,n/a,"RE-FETCHED mukamalah.com/en/career directly (HTTP 200): confirmed Aloula Aviation branding throughout, careers page links out to a third-party ATS (menalitestc.com), and an official recruitment email careers@aloula.com is published on the page itself",correct_then_approve,"researcher_notes: append that direct fetch confirms mukamalah.com is Aloula Aviation's genuine official domain, not a mismatch -- resolves prior domain-transition caution. Official recruitment email careers@aloula.com also found on-page.",none,https://www.mukamalah.com/en/career;https://saudipedia.com/en/aloula-aviation
cc-al-othman-holding,Al-Othman Holding Company,"Family conglomerate since 1967, Al Khobar. Not re-disputed.",official_saudi_office_confirmed,official_careers_channel_confirmed,n/a,"RE-FETCHED al-othman.com/en/careers (HTTP 200): confirmed real careers gateway with an explicit 8-step application/hiring process description -- genuine, not a stub page",approve_unchanged,none,none,https://www.al-othman.com/en/careers
cc-hala,HALA,"Arabian Hala mobility/car-rental company, operating since 1977. Not re-disputed.",official_saudi_office_confirmed,official_careers_channel_confirmed,n/a,"not re-fetched this pass; specific, low collision-risk brand",approve_unchanged,none,none,https://hala.com.sa/en/careers/
cc-cognizant,Cognizant,Global IT services multinational. ADVERSARIAL CHECK: is Saudi evidence a real KSA office or just a country-dropdown? Confirmed via ME-specific careers locations page (not a generic global dropdown) -- the stronger evidence category.,"official_saudi_office_confirmed (dedicated Middle East locations careers page, not a generic global dropdown)",active_with_confirmed_saudi_jobs,n/a,"not re-fetched this pass; URL is a genuine regional locations subpage, not a 190-country dropdown",approve_unchanged,none,none,https://careers.cognizant.com/emea-en/locations/middle-east/
cc-azadea-group,Azadea Group,"Lebanon-founded retail franchise holding (Zara, Mango, Virgin Megastore), multinational_subsidiary.",official_saudi_office_confirmed (portal explicitly filters by Saudi Arabia),active_with_confirmed_saudi_jobs,n/a,not re-fetched; prior pass confirmed a specific live Riyadh HR Admin role via the official portal's Saudi filter (not a generic dropdown),approve_unchanged,none,OUTSTANDING TASK FOR HUMAN MERGE STEP (not a hold): confirm Azadea Group does not already have a Lebanon or UAE row under a different canonical_company_id before assigning cc-azadea-group-sa a permanent id,https://www.azadeagroupholding.com/CareersVacancies.aspx
cc-riyad-bank,Riyad Bank,Major Saudi public bank est. 1957. Not disputed.,official_saudi_legal_entity (Tadawul-listed Saudi bank),official_careers_channel_confirmed,n/a,"RE-FETCHED careers.riyadbank.com directly: DNS timeout (ETIMEOUT) this pass -- inconclusive, not confirmed absent. RE-FETCHED riyadbank.talentera.com: returns a 301 redirect to a non-standard endpoint (plain HTTP, port 8001) -- unusual but plausibly a legitimate shared regional Talentera KSA tenant; did not independently confirm content at that final URL this pass.",correct_then_approve,researcher_notes: append that careers.riyadbank.com timed out (DNS) and the Talentera link redirects to a non-standard plain-HTTP port-8001 endpoint -- plausible but not independently content-verified this pass; re-check before final promotion.,none,https://careers.riyadbank.com/;https://riyadbank.talentera.com/
cc-dentsu,dentsu,"Global ad/media holding, new MENA regional HQ in Riyadh.","official_saudi_office_confirmed (dedicated regional HQ, not just a dropdown)",active_with_confirmed_saudi_jobs,n/a,not re-fetched; regional-HQ-in-Riyadh claim is a stronger evidence tier than a generic global careers dropdown,approve_unchanged,none,none,https://www.dentsu.com/careers;https://www.dentsu.com/ae/en/media-and-investors/new-regional-hq
cc-nextera-tech,NextEra (NextEra Tech),"CONFIRMED DISTINCT from the unrelated US NextEra Energy -- Saudi-born JV of Aramco Digital and LTM. Correct disambiguation, not re-disputed.",official_saudi_legal_entity (Aramco Digital/LTM joint venture),official_careers_channel_confirmed,n/a,not re-fetched this pass; identity claim (JV structure) is specific enough to be low-risk,approve_unchanged,none,none,https://nexteratech.com/careers/
cc-sheba-joy,SHEBA JOY,"RE-FETCHED shebajoy.com/careers directly (HTTP 200): confirmed Riyadh/Dubai/Beijing offices, Town Stars and Ludo Chat games named. Sheba.xyz NOT mentioned anywhere on the page -- prior pass's caution about a same-entity relationship could not be substantiated either way this pass.",official_saudi_office_confirmed (Riyadh office named),active_with_confirmed_saudi_jobs,n/a,"direct fetch confirmed real, self-consistent company page; Sheba.xyz concern neither confirmed nor further substantiated",approve_unchanged,"researcher_notes: append that this audit pass could not find any on-page reference to Sheba.xyz on shebajoy.com -- prior pass's caution is unresolved either way, not confirmed as a real relationship.",none,https://www.shebajoy.com/careers;https://www.shebajoy.com/about
cc-haji-husein-alireza,Haji Husein Alireza & Co. Ltd.,"Est. 1906, exclusive KSA distributor for Aston Martin/Mazda/Geely/MAN Trucks, Jeddah. Not re-disputed.",official_saudi_office_confirmed,active_with_confirmed_saudi_jobs,n/a,"RE-FETCHED careers.hha.com.sa directly (HTTP 200): confirmed running on Talentera ATS, with a live Jeddah Call Center Agent role and a Jeddah Tamheer Program role -- stronger, more specific evidence than the prior pass had",correct_then_approve,"ats_provider: before=unknown, after=Talentera; current_open_jobs_detected: before=unknown, after=yes; careers_page_status: before=careers_page_found, after=active_with_open_jobs",none,https://careers.hha.com.sa/
cc-jeddah-central-dev,Jeddah Central Development Company (JCDC),PIF-owned Vision 2030 giga-project. Not re-disputed as an entity.,"official_saudi_office_confirmed (PIF-owned, footer confirms)",official_careers_channel_confirmed,n/a,"RE-FETCHED www.jeddahcentral.com/en/careers directly (HTTP 200): confirmed real JCDC careers page with a link to an SAP SuccessFactors portal. The staged official_careers_url (careers.jcd.com.sa) was NOT referenced anywhere on this page -- likely stale/incorrect; jeddahcentral.com/en/careers is the correct, directly-confirmed one.",correct_then_approve,"official_careers_url: before=https://careers.jcd.com.sa/, after=https://www.jeddahcentral.com/en/careers; ats_provider: before=unknown, after=SAP SuccessFactors; public_jobs_endpoint_or_feed: before=https://careers.jcd.com.sa/, after=https://career-sa20.hr.cloud.sap/career?company=jeddahcent",none,https://www.jeddahcentral.com/en/careers
cc-intelmatix,Intelmatix,"MIT-founder AI startup, Saudi Unicorns Program, Riyadh. Not re-disputed.",official_saudi_office_confirmed,active_with_confirmed_saudi_jobs,n/a,not re-fetched; specific own-domain live-roles claim already strong,approve_unchanged,none,none,https://intelmatix.ai/company-careers.html;https://buildsaudi.co/company/intelmatix
cc-ericsson,Ericsson,"Global telecom-equipment multinational. URL is a location-filtered search, not a specific job posting -- lower staleness risk than a specific req ID.","official_saudi_office_confirmed (Riyadh-filtered careers search, not a 190-country dropdown)",official_careers_channel_confirmed,n/a,not re-fetched this pass; URL structure is inherently more durable than a single job-ID link,approve_unchanged,none,none,"https://jobs.ericsson.com/careers?location=Riyadh,Saudi+Arabia"
cc-akkodis,Akkodis,"Adecco Group engineering/staffing brand, multinational_subsidiary.","current_official_job_explicitly_in_saudi (Medina, Al-Kharj)",active_with_confirmed_saudi_jobs,n/a,"not re-fetched; original evidence already cites two specific titled/located live roles on the official domain, a strong evidence tier",approve_unchanged,none,none,https://www.akkodis.com/en/careers/jobs/sap-integration-architects-saudi-arabia-medina/
cc-mis-al-moammar,MIS (Al-Moammar Information Systems Co.),"First Saudi-listed public IT company (est. 1979), Tadawul-listed. Not re-disputed.",official_saudi_legal_entity (Tadawul-listed),official_careers_channel_confirmed,n/a,not re-fetched this pass,approve_unchanged,none,none,https://mis.com.sa/en/careers
