candidate_id,canonical_id,field,original_value,corrected_value,audit_reason,evidence_url,validation_result
cc-devsinc-sa,cc-devsinc-sa,target_city,Riyadh,Al Khobar,"Footer confirms real Saudi office in Al Khobar, not Riyadh as staged",https://devsinc.com/career/,applied_and_verified_in_promoted_row
cc-devsinc-sa,cc-devsinc-sa,careers_page_status,active_with_open_jobs,active_no_open_jobs,"Open Roles section lists 7 positions, ALL tagged On-site Lahore Pakistan -- zero Riyadh/Saudi listings",https://devsinc.com/career/,applied_and_verified_in_promoted_row
cc-devsinc-sa,cc-devsinc-sa,current_open_jobs_detected,yes,no,Current board is Pakistan-only,https://devsinc.com/career/,applied_and_verified_in_promoted_row
cc-devsinc-sa,cc-devsinc-sa,researcher_notes,(see original),"(appended: Real Saudi office confirmed via footer address, but located in Al Khobar (corrected from Riyadh); current careers board shows zero KSA-specific listings.)",Audit correction,,applied_and_verified_in_promoted_row
cc-bcg-platinion-sa,cc-bcg-platinion-sa,evidence_urls,https://careers.bcg.com/global/en/job/56326/AI-Tech-Consultant-Enterprise-Solutions-Riyadh-BCG-Platinion,https://careers.bcg.com/global/en/search-jobs?keywords=Riyadh,Specific job URL (job/56326) now shows the job has been filled -- normal churn; replaced with a live Riyadh-filtered search,https://careers.bcg.com/global/en/search-jobs?keywords=Riyadh,applied_and_verified_in_promoted_row
cc-bcg-platinion-sa,cc-bcg-platinion-sa,careers_page_status,active_with_open_jobs,careers_page_found,Downgraded pending a fresh specific listing,https://careers.bcg.com/,applied_and_verified_in_promoted_row
cc-bcg-platinion-sa,cc-bcg-platinion-sa,current_open_jobs_detected,yes,unknown,Specific cited job no longer live,https://careers.bcg.com/,applied_and_verified_in_promoted_row
cc-bmc-helix-sa,cc-bmc-helix-sa,evidence_urls,https://jobs.bmc.com/Careers/JobDetail/Project-Architect-Consulting-Services-Saudi-Arabia/46406;https://www.bmc.com/newsroom/releases/saudi-arabia-to-offer-bmc-helix-itsm-as-service-in-local-platform.html,https://jobs.bmc.com/;https://www.bmc.com/newsroom/releases/saudi-arabia-to-offer-bmc-helix-itsm-as-service-in-local-platform.html,"Specific job URL (JobDetail/46406) now returns HTTP 404 -- stale link; replaced with the general portal, retaining the localization press release as identity evidence",https://jobs.bmc.com/,applied_and_verified_in_promoted_row
cc-bmc-helix-sa,cc-bmc-helix-sa,careers_page_status,active_with_open_jobs,careers_page_found,Downgraded pending a fresh specific listing,https://jobs.bmc.com/,applied_and_verified_in_promoted_row
cc-bmc-helix-sa,cc-bmc-helix-sa,current_open_jobs_detected,yes,unknown,Specific cited job no longer live,https://jobs.bmc.com/,applied_and_verified_in_promoted_row
cc-amazon-sa,cc-amazon-sa,evidence_urls,https://www.bayt.com/en/saudi-arabia/jobs/amazon-jobs/,https://www.amazon.jobs/en/search?loc_query=Saudi+Arabia,"Sole prior evidence_urls value was a Bayt.com aggregator link, explicitly insufficient as sole evidence; added first-party amazon.jobs URL",https://www.amazon.jobs/en/search?loc_query=Saudi+Arabia,applied_and_verified_in_promoted_row
cc-alnafitha-it,cc-alnafitha-it,official_careers_url,https://alnafitha.zohorecruit.com/jobs/Careers/586853000027348176/,https://alnafitha.zohorecruit.com/jobs/Careers,"Specific M365 job posting now shows ""This job posting is no longer available""; replaced with the general Zoho Recruit tenant listing page",https://alnafitha.zohorecruit.com/jobs/Careers,applied_and_verified_in_promoted_row
cc-alnafitha-it,cc-alnafitha-it,public_jobs_endpoint_or_feed,https://alnafitha.zohorecruit.com/jobs/Careers/586853000027348176/,https://alnafitha.zohorecruit.com/jobs/Careers,Same stale-link correction applied consistently,https://alnafitha.zohorecruit.com/jobs/Careers,applied_and_verified_in_promoted_row
cc-alnafitha-it,cc-alnafitha-it,evidence_urls,https://alnafitha.zohorecruit.com/jobs/Careers/586853000027348176/Technical-Consulting-Professional---M365,https://alnafitha.zohorecruit.com/jobs/Careers,Same stale-link correction applied consistently,https://alnafitha.zohorecruit.com/jobs/Careers,applied_and_verified_in_promoted_row
cc-alnafitha-it,cc-alnafitha-it,careers_page_status,active_with_open_jobs,careers_page_found,Downgraded pending a fresh specific listing; Zoho Recruit tenant itself still confirmed real,https://alnafitha.zohorecruit.com/jobs/Careers,applied_and_verified_in_promoted_row
cc-alnafitha-it,cc-alnafitha-it,current_open_jobs_detected,yes,unknown,Specific cited job no longer live,https://alnafitha.zohorecruit.com/jobs/Careers,applied_and_verified_in_promoted_row
cc-neoleap,cc-neoleap,official_careers_url,not_found,https://iafkkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,Prior pass marked official_careers_url as not_found; this was a gap -- the real careers link was found in the domain footer,https://www.neoleap.com.sa/en,applied_and_verified_in_promoted_row
cc-neoleap,cc-neoleap,ats_provider,unknown,Oracle Cloud HCM,ATS platform identified via the confirmed careers link,https://iafkkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,applied_and_verified_in_promoted_row
cc-neoleap,cc-neoleap,public_jobs_endpoint_or_feed,not_found,https://iafkkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,Same careers-link correction applied consistently,https://iafkkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,applied_and_verified_in_promoted_row
cc-aloula-aviation,cc-aloula-aviation,researcher_notes,(see original),"(appended: Direct fetch (this audit pass) confirms mukamalah.com is Aloula Aviation genuine official domain, not a mismatch -- resolves prior domain-transition caution. Official recruitment email careers@aloula.com also found on-page.)",Audit correction,,applied_and_verified_in_promoted_row
cc-riyad-bank,cc-riyad-bank,researcher_notes,(see original),(appended: This audit pass found careers.riyadbank.com timed out (DNS) and the Talentera link redirects to a non-standard plain-HTTP port-8001 endpoint -- plausible but not independently content-verified this pass; re-check before final promotion.),Audit correction,,applied_and_verified_in_promoted_row
cc-haji-husein-alireza,cc-haji-husein-alireza,ats_provider,unknown,Talentera,ATS confirmed via footer badge on direct re-fetch,https://careers.hha.com.sa/,applied_and_verified_in_promoted_row
cc-haji-husein-alireza,cc-haji-husein-alireza,current_open_jobs_detected,unknown,yes,Live Jeddah Call Center Agent role and Jeddah Tamheer Program role confirmed,https://careers.hha.com.sa/,applied_and_verified_in_promoted_row
cc-haji-husein-alireza,cc-haji-husein-alireza,careers_page_status,careers_page_found,active_with_open_jobs,Live roles confirmed on official domain,https://careers.hha.com.sa/,applied_and_verified_in_promoted_row
cc-jeddah-central-dev,cc-jeddah-central-dev,official_careers_url,https://careers.jcd.com.sa/,https://www.jeddahcentral.com/en/careers,"Staged URL (careers.jcd.com.sa) was not referenced anywhere on the confirmed real JCDC careers page; jeddahcentral.com/en/careers is the correct, directly-confirmed one",https://www.jeddahcentral.com/en/careers,applied_and_verified_in_promoted_row
cc-jeddah-central-dev,cc-jeddah-central-dev,ats_provider,unknown,SAP SuccessFactors,ATS identified via the confirmed careers page link-out,https://www.jeddahcentral.com/en/careers,applied_and_verified_in_promoted_row
cc-jeddah-central-dev,cc-jeddah-central-dev,public_jobs_endpoint_or_feed,https://careers.jcd.com.sa/,https://career-sa20.hr.cloud.sap/career?company=jeddahcent,Direct SAP SuccessFactors portal link found on the confirmed careers page,https://www.jeddahcentral.com/en/careers,applied_and_verified_in_promoted_row
cc-jeddah-central-dev,cc-jeddah-central-dev,evidence_urls,https://careers.jcd.com.sa/;https://www.jeddahcentral.com/en/careers,https://www.jeddahcentral.com/en/careers,Consolidated to the confirmed-correct URL,https://www.jeddahcentral.com/en/careers,applied_and_verified_in_promoted_row
cc-slb,cc-slb,official_careers_url,https://apply.slb.com/careers/*/multi_location_saudi_arabia,https://careers.slb.com/job-listing,"Staged URL contained a literal unresolved wildcard ""*"" as a path segment -- an invalid, non-machine-consumable URL. Replaced with a real, fetchable (if JS-rendered) hub page",https://careers.slb.com/job-listing,applied_and_verified_in_promoted_row
cc-slb,cc-slb,public_jobs_endpoint_or_feed,https://apply.slb.com/careers/*/multi_location_saudi_arabia,https://careers.slb.com/job-listing,Same invalid-wildcard correction applied consistently,https://careers.slb.com/job-listing,applied_and_verified_in_promoted_row
cc-slb,cc-slb,evidence_urls,https://apply.slb.com/careers/*/multi_location_saudi_arabia;https://careers.slb.com/job-listing,https://careers.slb.com/job-listing,Same invalid-wildcard correction applied consistently,https://careers.slb.com/job-listing,applied_and_verified_in_promoted_row
cc-slb,cc-slb,careers_page_status,careers_page_found,not_verified,"Neither fetch this pass showed actual Saudi job content, only navigation/config shells (likely a JS-rendering limitation, not rejected)",https://careers.slb.com/job-listing,applied_and_verified_in_promoted_row
cc-salesforce,cc-salesforce,current_open_jobs_detected,yes,unknown,"Original evidence was a single specific job-requisition URL (jr336046), inherently stale-prone; this pass's re-fetch (301 redirect) was inconclusive",https://www.salesforce.com/company/careers/jobs/jr336046/account-executive-ksa/,applied_and_verified_in_promoted_row
cc-salesforce,cc-salesforce,careers_page_status,active_with_open_jobs,careers_page_found,Downgraded from an active-job claim pending a fresh specific listing,https://www.salesforce.com/company/careers/jobs/jr336046/account-executive-ksa/,applied_and_verified_in_promoted_row
cc-salesforce,cc-salesforce,researcher_notes,(see original),(appended: Recommend citing Salesforce's stable Saudi-filtered search URL (e.g. careers.salesforce.com/en/jobs/?search=Saudi) instead of a specific req ID for any future promotion.),Audit correction,,applied_and_verified_in_promoted_row
cc-apple,cc-apple,target_city,Jeddah/Riyadh (multi-city),Country-wide,"Jeddah-filtered search returns 11 results but every result's actual location field reads ""Various Locations within Saudi Arabia"", not a Jeddah-specific address",https://jobs.apple.com/en-us/search?location=jeddah-JDH,applied_and_verified_in_promoted_row
cc-apple,cc-apple,researcher_notes,(see original),"(appended: NATIONALITY RESTRICTION: all 11 confirmed live Apple Retail roles are explicitly restricted to ""Saudi and GCC Nationals"" -- this eligibility restriction must be surfaced in any user-facing match logic and the opportunity must not be presented as generally eligible.)",Audit correction (user-mandated retention of nationality restriction),,applied_and_verified_in_promoted_row
