raw_email,normalized_email,apparent_company,official_domain_confirmed,saudi_presence_confirmed,status,evidence_urls,notes
talent.acquisition@drsulaimanalhabib.com,talent.acquisition@drsulaimanalhabib.com,Dr. Sulaiman Al Habib Medical Group (HMG),yes,yes,third_party_or_free_mail_unverified,https://www.gulftalent.com/companies/dr-sulaiman-al-habib-medical-group-hmg-careers,"Real, major hospital group (also in saudi-arabia.csv as cc-hmg); a real Talent Acquisition function is confirmed to exist, but this exact address was not found cited on an official page (direct fetch of their careers page failed with a connection reset this pass)."
Careers@jhah.com,careers@jhah.com,Johns Hopkins Aramco Healthcare (JHAH),yes,yes,third_party_or_free_mail_unverified,https://careers.jhah.com/;https://www.jhah.com/en/careers,"Real Aramco/Johns Hopkins JV; official channel is an ATS portal (careers.jhah.com), no email listed."
hrd@alahsahospital.com.sa,hrd@alahsahospital.com.sa,Al Ahsa Hospital (now operating under the Dallah Hospital brand),yes,yes,third_party_or_free_mail_unverified,https://www.alahsahospital.com.sa,Direct fetch of the homepage (now presents as Dallah Hospital Al-Ahsa) showed no careers page or email in this pass; jobs.php returned 404.
career@almanahospital.com.sa,career@almanahospital.com.sa,Almana General Hospital (Dammam),yes,yes,third_party_or_free_mail_unverified,https://www.linkedin.com/company/almana-general-hospitals,"Real, confirmed hospital group; this exact mailbox not independently fetched/confirmed."
info@familycare.com.sa,info@familycare.com.sa,"Family Care Hospital (Riyadh, part of Balsam Medical Care Co.)",yes,yes,official_general_contact_not_recruitment,https://www.facebook.com/Familycareksa7/,"Confirmed exact match to the company's published general contact email -- real, but general, not recruitment-specific."
info@ramclinics.com,info@ramclinics.com,unknown (likely a clinic chain; not independently confirmed this pass),no,unknown,company_identity_unresolved,none,"WebFetch failed with an SSL handshake error and WebSearch budget was exhausted before this could be verified -- genuine evidence gap, not a claim the company is fake."
HR.DSFHR@fakeeh.care,hr.dsfhr@fakeeh.care,Fakeeh Care Group,yes,yes,third_party_or_free_mail_unverified,https://careers.fakeeh.care/,"Real, confirmed group (also a supplied LinkedIn lead); official careers portal is separate, no email listed on the main site."
career@mouwasat.com,career@mouwasat.com,Al Mouwasat Medical Services (Tadawul-listed),yes,yes,third_party_or_free_mail_unverified,https://www.mouwasat.com/en/careers,"Real, confirmed careers page; listed contact is info@mouwasat.com, not career@."
careers@dallah-hospital.com,careers@dallah-hospital.com,Dallah Hospital (Riyadh-based private hospital group),partial,yes,third_party_or_free_mail_unverified,https://www.dallah-hospital.com,"Well-known real Saudi hospital brand, but this pass's direct fetches showed no careers page or email content -- could not independently confirm the domain's live content this pass."
hr.phc@drsulaimanalhabib.com,hr.phc@drsulaimanalhabib.com,Dr. Sulaiman Al Habib Medical Group -- Primary Health Care division (inferred from PHC),yes,yes,third_party_or_free_mail_unverified,https://www.gulftalent.com/companies/dr-sulaiman-al-habib-medical-group-hmg-careers,Same domain as talent.acquisition@ above; not independently confirmed.
careers@almurjanhospital.com,careers@almurjanhospital.com,Al Murjan Hospital (Jeddah),partial,yes,third_party_or_free_mail_unverified,https://www.almurjanhospital.com,Fetch returned no usable content this pass; well-known real Jeddah hospital brand but not independently re-confirmed here.
hiringnow.ksa@gmail.com,hiringnow.ksa@gmail.com,unknown (free mail),no,unknown,third_party_or_free_mail_unverified,none,Free mail.
recruitment@wecareksa.com,recruitment@wecareksa.com,WeCare Hospital (Al-Dammam),yes,yes,third_party_or_free_mail_unverified,https://wecareksa.com,"Real, confirmed hospital with a jobs/التوظيف section; no email confirmed in the fetched content."
al.alshaikh@bonyan.sa,al.alshaikh@bonyan.sa (duplicate),Bonyan,yes,yes,duplicate,https://bonyan.sa/,Exact repeat of the earlier al.alshaikh@bonyan.sa row; supplied list contained this address twice.
