raw_input_name,corrected_name,official_domain,company_type_guess,industry_guess,target_city_guess,outcome,canonical_id_if_matched_or_proposed,careers_or_ats_url_or_email,evidence_urls,notes
REEF Group,REEF Group (Riyadh apparel retail holding),domain not confirmed this pass -- do not confuse with reef.com (unrelated US surf brand),private,Apparel retail holding,Riyadh,manual_review,--,--,https://www.reveliolabs.com/companies/reef-group-mjmwaa-ryf/employees,"Real Riyadh-HQ apparel holding (founded 2018, ~1,095 employees, 68.5% workforce in Saudi) per Revelio Labs, but name collides with the unrelated global ""REEF"" surf-apparel brand (reef.com) in search results -- official domain/careers URL not confirmed this pass, flagged as a name-collision risk analogous to the existing Esnad precedent."
Dyna.Ai,Dyna.Ai (Dyna.Ai Technology Pte. Ltd.),domain not directly confirmed (likely dyna.ai),startup,Fintech AI-as-a-Service,Riyadh,manual_review,--,--,https://www.arabnews.com/node/2535566/business-economy;https://thefintechtimes.com/dyna-ai-expands-into-saudi-arabia-with-arabic-language-ai-suite-for-financial-services/,"Singapore-HQ AI-as-a-service company actively expanding into Saudi fintech (LEAP 2026 partnership with GAPP), confirmed by multiple reputable press sources; official careers URL not located this pass."
Colada,Colada,domain not confirmed this pass,startup,Consumer-tech / food discounts,Riyadh,manual_review,--,--,https://www.founditgulf.com/job/sales-executive-colada-saudi-arabia-45080352;https://pitchbook.com/profiles/company/711930-16,Real funded Riyadh-HQ consumer-tech startup (ML-driven restaurant discount platform) with a live Sales Executive listing on a third-party mirror; official domain/careers page not located this pass.
LIVSHO,LIVSHO,domain not confirmed this pass (likely livsho.com),startup,Live-commerce / social shopping,Jeddah,manual_review,--,--,https://www.rasmal.com/livsho-secures-sar75000-grant-from-misk-foundation/;https://pitchbook.com/profiles/company/866470-06,"Real Jeddah-founded (2024) startup, Misk Foundation grantee; no careers page located this pass."
SILQFi,"SILQ (formerly Sary, merged with ShopUp as ""SILQ"")",domain not confirmed this pass,startup,Fintech / embedded finance / B2B marketplace,Riyadh,manual_review,--,--,https://www.wamda.com/2026/07/silq-raises-20-million-scale-embedded-finance-saudi-smes;https://www.fintechfutures.com/venture-capital-funding/silq-75m-fasanara-facility-fina,"Major, well-funded Saudi fintech/B2B platform (>50,000 businesses served); official domain/careers page not located this pass -- strong identity, weak channel evidence."
Link x Talent,Link x Talent,linkxtalent.com,staffing_agency / talent platform,Recruitment/talent marketplace,not confirmed,manual_review,--,--,https://linkxtalent.com/,"Real platform, but Saudi-specific coverage/evidence not confirmed this pass."
Alibaba Cloud,Alibaba Cloud,alibabacloud.com (careers portal not confirmed),multinational_subsidiary,Cloud computing / AI,Riyadh,manual_review,--,--,https://www.bayt.com/en/international/jobs/alibaba-cloud-jobs/;https://www.gulftalent.com/companies/alibaba-cloud-careers,"Multiple live Riyadh roles (BD Manager, Technical Service Manager, Solution Architect) confirmed via third-party job-board mirrors; an official alibabacloud.com/alibabagroup.com careers URL was not directly confirmed this pass."
CODE LTD,"Ambiguous -- either ""Code Ltd"" (code.sa, est. 2021) or the larger, distinct ""CODE Advanced Company for Information Technology""",code.sa (one candidate; unconfirmed which is meant),professional_services_firm,Software / IT solutions,not confirmed,manual_review,--,--,https://code.sa/about-us/,"Name-collision risk between two real, distinct Saudi IT companies both trading under ""CODE"" branding -- needs human disambiguation before promotion, same pattern as the existing Esnad precedent."
Logitera,Logitera,domain not confirmed this pass,private,Logistics,Dammam,manual_review,--,--,https://www.jobleads.com/sa/jobs/q/Logistic%20Manager,"Confirmed real logistics employer via a live Logistic Manager posting (Dammam, SAR150-210k) on a third-party job board; no official domain/careers page located this pass."
Tamer Mölnlycke Care,Tamer Mölnlycke Care,domain not confirmed this pass (parent: molnlycke.com / Tamer Group),multinational_subsidiary,Healthcare / MedTech manufacturing,Jeddah,manual_review,--,--,https://www.molnlycke.com/corporate/news/media-room/press-release---tamer-molnlycke-care-celebrates-a-new-chapter-in-healthcare-in-the-kingdom-of-saudi-arabia/;https://sabbar.com/en/jobs/c-makkah-r-product-specialist,"Real JV between Mölnlycke Health Care and Tamer Group (Jeddah), confirmed live Product Specialist posting; no single official careers URL/ATS confirmed this pass."
CleanLife,CleanLife (Clean Life Co.),cleanlife.sa,public_listed,Cleaning services (home/furniture),Riyadh,manual_review,--,--,https://cleanlife.sa/en;https://www.saudiexchange.sa/wps/portal/saudiexchange/hidden/company-profile-main/?companySymbol=9581,"Tadawul-listed public company (ticker 9581.SR), 152 employees; official domain confirmed but no direct /careers path located this pass."
NAMAA,"Ambiguous -- likely ""Namaa Technology / Namaa World"" (Riyadh IT services, est. 2004), NOT Oman's unrelated ""NAMA"" utility",domain not conclusively confirmed (nama.com.sa returned mixed/ambiguous results),private,IT services/systems integration,Riyadh,manual_review,--,--,https://wuzzuf.net/jobs/careers/Namaa-Technology-Saudi-Arabia-2446,Multiple similarly-named entities across different countries create identity ambiguity; official domain not conclusively pinned down this pass.
HUMAIN,HUMAIN,humain.ai,government_linked,AI infrastructure/models (PIF portfolio),Riyadh,manual_review,--,--,https://www.pif.gov.sa/en/our-investments/our-portfolio/humain/;https://en.wikipedia.org/wiki/Humain,"Confirmed real, distinct PIF-owned AI company (own domain, Wikipedia entry, official PIF portfolio page) -- genuinely NOT the same entity as UAE's ""cc-humai"" already in the registry. Careers/ATS URL on humain.ai itself not directly confirmed this pass (only third-party BuildSaudi/LinkedIn evidence), so held at manual_review rather than fully verified."
Ace Creative Hub,"Ambiguous -- likely ""ACE Creative Services"" (ACE Group, Jeddah, exhibitions/events, 201-500 employees) vs. a literal, smaller ""Ace Creative Hub"" LinkedIn entity",not confirmed,unknown,Events/exhibitions,Jeddah (if ACE Group),manual_review,--,--,https://sa.linkedin.com/company/ace-creative-hub;https://www.facebook.com/theacecreative/,Name-collision risk between two real but distinct entities.
PrimeGate for Communications and IT,PrimeGate for Communications and IT,domain not confirmed this pass,private,Telecom infrastructure / ICT integration,Riyadh,manual_review,--,--,https://theorg.com/org/primegate-for-communications-and-it/offices/hq,"Real, sizeable (501-1,000 employees, ~$40.5M revenue) Riyadh ICT integrator with multiple live third-party-mirrored job postings; no official domain/careers URL located this pass."
Magna AI,Magna AI,domain not confirmed this pass,startup,Enterprise/sovereign AI,not confirmed,manual_review,--,--,https://saudigazette.com.sa/article/656920;https://gulfbusiness.com/magna-ai-ceo-on-future-of-enterprise-intelligence/,"Trend Micro/Wistron-backed AI venture with a confirmed ""global operations hub"" in Saudi Arabia per reputable press; official careers channel not located this pass."
Awtad,"Ambiguous -- multiple distinct ""Awtad""-branded Saudi entities exist (Awtad Alarabia real estate, Awtad Al Fahd Contracting, ""Awtad Alakaria Company"")",apply.workable.com/awtad/ (entity behind this specific board unconfirmed),unknown,Real estate / contracting,not confirmed,manual_review,--,apply.workable.com/awtad/,https://apply.workable.com/awtad/;https://www.bayt.com/en/company/awtad-alakaria-company-1983796/,"Real jobs and a real Workable board exist, but which specific ""Awtad"" legal entity they belong to is not conclusively resolved -- same name-collision pattern as the existing Esnad precedent."
tactical.,tactical. (digital agency),domain not confirmed this pass (LinkedIn: tactical-digital-agency),multinational_subsidiary,Digital/creative marketing agency,Riyadh (KSA-specific roles),manual_review,--,--,https://www.linkedin.com/company/tactical-digital-agency/,"Dubai-HQ agency with confirmed KSA-specific open roles (Community Manager KSA, Social Media Manager KSA); official domain not independently confirmed this pass."
PULSE MENA,"Ambiguous -- multiple distinct ""Pulse""-branded entities found (PulseMediaNL, PULSE-MEDIA, Pulse Middle East/AV-lighting at pulse-me.com, and a fintech at pulse-sa.tech)",not conclusively confirmed,unknown,Fintech (if pulse-sa.tech) or AV/events (if Pulse Middle East),not confirmed,manual_review,--,--,https://pulse-sa.tech/;https://www.pulse-me.com/,"Genuine name-collision risk across several real entities; listings found (data entry/virtual assistant, part-time remote) also read as lower-quality/generic, adding to the caution."
Masdr,"Ambiguous -- likely intended as ""Masdar"" (Abu Dhabi Future Energy Company, UAE-HQ, confirmed to have ""locations in... Saudi Arabia"")",masdar.ae,multinational_subsidiary,Renewable energy,not confirmed (Saudi office location unconfirmed),manual_review,--,--,https://masdar.ae/en/careers;https://careers.masdar.ae/,"Real, major UAE renewable-energy company; a specific Saudi Arabia office/city and Saudi-specific job evidence were not confirmed this pass -- treat as a manual-review multinational_subsidiary candidate, not confirmed for Saudi promotion."
Shangri-La Group,Shangri-La Group (Shangri-La Jeddah),domain not confirmed this pass (likely shangri-la.com),multinational_subsidiary,Hospitality/Hotels,Jeddah,manual_review,--,--,https://en.wazaefsaudi.com/2026/03/shangrila.html,"First Shangri-La property in Saudi Arabia (opened 2022, Jeddah Corniche); real and actively hiring, but the official global shangri-la.com careers portal's Jeddah-specific listing was not independently fetched this pass."
iGate,iGate,https://igate.sa,private,IT/BPO,Riyadh,audit_hold_manual_review,cc-igate-sa,https://igate.sa/company/careers/,https://igate.sa/company/careers/,"[REVIEW-ID: SA-HOLD-001] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-igate-sa). AUDIT BLOCKER: Domain does not resolve on two independent attempts. Evidence checked: original careers URL. Missing: any resolving domain for a real distinct Saudi entity. Action: human search for correct live domain, or reclassify insufficient_evidence. EVIDENCE URLS: https://igate.sa/company/careers/ (does not resolve). Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-igate-sa) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
InnovationTeam,InnovationTeam,https://innovationteam.com,private,IT Consulting/Digital Transformation,Riyadh,audit_hold_manual_review,cc-innovationteam,https://www.innovationteam.com/careers,https://www.innovationteam.com/careers,"[REVIEW-ID: SA-HOLD-002] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-innovationteam). AUDIT BLOCKER: Prior claim of a live AI Team Lead Riyadh posting could not be reconfirmed. Evidence checked: direct fetch of careers page. Missing: specific current job or city-level confirmation. Action: re-check or downgrade to insufficient_evidence. EVIDENCE URLS: https://www.innovationteam.com/careers. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-innovationteam) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
Cohere,Cohere,https://cohere.com,startup/multinational_subsidiary,AI,Riyadh,audit_hold_manual_review,cc-cohere,https://cohere.com/careers,https://cohere.com/careers,"[REVIEW-ID: SA-HOLD-003] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-cohere). AUDIT BLOCKER: Prior claim of a live Country Manager - Saudi Arabia role directly contradicted by official office list excluding Saudi Arabia. Evidence checked: cohere.com/careers (contradicts), Ashby board (inconclusive). Missing: first-party confirmation. Action: human should check Ashby board directly in a browser (JS-rendered) before promoting or rejecting. EVIDENCE URLS: https://cohere.com/careers;https://jobs.ashbyhq.com/cohere. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-cohere) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
Innovaccer,Innovaccer,https://innovaccer.com,multinational_subsidiary,Healthcare Data/SaaS,Saudi Arabia,audit_hold_manual_review,cc-innovaccer,https://innovaccer.com/careers,https://innovaccer.com/careers;https://www.bayt.com/en/saudi-arabia/jobs/4261-data-engineer-74773518/,"[REVIEW-ID: SA-HOLD-004] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-innovaccer). AUDIT BLOCKER: Official careers page contradicts claimed Saudi presence; only third-party aggregator evidence exists. Evidence checked: official careers page (contradicts). Missing: first-party Saudi confirmation. Action: verify whether Innovaccer Analytics KSA is a real distinct registered entity, or downgrade to insufficient_evidence. EVIDENCE URLS: https://innovaccer.com/careers. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-innovaccer) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
Naphora Games Group,Naphora Games Group,https://naphora.com,startup,Mobile Gaming,Riyadh,audit_hold_manual_review,cc-naphora,https://www.naphora.com/careers,https://www.naphora.com/careers,"[REVIEW-ID: SA-HOLD-005] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-naphora). AUDIT BLOCKER: Prior claim not independently reconfirmed -- only generic homepage snippet retrievable. Evidence checked: naphora.com/careers (partial/inconclusive). Missing: direct confirmation of actual jobs listing. Action: manual browser re-check. EVIDENCE URLS: https://www.naphora.com/careers. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-naphora) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
SiFi,SiFi (Simplified Financial Solutions Company),https://sifi.app,startup,Fintech (Spend Management),Riyadh,audit_hold_manual_review,cc-sifi,https://sifi.breezy.hr,https://www.sifi.app/en/,"[REVIEW-ID: SA-HOLD-006] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-sifi). AUDIT BLOCKER: The official_careers_url now 404s. Evidence checked: direct fetch. Missing: working current careers/ATS link. Action: search for SiFi's current careers URL before promotion. EVIDENCE URLS: https://www.sifi.app/en/ (careers sub-link dead). Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-sifi) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
CoorB,CoorB,https://coorb.io,startup,Digital Banking Technology,Riyadh,audit_hold_manual_review,cc-coorb-sa,https://coorb.io/careers,https://coorb.io/careers,"[REVIEW-ID: SA-HOLD-007] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-coorb-sa). AUDIT BLOCKER: Official careers URL now 404s; previously-cited live Riyadh roles cannot be reconfirmed. Evidence checked: direct fetch. Missing: working current careers link. Action: search for CoorB's current careers page/ATS before promotion. EVIDENCE URLS: https://coorb.io (careers sub-path dead). Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-coorb-sa) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
Ninja,Ninja,https://ananinja.com,startup,Quick-commerce/Logistics,Riyadh,audit_hold_manual_review,cc-ninja-sa,https://ananinja.com,https://buildsaudi.co/company/ninja;https://www.bayt.com/en/company/ninja-2229199/,"[REVIEW-ID: SA-HOLD-008] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-ninja-sa). AUDIT BLOCKER: No first-party evidence exists anywhere in the record. Official domain blocked this pass. Evidence checked: ananinja.com (blocked), buildsaudi.co and bayt.com (both third-party). Missing: first-party company page or careers URL. Action: retry official domain later, or downgrade to insufficient_evidence. EVIDENCE URLS: https://buildsaudi.co/company/ninja;https://www.bayt.com/en/company/ninja-2229199/. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-ninja-sa) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
Nahdi Medical Company,Nahdi Medical Company,https://nahdi.com.sa,public_listed,Retail Pharmacy,Riyadh; Jeddah (multi-city),audit_hold_manual_review,cc-nahdi-medical,https://nahdi.mihnati.com/register.php,https://en.wazaefsaudi.com/2026/05/nahdi.html,"[REVIEW-ID: SA-HOLD-009] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-nahdi-medical). AUDIT BLOCKER: Staged domain does not resolve at all. Evidence checked: nahdi.com.sa (DNS failure), nahdi.sa (resolves, server error). Missing: confirmed working official domain. Action: human should verify whether nahdi.sa is the correct current domain; do not carry forward nahdi.com.sa as-is. EVIDENCE URLS: https://www.nahdi.sa (unconfirmed, 500 error this pass). Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-nahdi-medical) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
2P Perfect Presentation,2P Perfect Presentation,https://2p.com.sa,public_listed,ICT services,Riyadh,audit_hold_manual_review,cc-2p-perfect-presentation,not_found,https://en.wazaefsaudi.com/2026/03/2p.html;https://finance.yahoo.com/quote/7204.SR/profile,"[REVIEW-ID: SA-HOLD-010] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-2p-perfect-presentation). AUDIT BLOCKER: Reason: internal contradiction between careers_page_status and official_careers_url fields; only third-party evidence exists for any careers claim. Evidence checked: 2p.com.sa homepage (no careers link found), Wazaef Saudi aggregator, Yahoo Finance ticker page. Action needed: a human should browse 2p.com.sa's full navigation/footer for an actual careers page, or confirm via Tadawul filing/IR page. EVIDENCE URLS: https://en.wazaefsaudi.com/2026/03/2p.html;https://finance.yahoo.com/quote/7204.SR/profile. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-2p-perfect-presentation) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
KBR,KBR,https://kbr.com,multinational_subsidiary,Engineering/EPC & government services,Eastern Province (Jubail/Khobar),audit_hold_manual_review,cc-kbr,not_found,"https://www.glassdoor.com/Jobs/KBR-Saudi-Arabia-Jobs-EI_IE18604.0,3_IL.4,16_IN207.htm;https://dejobs.org/sau/jobs/kbr/careers/","[REVIEW-ID: SA-HOLD-011] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-kbr). AUDIT BLOCKER: Reason: highest-stakes row in the batch because it reuses an existing cross-market canonical ID with NO first-party confirmation at all -- only aggregator mirrors. Evidence checked: kbr.com/en/careers (403, both passes), Glassdoor and dejobs.org mirrors (real, but third-party). Action needed: a human must get a direct browser view of kbr.com's careers/Saudi Arabia section (or an official KBR press release/LinkedIn company page corroboration) before this reuses the cc-kbr id in production. EVIDENCE URLS: https://www.glassdoor.com/Jobs/KBR-Saudi-Arabia-Jobs-EI_IE18604.0,3_IL.4,16_IN207.htm;https://dejobs.org/sau/jobs/kbr/careers/. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-kbr) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
Remat Al-Riyadh Development Co.,Remat Al-Riyadh Development Co.,https://remat.sa,government_linked,Real estate / municipal development,Riyadh,audit_hold_manual_review,cc-remat-al-riyadh,not_found,https://remat.sa/en/pages/default.aspx;https://bestplacestoworkfor.org/employers-of-choice/companies-profile/431-remat,"[REVIEW-ID: SA-HOLD-012] SOURCE: staged employer removed from promotion after human-quality audit (canonical_company_id=cc-remat-al-riyadh). AUDIT BLOCKER: Reason: the row's own careers_page_status claims a recruitment-email channel exists, but no actual email address is recorded in any field, and this audit's own re-fetch failed with a connection error. Evidence checked: remat.sa (ECONNRESET this pass), bestplacestoworkfor.org profile (confirms the award but not a specific recruitment address). Action needed: a human must browse remat.sa directly to find and record the actual recruitment email address before this can be treated as recruitment_email_only rather than unavailable. EVIDENCE URLS: https://remat.sa/en/pages/default.aspx;https://bestplacestoworkfor.org/employers-of-choice/companies-profile/431-remat. Full original pre-audit staging data preserved in docs/job-source-discovery/pilots/saudi-expansion/audit-findings-employers.csv (row canonical_company_id=cc-remat-al-riyadh) and this pass's saudi-promotion-staging.csv history. This is a HOLD, not a rejection -- the audit did not find the company invalid, only that a specific piece of evidence is missing/contradictory (see blocker above)."
