canonical_name,normalized_domain,website,place_ids,regions,categories,address,city,phone,rating,reviews_count,google_maps_url,duplicate_count,flagged_for_review,source,scraped_at
Salti Developments (Saadeddine Alti),saltidevelopments.com,https://saltidevelopments.com/,ChIJjd0xoOsXHxUReICvgitmXPw,Beirut,Software and IT services,"Beirut, Lebanon",Beirut,+961 3 951 223,5,30,https://www.google.com/maps/search/?api=1&query=Salti%20Developments%20(Saadeddine%20Alti)&query_place_id=ChIJjd0xoOsXHxUReICvgitmXPw,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
Paradox Software Solutions,pssleb.com,http://www.pssleb.com/,ChIJ42x7rpkXHxURtvICn2JZ-Es,Beirut|Greater Beirut,Software and IT services|Accounting/audit/financial services,"Cournish El-Mazraa, Behind Audi Bank, Landmark Center, Block B, 1st floor, Beirut, Lebanon",Beirut,+961 3 612 712,,,https://www.google.com/maps/search/?api=1&query=Paradox%20Software%20Solutions&query_place_id=ChIJ42x7rpkXHxURtvICn2JZ-Es,1,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
JIT (Just Imagine That),jitofficial.com,http://www.jitofficial.com/,ChIJZQUQy0sXHxUR3U7xvUULN60,Beirut,Software and IT services,"Alice Alfred Naccash Private Clinics Building, Block B, Floor 3, Beirut, Lebanon",Beirut,+961 71 777 365,4.1,7,https://www.google.com/maps/search/?api=1&query=JIT%20(Just%20Imagine%20That)&query_place_id=ChIJZQUQy0sXHxUR3U7xvUULN60,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
ROY TECH,roytech.solutions,https://roytech.solutions/,ChIJzxGwdscXHxURcffQD_f84PA,Beirut,Software and IT services,"Soleiman Boustani, Beirut, Lebanon",Beirut,+961 81 986 469,5,8,https://www.google.com/maps/search/?api=1&query=ROY%20TECH&query_place_id=ChIJzxGwdscXHxURcffQD_f84PA,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
FitnessForce Software,fitnessforce.com,https://www.fitnessforce.com/,ChIJPxvg8bgXHxURDJ_0L6rgZOM,Beirut,Software and IT services,"Habib Srour, Greater, Lebanon",Greater,+961 70 602 338,5,13,https://www.google.com/maps/search/?api=1&query=FitnessForce%20Software&query_place_id=ChIJPxvg8bgXHxURDJ_0L6rgZOM,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
ROC IN DIGIT,,,ChIJ3yFdmWcXHxURq7GnOaqUF5M,Beirut,Software and IT services,"VERDUN STREET; NOUR EL HAYAT BLDG.; 6TH FLOOR Unesco street Beirut, Beirut, Lebanon",Beirut,+961 3 199 381,5,1,https://www.google.com/maps/search/?api=1&query=ROC%20IN%20DIGIT&query_place_id=ChIJ3yFdmWcXHxURq7GnOaqUF5M,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
Esri Lebanon,esrilebanon.com,http://www.esrilebanon.com/,ChIJ6wQlLFEXHxURObrqqg8ZXUw,Beirut,Software and IT services,"Al Akhtal Al Saghir، Jnah, Beirut, Lebanon",Beirut,+961 1 843 843,5,3,https://www.google.com/maps/search/?api=1&query=Esri%20Lebanon&query_place_id=ChIJ6wQlLFEXHxURObrqqg8ZXUw,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
ISS - Software Hive,iss-mea.com,https://www.iss-mea.com/,ChIJyTGQZu8RHxURrt7rK-Ewr90,Beirut,Software and IT services,"Raouche, Australia Street , Carlton House Building, 1st floor Beirut - Raouche, Beirut, Lebanon",Beirut,+961 1 805 775,5,3,https://www.google.com/maps/search/?api=1&query=ISS%20-%20Software%20Hive&query_place_id=ChIJyTGQZu8RHxURrt7rK-Ewr90,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
Terabyte Computers - Msaytbeh,terabyte.computer,https://www.terabyte.computer/,ChIJ9wSGhnAXHxURP0akSQDTH4g,Beirut,Software and IT services,"St. - Arz Building, Bachir Jounblat, Beirut, Lebanon",Beirut,+961 70 771 504,5,85,https://www.google.com/maps/search/?api=1&query=Terabyte%20Computers%20-%20Msaytbeh&query_place_id=ChIJ9wSGhnAXHxURP0akSQDTH4g,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.830Z
The Eighth Miracle s.a.r.l,the8thmiracle.com,https://www.the8thmiracle.com/,ChIJs_Msk-YXHxURzOs0c8s4i7M,Beirut,Marketing/advertising/graphic design,"Rawche Street, Beirut, Lebanon",Beirut,+961 3 858 182,5,25,https://www.google.com/maps/search/?api=1&query=The%20Eighth%20Miracle%20s.a.r.l&query_place_id=ChIJs_Msk-YXHxURzOs0c8s4i7M,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.367Z
Blue Boost Agency,blueboostagency.com,https://blueboostagency.com/,ChIJGStEK_IXHxURVDsbczYjEZ4,Beirut,Marketing/advertising/graphic design,"Corniche El Mazraa, Beirut, Lebanon",Beirut,+961 70 826 463,4.4,7,https://www.google.com/maps/search/?api=1&query=Blue%20Boost%20Agency&query_place_id=ChIJGStEK_IXHxURVDsbczYjEZ4,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.367Z
Protech24 Studio,bit.ly,https://bit.ly/protech-studio,ChIJiQdQIZcXHxUR0shNjUCjtHY,Beirut,Marketing/advertising/graphic design,"Saeb Salam, Beirut, Lebanon",Beirut,+961 71 536 578,5,1,https://www.google.com/maps/search/?api=1&query=Protech24%20Studio&query_place_id=ChIJiQdQIZcXHxUR0shNjUCjtHY,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.367Z
Xpertise.Agency,expertise12.com,https://www.expertise12.com/,ChIJ-89vXSYhHxUReAi43l84WaA,Beirut,Marketing/advertising/graphic design,"Main street, Beirut, Lebanon",Beirut,+961 81 771 792,5,5,https://www.google.com/maps/search/?api=1&query=Xpertise.Agency&query_place_id=ChIJ-89vXSYhHxUReAi43l84WaA,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.367Z
PromoMedia Lebanon,promomedia-me.com,https://promomedia-me.com/lebanon/,ChIJg6RMVzcXHxURpcG90MJyH14,Beirut,Marketing/advertising/graphic design,"J1 Building, Tallet El Khayyat, Beirut, Lebanon",Beirut,+961 81 377 277,5,9,https://www.google.com/maps/search/?api=1&query=PromoMedia%20Lebanon&query_place_id=ChIJg6RMVzcXHxURpcG90MJyH14,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.367Z
Cryptic Design,,,ChIJ10ds1-UXHxURPB8bqdVhqk4,Beirut,Marketing/advertising/graphic design,"Al Sabah Center, Block B, Corniche El Mazraa, Beirut, Lebanon",Beirut,+961 70 774 354,5,1,https://www.google.com/maps/search/?api=1&query=Cryptic%20Design&query_place_id=ChIJ10ds1-UXHxURPB8bqdVhqk4,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.367Z
HomePro,homeprolisting.com,http://www.homeprolisting.com/,ChIJk3d5vzUXHxURX0ZWuTyxasE,Beirut,Marketing/advertising/graphic design,"Thomas Edison Street Ramlet El-Baida, Attalah Building 3rd floor, Beirut, Lebanon",Beirut,+961 1 811 218,4.5,6,https://www.google.com/maps/search/?api=1&query=HomePro&query_place_id=ChIJk3d5vzUXHxURX0ZWuTyxasE,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Media Pro,,,ChIJr1l6z_oXHxURAOR1AekaqOw,Beirut,Marketing/advertising/graphic design,"Beirut, Lebanon",Beirut,+961 76 666 755,5,3,https://www.google.com/maps/search/?api=1&query=Media%20Pro&query_place_id=ChIJr1l6z_oXHxURAOR1AekaqOw,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Designer's ID,designersid.com,http://www.designersid.com/,ChIJr8mLYSQXHxURS8NWTYo4Uqo,Beirut,Marketing/advertising/graphic design,"K Center III, Designer's ID Web Development Company, 2nd Floor, Mar Elias St، Lebanon",Lebanon,+961 71 559 970,4.9,39,https://www.google.com/maps/search/?api=1&query=Designer's%20ID&query_place_id=ChIJr8mLYSQXHxURS8NWTYo4Uqo,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
ReKreate Digital Marketing Agency,rekreateagency.com,http://www.rekreateagency.com/,ChIJ1xKwWDdepYgR_qfgHIJvRBk,Beirut,Marketing/advertising/graphic design,,,+961 3 035 592,,,https://www.google.com/maps/search/?api=1&query=ReKreate%20Digital%20Marketing%20Agency&query_place_id=ChIJ1xKwWDdepYgR_qfgHIJvRBk,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Focus Far - Digital Marketing Agency,wefocusfar.com,http://www.wefocusfar.com/,ChIJgwzzsaYXHxURTerhBunsZWc,Beirut,Marketing/advertising/graphic design,"Silver Tower, Tamer Mallat Street, 4th floor, Lebanon",4th floor,+961 76 044 045,5,3,https://www.google.com/maps/search/?api=1&query=Focus%20Far%20-%20Digital%20Marketing%20Agency&query_place_id=ChIJgwzzsaYXHxURTerhBunsZWc,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Loewe Digital,loewedigital.com,https://loewedigital.com/,ChIJI-usX1eAOYoRPLQPeTzjP6Y,Beirut,Marketing/advertising/graphic design,"Baalbaki Building, Makdisi, Beirut, Lebanon",Beirut,+961 70 580 617,5,14,https://www.google.com/maps/search/?api=1&query=Loewe%20Digital&query_place_id=ChIJI-usX1eAOYoRPLQPeTzjP6Y,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
IIS E-Solutions Digital Marketing agency,iislb.com,https://www.iislb.com/,ChIJ87QZOmQXHxURqGI2ibHZzO0,Beirut,Marketing/advertising/graphic design,"Al-Markazia building, Lebanon",Lebanon,+961 3 707 754,5,73,https://www.google.com/maps/search/?api=1&query=IIS%20E-Solutions%20Digital%20Marketing%20agency&query_place_id=ChIJ87QZOmQXHxURqGI2ibHZzO0,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Beyond agency,,,ChIJUTJm6B4XHxUR99pu3IrtK0o,Beirut,Marketing/advertising/graphic design,"VFHW+QXH, Zreik, Beirut, Lebanon",Beirut,+961 81 148 186,5,1,https://www.google.com/maps/search/?api=1&query=Beyond%20agency&query_place_id=ChIJUTJm6B4XHxUR99pu3IrtK0o,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
247studios,247studios.me,http://247studios.me/,ChIJh3SxjTkXHxUR0KN3s1iIOhs,Beirut,Marketing/advertising/graphic design,"Columbia Center, Block A, 7th floor Route Motanabbi Corniche AlMazraa Beirut, Beirut, Lebanon",Beirut,+961 70 943 762,5,11,https://www.google.com/maps/search/?api=1&query=247studios&query_place_id=ChIJh3SxjTkXHxUR0KN3s1iIOhs,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Scent it,xlhyimcjkkpg.manus.space,https://xlhyimcjkkpg.manus.space/#contact,ChIJPfxMYhgXHxURjaGcW1srY6M,Beirut,Marketing/advertising/graphic design,"Cola, Beirut, Lebanon",Beirut,+961 78 802 099,5,2,https://www.google.com/maps/search/?api=1&query=Scent%20it&query_place_id=ChIJPfxMYhgXHxURjaGcW1srY6M,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
Solace,solacesol.com,http://www.solacesol.com/,ChIJwQpeQToXHxURhMP51FRQ9Bk,Beirut,Marketing/advertising/graphic design,"Beirut, Lebanon",Beirut,+961 71 113 144,,,https://www.google.com/maps/search/?api=1&query=Solace&query_place_id=ChIJwQpeQToXHxURhMP51FRQ9Bk,0,false,apify_google_maps_pilot,2026-09-05T10:44:51.368Z
KHOUBOURAT,khoubourat.org.lb,http://www.khoubourat.org.lb/,ChIJtxWgaEkXHxURyH0vEvE1JiM,Beirut,Marketing/advertising/graphic design,"Tallet el Khayat- Oueini Bldg- 1st Floor, Beirut, Lebanon",Beirut,+961 70 703 750,4.5,2,https://www.google.com/maps/search/?api=1&query=KHOUBOURAT&query_place_id=ChIJtxWgaEkXHxURyH0vEvE1JiM,0,false,apify_google_maps_pilot,2026-09-05T10:44:52.445Z
Microsoft Lebanon,microsoft.com,http://microsoft.com/,ChIJKc4PeOgWHxURgOAVdtLO_Zg,Lebanon country-wide,Software and IT services,"WG22+8R3, Beirut, Lebanon",Beirut,+961 1 983 347,4.5,32,https://www.google.com/maps/search/?api=1&query=Microsoft%20Lebanon&query_place_id=ChIJKc4PeOgWHxURgOAVdtLO_Zg,0,false,apify_google_maps_pilot,2026-09-05T10:44:55.789Z
Fusion Second,fusionsecond.com,http://www.fusionsecond.com/,ChIJF8hufSoXHxURhoVojiurJQ0,Lebanon country-wide,Software and IT services,"Al Shams Building - 4th Floor, Sidani, Beirut, Lebanon",Beirut,+961 3 154 279,5,66,https://www.google.com/maps/search/?api=1&query=Fusion%20Second&query_place_id=ChIJF8hufSoXHxURhoVojiurJQ0,0,false,apify_google_maps_pilot,2026-09-05T10:44:55.789Z
Incoding,incoding.dev,https://incoding.dev/,ChIJKY98Or4XHxUR7PxrT63NOD4,Lebanon country-wide,Software and IT services,"St 3rd Floor, Le Bureau Building, Pierre Gemayel, Mathaf, Beirut, Lebanon",Beirut,+961 76 837 143,5,137,https://www.google.com/maps/search/?api=1&query=Incoding&query_place_id=ChIJKY98Or4XHxUR7PxrT63NOD4,0,false,apify_google_maps_pilot,2026-09-05T10:44:55.789Z
Ciatek IT Services,ciatek.net,https://ciatek.net/,ChIJE6k5GAgXHxUR7SCIMbYZrI0,Lebanon country-wide,Software and IT services,"Mazraa, Beirut, Lebanon",Beirut,+961 1 645 019,5,20,https://www.google.com/maps/search/?api=1&query=Ciatek%20IT%20Services&query_place_id=ChIJE6k5GAgXHxUR7SCIMbYZrI0,0,false,apify_google_maps_pilot,2026-09-05T10:44:55.789Z
ArabiaGIS K&A Plus sal,arabiagis.com,http://www.arabiagis.com/,ChIJ7Tx-PigXHxURwek47jPpqmo,Lebanon country-wide,Software and IT services,"K&A building، Al Akhtal Al Saghir, Jnah, Lebanon",Jnah,+961 1 929 000,4.5,11,https://www.google.com/maps/search/?api=1&query=ArabiaGIS%20K%26A%20Plus%20sal&query_place_id=ChIJ7Tx-PigXHxURwek47jPpqmo,0,false,apify_google_maps_pilot,2026-09-05T10:44:55.789Z
XiomLabs,xiomlab.com,https://www.xiomlab.com/,ChIJW-vCUgAXHxURDBij3PJ3tuQ,Beirut,Software and IT services,"VGX5+67C, Beirut, Lebanon",Beirut,,,,https://www.google.com/maps/search/?api=1&query=XiomLabs&query_place_id=ChIJW-vCUgAXHxURDBij3PJ3tuQ,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.497Z
Nomad AI,nomadmena.ai,https://www.nomadmena.ai/,ChIJh6fYG6wXHxURN5GSe1M93NQ,Beirut,Software and IT services,"Louis Vuitton Building, Allenby, Beirut, Lebanon",Beirut,+961 76 937 583,,,https://www.google.com/maps/search/?api=1&query=Nomad%20AI&query_place_id=ChIJh6fYG6wXHxURN5GSe1M93NQ,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.497Z
Creasoft LB,creasoft.uk,https://creasoft.uk/,ChIJV0lVkSGGy0YRvXstfU3kI6s,Beirut,Software and IT services,"Downtown, Beirut, Lebanon",Beirut,,5,1,https://www.google.com/maps/search/?api=1&query=Creasoft%20LB&query_place_id=ChIJV0lVkSGGy0YRvXstfU3kI6s,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.497Z
Intelligile Lebanon,,,ChIJq4_oKK_2IRURw74iSnJsDL0,Beirut,Software and IT services,"waygand street, marfaa building Block M, 4th Floor, Beirut, Lebanon",Beirut,+961 1 956 450,3.7,3,https://www.google.com/maps/search/?api=1&query=Intelligile%20Lebanon&query_place_id=ChIJq4_oKK_2IRURw74iSnJsDL0,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.497Z
White Stork,whitestork.me,https://whitestork.me/,ChIJpYkt0e0XHxURrNPKxaZeJT4,Beirut,Software and IT services,"Azarieh A2-1 Prince Bashir Street, Beirut, Lebanon",Beirut,+961 3 896 855,4.8,16,https://www.google.com/maps/search/?api=1&query=White%20Stork&query_place_id=ChIJpYkt0e0XHxURrNPKxaZeJT4,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.497Z
FPn (FP netWorth),,,ChIJ879S4uUWHxUR0P6mshi02C4,Beirut,Software and IT services,"VGX4+J7H, Beirut, Lebanon",Beirut,+961 1 999 050,4,1,https://www.google.com/maps/search/?api=1&query=FPn%20(FP%20netWorth)&query_place_id=ChIJ879S4uUWHxUR0P6mshi02C4,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.497Z
Xenia Developers,,,ChIJcUUqLfgWHxURr6SdJxmVbZw,Beirut,Software and IT services,"33°53'41. 35°31'09.، 4 N 7th St, Lebanon",Lebanon,,,,https://www.google.com/maps/search/?api=1&query=Xenia%20Developers&query_place_id=ChIJcUUqLfgWHxURr6SdJxmVbZw,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.498Z
K-SUM Lebanon,github.com,https://github.com/KSUM-LB/Production,ChIJsQgb408XHxUR0wWki20gKow,Beirut,Software and IT services,"Tekeyan Center, Beirut, Lebanon",Beirut,+961 70 816 858,5,1,https://www.google.com/maps/search/?api=1&query=K-SUM%20Lebanon&query_place_id=ChIJsQgb408XHxUR0wWki20gKow,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.498Z
SmartCode Internet Solutions,,,ChIJe5Z3CqkXHxURcgpaQ5IAzC8,Beirut,Software and IT services,"VGX2+Q23, Chateaubriand, Beirut, Lebanon",Beirut,+1 581-500-9757,5,14,https://www.google.com/maps/search/?api=1&query=SmartCode%20Internet%20Solutions&query_place_id=ChIJe5Z3CqkXHxURcgpaQ5IAzC8,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.498Z
Networked Energy Services (NES) MENAI - Smart Grid & Smart Meter Solutions,networkedenergy.com,http://www.networkedenergy.com/,ChIJscbjDOYWHxURZTiHao_twYM,Beirut,Software and IT services,"Allenby street, Marfaa 146 Bldg, Beirut, Lebanon",Beirut,+961 1 990 690,4.5,2,https://www.google.com/maps/search/?api=1&query=Networked%20Energy%20Services%20(NES)%20MENAI%20-%20Smart%20Grid%20%26%20Smart%20Meter%20Solutions&query_place_id=ChIJscbjDOYWHxURZTiHao_twYM,0,false,apify_google_maps_pilot,2026-09-05T10:44:56.498Z
Talentdu - Practical Digital Marketing Courses,talentdu.com,https://www.talentdu.com/,ChIJ5Rr5bzp5c0QRDIUOJ8KbsZ0,Beirut,Marketing/advertising/graphic design,"Foch, Beirut, Lebanon",Beirut,+961 81 673 407,4.9,207,https://www.google.com/maps/search/?api=1&query=Talentdu%20-%20Practical%20Digital%20Marketing%20Courses&query_place_id=ChIJ5Rr5bzp5c0QRDIUOJ8KbsZ0,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.450Z
Creatives,creatives.me,http://creatives.me/,ChIJxebziCkXHxURTn9p-xp_ENM,Beirut,Marketing/advertising/graphic design,"El Amir Bachir, Beirut, Lebanon",Beirut,+961 70 519 120,5,41,https://www.google.com/maps/search/?api=1&query=Creatives&query_place_id=ChIJxebziCkXHxURTn9p-xp_ENM,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
MAC Tradigital Platforms | Digital Marketing Agency in Lebanon,macplatforms.com,https://macplatforms.com/,ChIJjwFAFvkXHxURZmbbyBXFVKc,Beirut,Marketing/advertising/graphic design,"VGX3+JWQ Downtown, Beirut, Lebanon",Beirut,+961 71 008 088,5,9,https://www.google.com/maps/search/?api=1&query=MAC%20Tradigital%20Platforms%20%7C%20Digital%20Marketing%20Agency%20in%20Lebanon&query_place_id=ChIJjwFAFvkXHxURZmbbyBXFVKc,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Paperview Design and Branding,paperviewdesign.com,http://www.paperviewdesign.com/,ChIJtakawLUXHxURA5rW06wMyxU,Beirut,Marketing/advertising/graphic design,"Ave, Saifi, 3rd Floor, Chawkatly Bldg, Beirut, Lebanon",Beirut,+961 1 444 543,4.9,14,https://www.google.com/maps/search/?api=1&query=Paperview%20Design%20and%20Branding&query_place_id=ChIJtakawLUXHxURA5rW06wMyxU,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Colart Digital Marketing Agency,colartdigitalmarketingagency.com,https://www.colartdigitalmarketingagency.com/,ChIJ3xSJu3IXHxURp0OJbAkkwkI,Beirut,Marketing/advertising/graphic design,"Gouraud, Beirut, Lebanon",Beirut,+961 70 649 423,,,https://www.google.com/maps/search/?api=1&query=Colart%20Digital%20Marketing%20Agency&query_place_id=ChIJ3xSJu3IXHxURp0OJbAkkwkI,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Mass Fluence,,,ChIJh6MH_XpJQksRyWVlNJJkkWI,Beirut,Marketing/advertising/graphic design,"Downtown, Al Qoura Building, Urugay, Beirut, Lebanon",Beirut,+961 81 868 145,5,1,https://www.google.com/maps/search/?api=1&query=Mass%20Fluence&query_place_id=ChIJh6MH_XpJQksRyWVlNJJkkWI,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Xpandable Lebanon - Digital Marketing Agency in Lebanon,xpandable.online,https://www.xpandable.online/,ChIJj6eAWCEXHxURWByFnPXpMTc,Beirut,Marketing/advertising/graphic design,"شارع لبنان, Beirut, Lebanon",Beirut,+961 70 093 922,4.8,22,https://www.google.com/maps/search/?api=1&query=Xpandable%20Lebanon%20-%20Digital%20Marketing%20Agency%20in%20Lebanon&query_place_id=ChIJj6eAWCEXHxURWByFnPXpMTc,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Digital Grape,digitalgrape.com,http://www.digitalgrape.com/,ChIJnXDqOSoXHxUR0IEMtyMYtRA,Beirut,Marketing/advertising/graphic design,"Royal Tower, 9th Floor, Beirut, Lebanon",Beirut,+961 3 869 865,5,2,https://www.google.com/maps/search/?api=1&query=Digital%20Grape&query_place_id=ChIJnXDqOSoXHxUR0IEMtyMYtRA,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Deals In Lebanon,,,ChIJD8yZ_D8XHxURidY-ZcXuLbE,Beirut,Marketing/advertising/graphic design,"7th Floor, Pasteur 40 Bldg, Pasteur Street, Beirut, Lebanon",Beirut,+961 1 565 686,4.8,20,https://www.google.com/maps/search/?api=1&query=Deals%20In%20Lebanon&query_place_id=ChIJD8yZ_D8XHxURidY-ZcXuLbE,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
Businex,busiinex.com,https://busiinex.com/,ChIJ4zjpPf0XHxUR_CsjiumLiaI,Beirut,Marketing/advertising/graphic design,"Beirut, Lebanon",Beirut,+961 71 311 698,5,5,https://www.google.com/maps/search/?api=1&query=Businex&query_place_id=ChIJ4zjpPf0XHxUR_CsjiumLiaI,0,false,apify_google_maps_pilot,2026-09-05T10:44:59.451Z
