query_id,market,sector_or_function,source_type_target,query_string,tool_or_engine,purpose,sample_evidence_url,tested,notes
q-sa-005,Saudi Arabia,cross_sector_industrial,chamber_of_commerce_directory,Eastern Province Chamber of Commerce Dammam Khobar member directory companies,WebSearch,discover_the_industrial_eastern_provinces_chamber_directory,https://saudipedia.com/en/article/2215/economy-and-business/commerce/asharqia-chamber,true,"Identified Asharqia Chamber and its official domain, but no public member-directory URL was found - only descriptive/history pages returned."
q-sa-006,Saudi Arabia,sme_entrepreneurship_cross_sector,trade_show_exhibitor_directory,Biban conference exhibitor list Saudi Arabia SMEs startups,WebSearch,discover_the_national_sme_forums_exhibitor_list,https://bibanglobal.sa/en,true,"Confirmed Biban as the region's largest entrepreneurship forum (1,000+ exhibitors claimed) but no enumerable exhibitor list was found via search."
q-sa-007,Saudi Arabia,manufacturing_industrial,government_industrial_directory,"National Industrial Information Center Saudi Arabia factories directory search ""nic.sa""",WebSearch,discover_a_government_industrial_company_directory,https://www.slideshare.net/slideshow/saudi-arabia-national-factories-directory-8988239/8988239,true,"Found the National Factories Directory (3,000+ plants, 12th edition) via the Ministry of Industry/SIDF - access format (PDF vs. browsable) not confirmed this pass."
q-sa-008,Saudi Arabia,cross_sector_investment,government_investment_directory,MISA Ministry of Investment Saudi Arabia investor company directory search,WebSearch,discover_the_saudi_analogue_of_lebanons_idal,https://misa.gov.sa/,true,Confirmed MISA/Invest Saudi as the national investment-promotion body; no specific investor/company directory page was surfaced this pass.
q-sa-009,Saudi Arabia,startup_cross_sector,vc_portfolio_directory,"""Saudi Venture Capital"" OR ""500 Global"" Saudi Arabia startup portfolio companies list",WebSearch,discover_a_vc_backed_startup_portfolio_as_a_pilot_source,https://growthlist.co/saudi-arabia-startups/,true,"Led indirectly to GrowthList.co (this pass's single highest-yield source, 97 names extracted); 500 Global's own Saudi portfolio (38 investments claimed) was named but not enumerated."
q-ae-001,UAE,cross_sector_SME,government_licensed_business_directory,Dubai Chamber of Commerce membership directory search companies,WebSearch,discover_dubais_official_licensed_business_directory,https://www.dubaichambers.com/en/commercial-directory,true,"Confirmed a real, filterable commercial directory exists; direct WebFetch was blocked (403) this pass."
q-ae-002,UAE,cross_sector,government_licensed_business_directory,Abu Dhabi Chamber of Commerce Industry membership directory companies,WebSearch,discover_abu_dhabis_official_chamber_directory,https://www.abudhabichamber.ae/en/,true,Confirmed the chamber's existence and general site; no specific directory sub-page URL was found.
q-ae-003,UAE,cross_sector,government_licensed_business_directory,Sharjah Chamber of Commerce Industry member directory companies,WebSearch,discover_sharjahs_official_business_directory,https://www.sharjah.gov.ae/BusinessDirectory/Index,true,Found the government's own Business Directory URL via search; it 404'd on direct fetch this pass.
q-ae-004,UAE,cross_sector,chamber_of_commerce_directory,Ajman Chamber of Commerce Industry member directory companies,WebSearch,discover_ajmans_chamber_directory,https://www.ajmanchamber.ae/en/directory,true,Found a specific directory sub-path via search; it 404'd on direct fetch this pass.
q-ae-005,UAE,cross_sector,chamber_of_commerce_directory,Ras Al Khaimah RAK Chamber of Commerce member directory companies,WebSearch,discover_ras_al_khaimahs_chamber_directory,http://www.rakchamber.ae/,true,"Confirmed the chamber's existence (established 1967, mandatory membership) and a third-party mirror describing directory contents; official directory not directly fetched this pass."
q-ae-006,UAE,cross_sector,chamber_of_commerce_directory,Fujairah Umm Al Quwain Chamber of Commerce member directory companies,WebSearch,discover_the_two_smallest_emirates_chamber_directories,https://www.uaqchamber.ae,true,Confirmed both chambers exist with official domains; neither's directory was directly fetched this pass - genuinely the thinnest-covered emirates in this whole pass.
q-ae-007,UAE,finance_fintech_legal,free_zone_company_register,DIFC company directory Dubai International Financial Centre registered firms list,WebSearch,discover_a_high_volume_official_free_zone_register,https://www.difc.com/business/public-register/public-register-details,true,"Confirmed DIFC's Public Register as a free, official directory with 8,844 claimed active companies; direct WebFetch was blocked (403) this pass."
q-ae-008,UAE,finance_professional_services,free_zone_company_register,ADGM Abu Dhabi Global Market registered companies directory search,WebSearch,discover_abu_dhabis_analogue_of_difc,https://www.adgm.com/public-registers,true,"Confirmed multiple ADGM public sub-registers (general companies, professional services providers, FSRA) with 2,200+ claimed companies; none directly fetched this pass."
q-ae-009,UAE,technology_startups,startup_ecosystem_directory,Hub71 Abu Dhabi startup portfolio companies list,WebSearch,discover_abu_dhabis_flagship_startup_accelerator_portfolio,https://www.hub71.com/startups,true,Led to both the (JS-blocked) startups directory and the (accessible) companion job board at jobs.hub71.com/companies - the latter became this pass's second-highest-yield source.
q-ae-010,UAE,technology_cross_sector,trade_show_exhibitor_directory,GITEX Dubai exhibitor list companies technology,WebSearch,discover_the_worlds_largest_tech_trade_shows_exhibitor_list,https://10times.com/gitex-technoloy-week/exhibitors,true,Confirmed GITEX's scale (41+ sectors) but both the official page and a third-party mirror were blocked (403) on direct fetch.
q-ae-011,UAE,manufacturing_industrial,industrial_zone_tenant_directory,KEZAD Abu Dhabi industrial zone tenant companies directory OR Dubai Industrial City company directory,WebSearch,discover_an_industrial_manufacturing_zone_directory,https://www.kezadgroup.com/about-us/,true,"Found KEZAD's Josoor platform (1,750+ companies claimed) as the primary lead; not directly fetched this pass."
q-ae-012,UAE,education_k12_higher_ed,sector_specific_employer_careers_portal,GEMS Education UAE schools group careers OR NYU Abu Dhabi careers jobs,WebSearch,discover_a_multi_emirate_education_sector_employer,https://careers.gemseducation.com/,true,"Led directly to GEMS Education's own careers portal, which was successfully fetched and yielded real per-emirate posting counts (a rare, high-quality data point)."
q-ae-013,UAE,cross_sector,job_board_via_apify_actor,GulfTalent Naukrigulf UAE jobs Apify scraper actor,WebSearch,find_uae_specific_job_board_apify_actors_beyond_bayt,https://apify.com/blackfalcondata/gulftalent-scraper,true,Found 2 genuinely new actor candidates (GulfTalent and NaukriGulf scrapers) not evaluated in the Lebanon or Saudi Arabia passes.
q-ae-014,UAE,hospitality_construction,sector_specific_employer_careers_portal,Jumeirah Group careers OR Arabtec Al Naboodah Group careers UAE construction,WebSearch,discover_hospitality_and_construction_sector_employers,https://www.constructionplacements.com/construction-companies-in-dubai-uae/,true,"Led to Jumeirah's careers landing page and, indirectly, to the much higher-yield ConstructionPlacements.com company list; also surfaced that Arabtec itself is defunct (bankrupt since 2022) - correctly not added as a pilot candidate."
q-ae-015,UAE,manufacturing_industrial,free_zone_company_register,"""Ras Al Khaimah"" OR RAK free zone RAKEZ company list manufacturing industrial",WebSearch,discover_ras_al_khaimahs_free_zone_directory,https://rakez.com/en/,true,"Confirmed RAKEZ (14,000+ companies claimed across 6 zones) as a major industrial free zone; not directly fetched this pass."
q-ae-016,UAE,industrial_maritime,free_zone_company_register,Fujairah free zone company directory OR Fujairah port companies list,WebSearch,discover_fujairahs_free_zone_directory,https://freezone.fujairah.ae/en,true,"Found both a dead legacy domain (fujairahfreetradezone.com, DNS failure) and the current official domain (thin/JS-rendered content, no directory data retrievable this pass)."
q-ae-017,UAE,construction_engineering,sector_directory_construction,Al Habtoor Group headquarters Dubai careers OR Depa Group headquarters Dubai careers,WebSearch,confirm_specific_emirate_for_2_construction_pilot_candidates,https://en.wikipedia.org/wiki/Depa_Group,true,"Confirmed both companies as genuinely Dubai-headquartered - used to assign a specific, evidence-backed emirate rather than defaulting to Dubai without confirmation."
q-ae-018,UAE,construction_engineering_retail,sector_directory_construction,Khansaheb Civil Engineering Dubai careers OR Danube Group Dubai careers,WebSearch,confirm_specific_emirates_for_2_more_construction_pilot_candidates,https://www.naukrigulf.com/khansaheb-careers-cid-43723,true,"Confirmed Khansaheb explicitly operates across Dubai, Abu Dhabi, AND Sharjah (a genuine multi-emirate employer) and Danube Group as Dubai-headquartered (founded in Deira)."
q-ae-019,UAE,logistics_technology,startup_ecosystem_directory,TruKKer Hub71 Abu Dhabi logistics careers,WebSearch,confirm_a_hub71_portfolio_companys_emirate_and_hiring_channel,https://www.trukker.com/careers,true,Confirmed TruKKer as a genuine Abu Dhabi (Hub71-ecosystem) logistics-tech company with its own careers page and email contact.
q-ae-020,UAE,environmental_ports_logistics,sector_directory,Bee'ah Sharjah careers OR Crescent Enterprises Sharjah careers OR Gulftainer Sharjah careers,WebSearch,find_genuinely_sharjah_headquartered_pilot_candidates,https://www.gulftalent.com/companies/bee-ah-the-sharjah-environment-company-careers,true,"Found 3 real Sharjah-headquartered employers, addressing this pass's biggest emirate-balance gap; Bee'ah's named 'RISE Graduate Program' is a strong early-career signal."
q-ae-021,UAE,technology_startups,startup_ecosystem_directory,"""EYouth"" Hub71 Abu Dhabi startup what is",WebSearch,clarify_an_ambiguous_hub71_portfolio_companys_business_model,https://www.hub71.com/impact/2023,true,Could not determine EYouth's actual business model/employer nature from available evidence - correctly classified unverifiable rather than guessed.
q-ae-022,UAE,logistics_technology,startup_ecosystem_directory,"""autone"" Hub71 Abu Dhabi startup car marketplace",WebSearch,clarify_a_hub71_portfolio_companys_actual_uae_presence,https://www.hub71.com/index.php/latest-news/press-release/hub71-welcomes-21-startups-in-15th-cohort-to-abu-dhabi-that-have-raised-over-usd-130-million-in-funding,true,"Found autone is actually US-based and only in Hub71's 'Access' outreach programme, not confirmed to have a genuine Abu Dhabi hiring presence - correctly classified unverifiable rather than assumed local."
q-ae-023,UAE,education_technology,startup_ecosystem_directory,"""iSchool"" Hub71 Abu Dhabi startup edtech what is",WebSearch,clarify_a_hub71_portfolio_companys_business_model,https://levonventures.ae/guides/hub71-startup-success-stories,true,"Confirmed iSchool as a real kids'-coding-education company (15,000+ graduates, STEM.org accredited) - a legitimate employer of coaches/engineers/ops staff, analogous to Lebanon's SE Factory, not a course a jobseeker would take."
q-qa-001,Qatar,cross_sector,chamber_of_commerce_directory,Qatar Chamber of Commerce Industry membership directory search companies,WebSearch,discover_qatars_official_chamber_directory,https://www.qatarchamber.com/qcci-directory/,true,"Found the chamber's own directory-registration page and the separate qatarcid.com portal it points to; the portal itself requires a login, so no companies were extracted."
q-qa-002,Qatar,finance_banking_insurance,free_zone_company_register,Qatar Financial Centre QFC public register companies list,WebSearch,discover_qatars_official_financial_free_zone_register,https://eservices.qfc.qa/qfcpublicregister/publicregister.aspx,true,"Found both the general QFC Public Register and the separate, more accessible QFCRA regulatory register (search-all-firms)."
q-qa-003,Qatar,aviation_logistics_manufacturing,free_zone_authority,Qatar Free Zones Authority QFZA Ras Laffan Umm Alhoul company directory,WebSearch,discover_qatars_two_dedicated_free_zones,https://qfz.gov.qa/authority/,true,"Confirmed QFZA's two zones (Ras Bufontas airport free zone, Umm Alhoul port free zone) but found no public tenant-company directory URL."
q-qa-004,Qatar,technology_research,startup_ecosystem_free_zone,Qatar Science Technology Park QSTP tenant companies list,WebSearch,discover_qatars_flagship_tech_free_zone_tenant_list,https://qstp.qa/,true,"Confirmed QSTP hosts 300+ companies and found individual per-company directory profile pages exist (e.g. the iHorizons profile); also surfaced that QSTP/Education City sits in Al Rayyan Municipality, not Doha - an important geographic-tagging finding."
q-qa-005,Qatar,technology_fintech,startup_ecosystem_incubator,Qatar Business Incubation Center QBIC OR Qatar FinTech Hub QFTH startup portfolio companies,WebSearch,discover_qatars_two_main_startup_ecosystem_programs,https://www.qbic.qa/about/,true,"Found both programs' claimed portfolio sizes (100 and 50+ respectively) and a handful of named graduate companies via third-party aggregators (PitchBook, MAGNiTT) and search snippets."
q-qa-006,Qatar,energy_petrochemicals_manufacturing,industrial_zone_employer_cluster,Mesaieed Industrial City OR Ras Laffan Industrial City tenant companies directory,WebSearch,discover_qatars_two_major_industrial_cities_employers,https://www.qatarenergy.qa/en/Whatwedo/IndustrialCities/Pages/default.aspx,true,"The single most consequential query this pass - identified 6 named major industrial employers (Qafco, Qapco, Qatar Steel, Qatar Vinyl, Q-Chem, Qatalum in Mesaieed; ORYX/Pearl GTL, Dolphin, Laffan Refinery in Ras Laffan), closing a total geographic blank spot in the existing registry."
q-qa-007,Qatar,energy_petrochemicals,industrial_zone_employer_cluster,Qafco Qatar Fertiliser Company Mesaieed careers OR Qapco Qatar Petrochemical careers,WebSearch,confirm_specific_careers_portals_for_2_mesaieed_employers,https://careers.qafco.qa/,true,"Confirmed both companies' own careers portals (careers.qafco.qa, qapco.com/careers) and QAFCO's Mesaieed address; QAFCO's page was then directly WebFetched and confirmed a live SuccessFactors-based job list."
q-qa-008,Qatar,energy_oil_gas,industrial_zone_employer_cluster,Dolphin Energy Qatar careers OR Laffan Refinery Company careers Ras Laffan,WebSearch,confirm_a_specific_ras_laffan_operations_employer,https://www.dolphinenergy.com/en-US/Careers/,true,Confirmed Dolphin Energy as Doha-headquartered but with Ras Laffan-based operational roles; found no separate careers channel for 'Laffan Refinery Company' as a standalone entity (likely operated under the QatarEnergy/Qatargas umbrella already in the registry).
q-qa-009,Qatar,manufacturing_metals,industrial_zone_employer_cluster,Qatar Steel Company Qatalum Mesaieed careers,WebSearch,confirm_2_more_mesaieed_employers_careers_channels,https://careers.qatalum.com/,true,Confirmed Qatar Steel (a subsidiary of Industries Qatar) and Qatalum (a separate aluminium-smelting company) both have real Mesaieed addresses and their own careers portals.
q-qa-010,Qatar,industrial_holding_energy,industrial_holding_company,Industries Qatar IQ holding company careers OR Dukhan Qatar Petroleum operations careers,WebSearch,identify_the_parent_holding_company_of_the_mesaieed_cluster_and_a_third_industrial_city,https://en.wikipedia.org/wiki/Industries_Qatar,true,"Identified Industries Qatar as the public holding company (51% QatarEnergy-owned) behind Qatar Steel and other Mesaieed operations; also confirmed Dukhan as a third Qatari industrial/oil city, already substantially covered by the existing QatarEnergy registry row rather than a distinct gap."
q-qa-011,Qatar,healthcare_education,sector_specific_facility,Qatar Foundation Education City Al Rayyan municipality location OR Al Wakra Hospital careers,WebSearch,confirm_al_rayyan_and_al_wakrah_specific_evidence,https://hamad.qa/EN/Hospitals-and-services/alwakra/Pages/default.aspx,true,Confirmed Education City's official location as Al Rayyan Municipality (a correction-worthy finding for the existing QF/HBKU/Sidra Medicine rows) and identified Al Wakra Hospital as a distinct HMC facility in Al Wakrah.
q-qa-012,Qatar,real_estate_construction,sector_specific_employer,Lusail City Qatar companies careers OR Qatari Diar Lusail careers,WebSearch,confirm_a_lusail_specific_employer,https://www.qataridiar.com/careers,true,Confirmed Qatari Diar as Lusail City's master developer with its own careers page and recruitment email.
q-qa-013,Qatar,technology_research,startup_ecosystem_free_zone,Qatar Science Technology Park QSTP startup company name based Al Rayyan Education City hiring,WebSearch,find_a_specific_named_qstp_tenant_company_for_the_pilot_sample,https://qstp.qa/directory/ihorizons-qstp-llc/,true,"Found iHorizons named as one of QSTP's founding tenant companies, with a confirmed individual directory profile page - used as this pass's Al Rayyan pilot candidate."
q-qa-014,Qatar,information_technology,sector_specific_employer,iHorizons Qatar company careers QSTP IT services,WebSearch,confirm_ihorizons_headquarters_vs_qstp_presence,https://www.ihorizons.com/careers,true,"Confirmed iHorizons' HQ is actually in Doha (343 Al Sadd Street) with a separate R&D lab at QSTP (Al Rayyan) - a genuine dual-location case, handled by recording both rather than picking one."
q-kw-001,Kuwait,cross_sector,chamber_of_commerce_directory,Kuwait Chamber of Commerce Industry membership directory search companies,WebSearch,discover_kuwaits_official_chamber_directory,http://www.kuwaitchamber.org.kw/echamber/website/index.jsp,true,"Found the KCCI eChamber searchable registry (79,000+ members claimed) - the highest single-source volume claim of any Kuwait source this pass; not directly fetched."
q-kw-002,Kuwait,cross_sector_investment,government_investment_directory,Kuwait Direct Investment Promotion Authority KDIPA licensed companies directory,WebSearch,discover_kuwaits_investment_promotion_authority_directory,https://kdipa.gov.kw/about-kdipa/,true,Confirmed KDIPA's role and legal basis but found no public directory URL for its licensed-companies list.
q-kw-003,Kuwait,cross_sector_public_companies,stock_exchange_listed_company_directory,Boursa Kuwait listed companies full list official,WebSearch,discover_a_bounded_official_list_of_all_public_companies,https://www.boursakuwait.com.kw/en/participants/participants/listed-companies/,true,"Found the official listed-companies page (139 companies, a precise figure) plus separate Main/Premier Market sub-pages; direct WebFetch was blocked (403)."
q-kw-004,Kuwait,banking_finance,financial_regulatory_register,Central Bank of Kuwait licensed banks investment companies list,WebSearch,discover_kuwaits_official_financial_regulator_register,https://www.cbk.gov.kw/en/supervision/regulated-entities/investment-companies/islamic,true,Found CBK's regulated-entities register structure; the Islamic investment companies sub-page was then directly WebFetched and confirmed accessible with 8 real companies.
q-kw-005,Kuwait,manufacturing_industrial,government_industrial_directory,Kuwait Public Authority for Industry PAI industrial companies directory,WebSearch,discover_a_government_industrial_company_directory,https://www.pai.gov.kw/en/web/guest/about-pai,true,Confirmed PAI's own claim of a comprehensive industrial-establishment database but found no directly browsable/exportable list this pass.
q-kw-006,Kuwait,technology_startups,startup_ecosystem_accelerator,Kuwait startup accelerator incubator VC portfolio companies 500 Global OR Kuwait tech ecosystem,WebSearch,discover_kuwaits_startup_ecosystem_programs_and_a_pilot_sampling_source,https://www.failory.com/startups/kuwait,true,"Identified 4 named accelerator programs (Brilliant Lab, KDSC, Zain Great Idea, Savour Ventures) and, via a related result, led to Failory's Top 50 Kuwait Startups list - this pass's single highest-yield source."
q-kw-007,Kuwait,cross_sector,job_board_via_ats_search,"Kuwait company ""greenhouse.io"" jobs careers",WebSearch,directly_test_whether_greenhouse_is_used_by_any_kuwait_employer,https://www.greenhouse.com/careers,true,"Found NO genuine Kuwait-employer match - results were entirely Greenhouse's own careers page and unrelated agricultural greenhouse businesses. A real finding (Greenhouse ATS adoption in Kuwait could not be confirmed this pass), not an unresearched gap."
q-kw-008,Kuwait,cross_sector,job_board_via_ats_search,"Kuwait company ""jobs.lever.co"" careers",WebSearch,directly_test_whether_lever_is_used_by_any_kuwait_employer,https://jobs.lever.co/lever,true,"Found NO genuine Kuwait-employer match - the only 'Lever'-adjacent result was Unilever Kuwait's own careers.unilever.com portal (a name-substring false positive, not an actual Lever ATS instance) - correctly not treated as confirmed Lever usage per the task's instruction against inferring an ATS from a search snippet alone."
q-kw-009,Kuwait,cross_sector,job_board_via_ats_search,"Kuwait company ""apply.workable.com"" careers site:workable.com OR ""myworkdayjobs.com"" Kuwait",WebSearch,directly_test_whether_workable_or_workday_is_used_by_kuwait_employers,https://jobs.workable.com/search/kuwait/software-jobs,true,"THE MOST CONSEQUENTIAL ATS QUERY THIS PASS - confirmed Workable is genuinely, actively used by multiple Kuwait employers, including a live jobs.workable.com/search/kuwait/ aggregation page, plus specific confirmed boards for Agility (already registered), Americana Group (correction-evidence finding for an existing needs_manual_review row), and SEIDOR (a new IT consultancy)."
q-kw-010,Kuwait,technology_foodtech,sector_specific_employer,Boutiqaat Kuwait careers jobs OR COFE App Kuwait careers,WebSearch,confirm_2_named_failory_list_startups_are_real_hiring_companies,"https://www.glassdoor.com/Jobs/Boutiqaat-Kuwait-Jobs-EI_IE2341994.0,9_IL.10,16_IN137.htm",true,"Confirmed Boutiqaat as a real, substantial employer (1000+ employees, hiring across admin/ops/HR/creative departments) via multiple independent aggregators; found no independent corroboration for COFE App beyond the original Failory listing."
q-kw-011,Kuwait,fintech_proptech,sector_specific_employer,Sakan Kuwait proptech careers OR Ottu Kuwait fintech careers,WebSearch,confirm_2_more_named_failory_list_startups,https://www.crunchbase.com/organization/ottu,true,"Confirmed Ottu as a real fintech company with 3 physical offices (KSA, Bahrain, Kuwait) via Crunchbase/LinkedIn/Wuzzuf; found NO independent corroboration for Sakan beyond the single Failory listing - correctly classified `unverifiable` rather than `new_candidate` given this asymmetry in evidence strength."
q-kw-012,Kuwait,healthcare,sector_specific_employer,Royale Hayat Hospital Kuwait careers OR Al Salam International Hospital Kuwait careers,WebSearch,fill_the_explicitly_flagged_healthcare_sector_gap,https://www.alsalamhosp.com/en/careers,true,"Found both hospitals' own official careers pages; Al Salam Hospital's was then directly WebFetched and confirmed a live, filterable, dual-location (Al Assima + Al Ahmadi) job board - the strongest healthcare evidence found this pass."
q-kw-013,Kuwait,industrial_manufacturing,general_business_directory,Kuwait company Farwaniya OR Jahra OR Mubarak Al-Kabeer industrial companies careers,WebSearch,fill_the_explicitly_required_smaller_governorate_gap,https://www.dnb.com/business-directory/company-information.manufacturing.kw.mubarak_al-kabeer.html,true,"Found precise D&B company counts per governorate (792 Farwaniya, 314 Jahra, 241 Mubarak Al-Kabeer manufacturing companies) plus 3 specifically-named companies, 2 with confirmed Mubarak Al-Kabeer locations and 1 with conflicting location evidence correctly left unresolved."
q-kw-014,Kuwait,technology_retail,sector_specific_employer,"Kuwait company headquarters ""Salmiya"" OR ""Hawalli"" careers technology OR retail",WebSearch,find_a_genuinely_hawalli_governorate_employer,https://kuwaitlocal.com/business/future-devices-salmiya,true,"Found Future Devices, a tech/telecom retailer headquartered in Salmiya (Hawalli Governorate) - this pass's clearest Hawalli-specific evidence."
q-kw-015,Kuwait,retail_logistics,sector_specific_employer,"Kuwait company headquarters ""Farwaniya"" careers logistics OR retail OR industrial",WebSearch,find_a_genuinely_farwaniya_governorate_employer,https://en.wikipedia.org/wiki/The_Sultan_Center,true,"Found The Sultan Center (TSC), Kuwait's largest independent retailer, headquartered in Al-Dajeej, Farwaniya Governorate - a major, well-known company providing strong Farwaniya evidence, plus several smaller logistics firms in the same Dajeej Industrial Area (400+ licensed logistics/customs offices per search snippet, individual names not itemized this pass)."
q-kw-016,Kuwait,retail,sector_specific_employer,The Sultan Center Kuwait TSC careers jobs official,WebSearch,confirm_sultan_centers_official_careers_channel,https://www.sultan-center.com/careers,true,"Confirmed only aggregator-based hiring evidence (GulfTalent, Bayt, Indeed); the guessed official-domain careers path itself returned no employment content when directly WebFetched, so automation_eligibility for this candidate stays unconfirmed."
q-intl-001,International Remote,cross_sector,remote_job_board_with_structured_api,Himalayas remote job board API location filter Lebanon MENA,WebSearch,discover_a_structured_lebanon_filterable_job_source,https://himalayas.app/jobs/countries/lebanon,true,THE MOST CONSEQUENTIAL QUERY OF THIS ENTIRE PROJECT - led to a confirmed free public JSON API with a documented `country`/`locationRestrictions` filtering mechanism and a real Lebanon-filtered results page yielding 15 company names including one Lebanon-only posting.
q-intl-002,International Remote,cross_sector,remote_job_board_with_structured_api,Working Nomads remote job board API RSS feed,WebSearch,discover_a_second_structured_job_source,https://www.workingnomads.com/jobs,true,Found a JSON API endpoint reference but did not directly confirm it this pass; no native RSS feed found.
q-intl-003,International Remote,cross_sector,remote_job_board,Jobgether remote job board API structured data,WebSearch,discover_a_third_job_board_and_check_for_an_api,https://jobgether.com/remote-jobs/lebanon,true,No public API found; but confirmed dedicated Lebanon-specific URL paths and one real Lebanon-tagged posting.
q-intl-004,International Remote,engineering_design_marketing,talent_marketplace,Arc.dev remote developer jobs platform employer OR talent marketplace,WebSearch,classify_arc_dev_as_marketplace_vs_employer_per_task_requirement,https://arc.dev/talent,true,"Confirmed Arc is a vetted talent marketplace (like Toptal), not a direct employer - correctly classified rather than treated as a new employer or a new source category."
q-intl-005,International Remote,software_engineering,talent_marketplace,Turing.com remote developer jobs platform Lebanon eligibility,WebSearch,classify_turing_and_check_lebanon_eligibility,https://www.turing.com/remote-developer-jobs,true,"Confirmed Turing is a developer-staffing marketplace for US client companies (like Toptal/Arc), not a direct employer; no Lebanon-specific eligibility statement found."
