internal_row_id,canonical_name,linkedin_company_url,linkedin_status,linkedin_evidence_url,linkedin_identity_confidence,linkedin_notes
pilot-0028,Designer's ID,https://www.linkedin.com/company/designers-id,verified_official_company_page,https://www.linkedin.com/company/designers-id,high,"11-50 employees, founded 2014, same Mar Elias Street / K Center III address, Beirut + Dubai offices - strong match."
pilot-0032,IIS E-Solutions Digital Marketing agency,https://www.linkedin.com/company/iis-e-solutions,verified_official_company_page,https://www.linkedin.com/company/iis-e-solutions,high,"Exact name match, corroborated by Clutch profile and Instagram (@iislb) with identical branding/location."
pilot-0034,247studios,https://www.linkedin.com/company/247studios,verified_official_company_page,https://www.linkedin.com/company/247studios,high,"114 followers, founded 2013, Beirut HQ address matches; a decoy 'linkedin.com/company/247studio' (singular) exists for a different entity and was excluded."
pilot-0037,KHOUBOURAT,https://www.linkedin.com/company/khoubourat,verified_official_company_page,https://www.linkedin.com/company/khoubourat,high,"12,513 followers, 'KHOUBOURAT HR Program', explicit #irada #lebanon hashtags in posts, exact identity match."
pilot-0039,Fusion Second,https://www.linkedin.com/company/fusion-second,verified_official_company_page,https://www.linkedin.com/company/fusion-second,high,"Matches company profile: est. 2012, Beirut + Belgium, 11-50 employees, NGO/UN client base consistent with site."
pilot-0040,Incoding,https://www.linkedin.com/company/incoding-dev,verified_official_company_page,https://www.linkedin.com/company/incoding-dev,high,"Founded 2021, Beirut HQ, 2-10 employees, matches website exactly."
pilot-0041,Ciatek IT Services,https://www.linkedin.com/company/ciatekit,verified_official_company_page,https://www.linkedin.com/company/ciatekit,high,"'Ciatek IT & software solutions' page confirmed distinct from unrelated similarly-named companies (Aitek, AceTek, Dicetek)."
pilot-0042,ArabiaGIS K&A Plus sal,https://www.linkedin.com/company/arabiagis,verified_official_company_page,https://www.linkedin.com/company/arabiagis,high,"Matches: MENA GIS/spatial-software pioneer since 2001, Beirut, privately held SME."
pilot-0044,Nomad AI,,ambiguous_multiple_matches,https://www.linkedin.com/company/nomadai,low,"Multiple distinct 'Nomad AI' LinkedIn entities exist (a Real Estate CRM company, a separate 'Nomad AI LLC') that do NOT match the Beirut consulting firm's described focus (AI strategy/analytics/automation). Could not confidently attribute any LinkedIn page to this specific company; needs manual review."
pilot-0045,Creasoft LB,https://www.linkedin.com/company/creasoft-lebanon,verified_official_company_page,https://www.linkedin.com/company/creasoft-lebanon,high,"Distinct from several unrelated same-named entities (Creasoft IT, Creasoft SL, CreaSoft, CREASOFT s.r.o) — disambiguated via Beirut location and co-founder match."
pilot-0047,White Stork,https://www.linkedin.com/company/whites-stork,verified_official_company_page,https://www.linkedin.com/company/whites-stork,high,"Matches: Beirut HQ, founded 2012, 30 employees, AWS Partner branding consistent with website."
pilot-0052,Networked Energy Services (NES) MENAI - Smart Grid & Smart Meter Solutions,https://www.linkedin.com/company/networked-energy-services-nes,verified_official_company_page,https://www.linkedin.com/company/networked-energy-services-nes,high,"Global corporate LinkedIn page; a near-duplicate '...-nes-corporation' page variant also appeared in search — likely a legacy/duplicate LinkedIn listing, not a separate company."
pilot-0054,Creatives,https://lb.linkedin.com/company/creativesme,verified_official_company_page,https://lb.linkedin.com/company/creativesme,high,Exact phone and website match; distinct from a same-named 'Creatives Media' Facebook page which may be a related/rebranded social handle.
pilot-0055,MAC Tradigital Platforms | Digital Marketing Agency in Lebanon,https://lb.linkedin.com/company/mac-tradigital-platforms,likely_match_needs_review,https://lb.linkedin.com/company/mac-tradigital-platforms,high,Search result title/URL slug directly matches company name; not opened per LinkedIn restrictions.
pilot-0056,Paperview Design and Branding,https://www.linkedin.com/company/paperview-design,verified_official_company_page,https://www.linkedin.com/company/paperview-design,high,"Name, location, and services match directly; found via public search only, not opened."
pilot-0059,Xpandable Lebanon - Digital Marketing Agency in Lebanon,https://www.linkedin.com/company/expandable-online-services,verified_official_company_page,https://www.linkedin.com/company/expandable-online-services,high,"Founded 2012, Beirut HQ, digital marketing agency description matches exactly."
pilot-0060,Digital Grape,https://www.linkedin.com/company/digital-grape,verified_official_company_page,https://www.linkedin.com/company/digital-grape,high,"Founded 2011, Beirut HQ, matches exactly."
pilot-0066,CME,https://www.linkedin.com/company/cmeoffshore-sal,verified_official_company_page,https://www.linkedin.com/company/cmeoffshore-sal,high,Matches Beirut Digital District HQ and IT-services description exactly.
pilot-0068,Azkatech,https://www.linkedin.com/company/azkatech,verified_official_company_page,https://www.linkedin.com/company/azkatech,high,"Strongly corroborated: official Odoo partner directory listing, and multiple real LinkedIn job postings for 'Azkatech S.A.L' in Lebanon (Business Development/Sales, ERP Implementer, Business Analyst) found via search — treated as corroborating evidence only, not the primary careers source."
pilot-0072,Easysoft SARL,https://lb.linkedin.com/company/easysoft-me,likely_match_needs_review,https://lb.linkedin.com/company/easysoft-me,medium,"Page brand name is 'Easysoft ME' (slightly different form from 'Easysoft SARL'), but same Beirut/Sioufi address and vehicle-tracking business — plausible same company, not a certain exact-name match."
pilot-0073,WhiteBeard,https://www.linkedin.com/company/whitebeard,verified_official_company_page,https://www.linkedin.com/company/whitebeard,high,"Exact name match, 830 followers, newsroom-CMS description matches."
pilot-0074,Soft Masters - Software Company,,ambiguous_multiple_matches,,low,"Several similarly-named LinkedIn pages exist (Soft Master LTD - Israel, generic 'SoftMaster', 'Software Masters Inc') but none confirmed as this specific Lebanese company; none recorded to avoid a false match."
pilot-0075,Software Design Consulting Group,https://lb.linkedin.com/company/software-design-consulting-group,verified_official_company_page,https://lb.linkedin.com/company/software-design-consulting-group,high,"Exact name match, Lebanon HQ with UAE/Saudi offices confirmed, Dolphin ERP product line matches."
pilot-0076,Dataflow,https://www.linkedin.com/company/dataflow-sarl,likely_match_needs_review,https://www.linkedin.com/company/dataflow-sarl,medium,Plausible same brand family (Dataflow Sarl vs. Dataflow International) but exact identity match to this specific Maps record not fully confirmed.
pilot-0077,Ct Serv,https://www.linkedin.com/company/computer-technology-&-services-c-t-serv-,likely_match_needs_review,https://www.linkedin.com/company/computer-technology-&-services-c-t-serv-,high,Full legal name and address match exactly across directories.
pilot-0082,Solweavers,https://lb.linkedin.com/company/solweavers,verified_official_company_page,https://lb.linkedin.com/company/solweavers,high,Exact name match found via public search on LinkedIn's Lebanon domain.
pilot-0083,JAB GROUPS SAL Company,https://www.linkedin.com/company/jabgroups,verified_official_company_page,https://www.linkedin.com/company/jabgroups,high,"Search result explicitly titled 'JAB Groups S.A.L', matching legal name exactly."
pilot-0084,Smart Tech Solutions,,ambiguous_multiple_matches,WebSearch found linkedin.com/company/wearesmarttech and linkedin.com/company/smart-tech-solutions1,low,"Two similarly-named candidate LinkedIn pages exist; neither confirmed as this specific Beirut company from search snippets alone (pages were not opened, per LinkedIn no-scrape policy for ambiguous cases)."
pilot-0086,LeLaboDigital,https://www.linkedin.com/company/lelabodigital,verified_official_company_page,https://www.linkedin.com/company/lelabodigital,high,Exact name match.
pilot-0087,maxiphy | UX driven software company,https://lb.linkedin.com/company/maxiphy,verified_official_company_page,https://lb.linkedin.com/company/maxiphy,high,"Exact name match found via public search on LinkedIn's Lebanon domain, consistent with confirmed website identity."
pilot-0089,Webuild Technology,https://www.linkedin.com/company/webuild-technology,verified_official_company_page,https://www.linkedin.com/company/webuild-technology,high,"Exact name match, distinct from a different, unrelated Beirut agency ('wearewebuild') that also surfaced in results."
pilot-0092,IBS for Accounting and Legal Services,,ambiguous_multiple_matches,WebSearch: IBS International Business and Services Lebanon accounting site:linkedin.com/company,low,The 'IBS' acronym collides with many unrelated global companies; no confidently-matching Lebanon-specific page identified.
pilot-0100,Jmk auditing & consultancy,https://www.linkedin.com/company/jmk-auditing-and-consultancy,verified_official_company_page,https://www.linkedin.com/company/jmk-auditing-and-consultancy,high,Exact name match ('JMK auditing and consultancy') found via public search; independently corroborates the company's existence despite the website being blocked to automated fetch.
pilot-0101,Balance Brightness,https://www.linkedin.com/company/balance-brightness,verified_official_company_page,https://www.linkedin.com/company/balance-brightness,high,Exact name match.
pilot-0103,"Nexia Majzoub & Partners, CPAs",https://lb.linkedin.com/company/majzoub-and-partners-cpas,verified_official_company_page,https://lb.linkedin.com/company/majzoub-and-partners-cpas,high,"Exact name match ('Nexia Majzoub and Partners, CPAs') found via public search; independently corroborates company identity/existence despite the blocked website; confirmed as part of the global Nexia International network."
pilot-0108,Bluering,https://www.linkedin.com/company/bluering,verified_official_company_page,https://www.linkedin.com/company/bluering,high,"LinkedIn page titled 'Bluering - The Digital Lending Experts', 4,449 followers, noted as actively hiring - matches company identity exactly."
pilot-0109,Infotec Systems,https://www.linkedin.com/company/infotec-systems,verified_official_company_page,https://www.linkedin.com/company/infotec-systems,high,"908 followers, categorized IT Services/IT Consulting, based in Beirut - matches identity."
pilot-0113,Abousleiman & Co.,https://lb.linkedin.com/company/abousleiman&co,likely_match_needs_review,https://lb.linkedin.com/company/abousleiman&co,medium,"Search surfaced a country-prefixed LinkedIn company URL with an unusual '&' character in the slug (not independently opened per the no-LinkedIn-fetch rule, so the exact URL format is unconfirmed) - title and firm branding otherwise match ('Abousleiman & Co. - Firmly Devoted to Quality Services, Since 1971'). A separate /in/ personal-profile result for the firm's director was correctly excluded per instructions."
pilot-0115,PFC International,,ambiguous_multiple_matches,https://www.linkedin.com/company/professional-financial-consultancy-pfc; https://www.linkedin.com/company/pfcinternational,low,Two distinct LinkedIn company URLs surfaced as potential matches for 'PFC International'; neither was opened (per no-fetch rule) so the correct one could not be confidently singled out.
pilot-0116,Bridge Capital Holding S.A.L,https://www.linkedin.com/company/bridge-capital-holding,verified_official_company_page,https://www.linkedin.com/company/bridge-capital-holding,high,Directly surfaced in search results tied to the exact same company name and bch.co domain.
pilot-0122,BML Istisharat - Ashrafieh,https://lb.linkedin.com/company/bml-istisharat,verified_official_company_page,https://lb.linkedin.com/company/bml-istisharat,high,"Lebanon-region LinkedIn subdomain (lb.linkedin.com) with matching company name; corroborated by multiple independent sources (ZoomInfo, Tracxn, CBInsights) describing the same 1972-founded Beirut core-banking firm."
pilot-0124,El Khoury Law Firm,https://www.linkedin.com/company/elkhoury-law-firm,verified_official_company_page,https://www.linkedin.com/company/elkhoury-law-firm,high,"Exact name match found directly via search; consistent with the firm's 1956 founding and Ashrafieh location per multiple legal directories (Martindale, ZoomInfo)."
pilot-0125,Multiframes,https://www.linkedin.com/company/multiframes/,verified_official_company_page,https://www.linkedin.com/company/multiframes/,high,"Company page confirmed with ~310 followers, consistent branding (digital/online agency, Lebanon/Dubai/KSA/Qatar) matching the official site."
pilot-0131,Abdallah Chalfoun Architects,https://www.linkedin.com/company/abdallah-chalfoun-architects,verified_official_company_page,https://www.linkedin.com/company/abdallah-chalfoun-architects,high,Exact name match company page found directly via search.
pilot-0132,JYH International Architects,https://www.linkedin.com/company/jyh-inernational-architects,verified_official_company_page,https://www.linkedin.com/company/jyh-inernational-architects,high,"Company page found (note: LinkedIn's own URL slug misspells 'International' as 'Inernational', but the page is clearly this firm's)."
pilot-0135,Alain Azar Architect,https://www.linkedin.com/company/alain-azar-architects,verified_official_company_page,https://www.linkedin.com/company/alain-azar-architects,high,"Company page found directly via search, distinct from the founder's personal profile (linkedin.com/in/alain-azar-...) which was correctly excluded."
pilot-0141,XYZ Lebanon,https://lb.linkedin.com/company/xyz-lebanon,verified_official_company_page,https://lb.linkedin.com/company/xyz-lebanon,high,WebSearch found LinkedIn company page 'XYZ Lebanon' at lb.linkedin.com/company/xyz-lebanon; the associated description matches the Maps address (Daher Sarba/Jounieh/Kesserwan) and category (architecture/BIM/heritage conservation) closely.
pilot-0145,b stee;,https://ci.linkedin.com/company/b-steel-sarl,likely_match_needs_review,https://ci.linkedin.com/company/b-steel-sarl,medium,"WebSearch found a 'B.STEEL' LinkedIn company page describing a structural-steel fabrication firm founded 2001 in Adonis, Lebanon (near, but not exactly matching, the Maps address 'Jounieh - Beirut Hwy'), plausibly matching the garbled canonical_name 'b stee;' (likely data corruption of 'B Steel'/'B.STEEL'). Flagged for manual review because the address is a nearby town rather than an exact match and the garbled source name adds uncertainty."
pilot-0146,Portemilio Hotel & Resort,https://www.linkedin.com/company/portemilio-hotel-and-resort,verified_official_company_page,https://www.linkedin.com/company/portemilio-hotel-and-resort,high,WebSearch found a direct LinkedIn company page URL matching the exact business name 'Portemilio Hotel and Resort'.
pilot-0147,Serab Residencia,https://lb.linkedin.com/company/serab-residencia,verified_official_company_page,https://lb.linkedin.com/company/serab-residencia,high,"WebSearch found a direct LinkedIn company page URL matching the exact business name 'Serab Residencia', alongside independent hotel-directory listings (Travelocity, Hotels.com) corroborating the Kaslik/ATCL Road location."
pilot-0149,Bay Lodge Boutique Hotel,https://lb.linkedin.com/company/baylodge-boutiquehotel,likely_match_needs_review,https://lb.linkedin.com/company/baylodge-boutiquehotel,medium,"Search result title exactly matches company name on a Lebanon-region (lb.linkedin.com) LinkedIn URL; page itself was not opened/scraped, only the search snippet was used to judge identity match."
pilot-0159,JCH Architects,https://lb.linkedin.com/company/jch-architects,verified_official_company_page,https://lb.linkedin.com/company/jch-architects,high,"LinkedIn company page name exactly matches 'JCH Architects', found via WebSearch."
pilot-0162,platau | platform for architecture and urbanism,https://www.linkedin.com/company/platau,verified_official_company_page,https://www.linkedin.com/company/platau,high,Exact-name LinkedIn company page 'platau | platform for architecture and urbanism' found via WebSearch.
pilot-0163,Le Royal Hotel Beirut,https://www.linkedin.com/company/le-royal-hotel-beirut,verified_official_company_page,https://www.linkedin.com/company/le-royal-hotel-beirut,high,"Exact-name LinkedIn company page found via a targeted site:linkedin.com/company search; distinguished from other 'Le Royal' group hotel pages (Hammamet, Kuwait, Amman, Doha, Abu Dhabi)."
pilot-0176,Design Engineering Partners,https://www.linkedin.com/company/design-engineering-partners,verified_official_company_page,https://lb.linkedin.com/company/design-engineering-partners,high,"Company page name and description (master planning, architectural/engineering consulting, Lebanon Green Building Council member) match; also linked directly from the official site footer (linkedin.com/company/1164543/, same page)."
pilot-0187,UNIC Factory,https://www.linkedin.com/company/unic-cooler,verified_official_company_page,https://www.linkedin.com/company/unic-cooler,high,LinkedIn page name 'UNIC Cooler' matches company brand and website domain (unic-cooler.com) exactly.
pilot-0189,All Brands Factory Outlet,https://www.linkedin.com/company/all-brands-factory-outlet,verified_official_company_page,https://www.linkedin.com/company/all-brands-factory-outlet,high,"LinkedIn company page name and description (fashion discount outlet chain, founded 2016, Lebanon, 51-200 employees) match exactly."
pilot-0191,CK Lighting Factory,,ambiguous_multiple_matches,,low,"WebSearch found multiple similarly-named LinkedIn pages (CK Lighting Inc, CK.design.Lighting, K&C Lighting Technology) with no clear evidence any is the Baouchriyeh, Lebanon business; none recorded."
pilot-0215,Alico factory,,ambiguous_multiple_matches,https://www.linkedin.com/company/aluminium-and-light-industries-co.-alico-llc,low,"Multiple unrelated ""Alico"" LinkedIn pages exist (Alico Egypt for Aluminum, ALICO Aluminium/GIBCA, Aluminium and Light Industries Co. ALICO LLC, A. Alico Ltd/Akbar Ali Ku Co), none confirmed to correspond specifically to the Bourj Hammoud, Lebanon factory in the source data. WebSearch was available; no quota issue encountered."
pilot-0230,Creative Engineering,,ambiguous_multiple_matches,https://www.linkedin.com/company/creative-engineering,low,"Several LinkedIn pages named ""Creative Engineering"" / ""Creative Engineering, LLC"" / ""Creative Engineers"" exist internationally (including US-based ones), and a small-connection-count personal profile references ""Creative Engineering company C.C.E."" in Lebanon, but none could be confirmed as the specific Bsalim, Lebanon construction company. WebSearch was available; no quota issue encountered."
pilot-0231,Moubarak & Associates,https://www.linkedin.com/company/moubarak-associates,verified_official_company_page,,high,"Found LinkedIn company page linkedin.com/company/moubarak-associates, corroborated by an individual's LinkedIn profile explicitly listing employment as ""Mid-level associate - Moubarak & Associates,"" matching the firm's name and Beirut, Lebanon legal/engineering consulting profile. WebSearch was available throughout; no quota issue encountered."
pilot-0242,Engineer Elie N. Maalouf Company SAL (EMC),https://www.linkedin.com/company/engineer-elie-n-maalouf-company-s-a-l-emc-,verified_official_company_page,https://unglobalcompact.org/what-is-gc/participants/19312-Engineer-Elie-N-Maalouf-Company-SAL-EMC-,high,"LinkedIn company URL slug exactly matches the full legal corporate name 'Engineer Elie N. Maalouf Company S.A.L. (EMC)', and this same full legal name is independently corroborated across multiple third-party corporate registries/directories (UN Global Compact, Zawya, Devex, DevelopmentAid), giving high confidence this is the company's own official corporate LinkedIn page, not the individual engineer's personal profile."
pilot-0247,Almabani General Contractors - Beirut Office,https://www.linkedin.com/company/almabani-general-contractors,verified_official_company_page,https://www.zoominfo.com/c/almabani-general-contractors-co/372706232,high,"LinkedIn company page (157,000+ followers) matches the exact corporate name and is corroborated by multiple independent business-data sources (ZoomInfo, Bloomberg, Dun & Bradstreet) describing the same global contractor with a Lebanon/Metn office."
pilot-0319,FALA Road Contracting S.A.R.L.,https://www.linkedin.com/company/falaroad,ambiguous_multiple_matches,https://www.facebook.com/contacting.road/,low,"A LinkedIn company page 'falaroad' and a Facebook page 'Fala Road Contracting' (@contacting.road) exist under this name, but search results also surfaced a much larger, unrelated UAE-based 'FALA Road Contracting LLC' / 'Fala Group' (falaconstructions.com, construction.falagroup.com) with its own asphalt plants and fleet. Could not confirm whether the LinkedIn/Facebook pages belong to the small Lebanese Nabatieh S.A.R.L. in our dataset or to the larger Gulf-based group of a similar name, so this is not treated as a confirmed match."
pilot-0348,شركة البيلاني لخدمات النقل,https://www.linkedin.com/company/bilani-transportation,likely_match_needs_review,https://www.linkedin.com/company/bilani-transportation,medium,"Found LinkedIn page 'Bilani Transportation' located in Saida (Sidon), Lebanon, industry Transportation/Logistics, founded 1993, mentions managing student transportation and a 'Wasel Public Transportation' platform -- this matches independent press coverage found about Al-Bilani's 'Wasel' public transit project in Sidon, giving good corroboration. However the LinkedIn page name ('Bilani Transportation') is a shortened form of the canonical Arabic name and identity was not independently cross-confirmed via phone/address, so marked as likely match rather than verified."
pilot-0352,Nakouzi Group,,ambiguous_multiple_matches,,,"Multiple distinct Nakouzi-family businesses exist in Saida (trading/contracting, home appliances, exporters) but none confirmed as a transportation company called 'Nakouzi Group', and no LinkedIn company page search was run for the individual sub-entities given budget constraints and lack of a confirmed identity to search for."
