internal_row_id,canonical_name,relevance_status,reason_for_review,google_category,address,city,website,google_maps_url,batch_status
pilot-0044,Nomad AI,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Software company,"Louis Vuitton Building, Allenby, Beirut, Lebanon",Beirut,https://www.nomadmena.ai/,https://www.google.com/maps/search/?api=1&query=Nomad%20AI&query_place_id=ChIJh6fYG6wXHxURN5GSe1M93NQ,web_verification_complete
pilot-0047,White Stork,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Azarieh A2-1 Prince Bashir Street, Beirut, Lebanon",Beirut,https://whitestork.me/,https://www.google.com/maps/search/?api=1&query=White%20Stork&query_place_id=ChIJpYkt0e0XHxURrNPKxaZeJT4,web_verification_complete
pilot-0053,Talentdu - Practical Digital Marketing Courses,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Educational consultant,"Foch, Beirut, Lebanon",Beirut,https://www.talentdu.com/,https://www.google.com/maps/search/?api=1&query=Talentdu%20-%20Practical%20Digital%20Marketing%20Courses&query_place_id=ChIJ5Rr5bzp5c0QRDIUOJ8KbsZ0,web_verification_complete
pilot-0054,Creatives,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"El Amir Bachir, Beirut, Lebanon",Beirut,http://creatives.me/,https://www.google.com/maps/search/?api=1&query=Creatives&query_place_id=ChIJxebziCkXHxURTn9p-xp_ENM,web_verification_complete
pilot-0055,MAC Tradigital Platforms | Digital Marketing Agency in Lebanon,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=likely_match_needs_review,Marketing agency,"VGX3+JWQ Downtown, Beirut, Lebanon",Beirut,https://macplatforms.com/,https://www.google.com/maps/search/?api=1&query=MAC%20Tradigital%20Platforms%20%7C%20Digital%20Marketing%20Agency%20in%20Lebanon&query_place_id=ChIJjwFAFvkXHxURZmbbyBXFVKc,web_verification_complete
pilot-0056,Paperview Design and Branding,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Advertising agency,"Ave, Saifi, 3rd Floor, Chawkatly Bldg, Beirut, Lebanon",Beirut,http://www.paperviewdesign.com/,https://www.google.com/maps/search/?api=1&query=Paperview%20Design%20and%20Branding&query_place_id=ChIJtakawLUXHxURA5rW06wMyxU,web_verification_complete
pilot-0057,Colart Digital Marketing Agency,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Marketing agency,"Gouraud, Beirut, Lebanon",Beirut,https://www.colartdigitalmarketingagency.com/,https://www.google.com/maps/search/?api=1&query=Colart%20Digital%20Marketing%20Agency&query_place_id=ChIJ3xSJu3IXHxURp0OJbAkkwkI,web_verification_complete
pilot-0059,Xpandable Lebanon - Digital Marketing Agency in Lebanon,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"شارع لبنان, Beirut, Lebanon",Beirut,https://www.xpandable.online/,https://www.google.com/maps/search/?api=1&query=Xpandable%20Lebanon%20-%20Digital%20Marketing%20Agency%20in%20Lebanon&query_place_id=ChIJj6eAWCEXHxURWByFnPXpMTc,web_verification_complete
pilot-0060,Digital Grape,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"Royal Tower, 9th Floor, Beirut, Lebanon",Beirut,http://www.digitalgrape.com/,https://www.google.com/maps/search/?api=1&query=Digital%20Grape&query_place_id=ChIJnXDqOSoXHxUR0IEMtyMYtRA,web_verification_complete
pilot-0063,Masaphat Agency - شركة تسويق,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Marketing agency,"Downtown Louis Vuitton Building, Beirut, Lebanon",Beirut,https://www.masaphat.com/,https://www.google.com/maps/search/?api=1&query=Masaphat%20Agency%20-%20%D8%B4%D8%B1%D9%83%D8%A9%20%D8%AA%D8%B3%D9%88%D9%8A%D9%82&query_place_id=ChIJ46qh4hYXHxUR91K8M6xFRQY,web_verification_complete
pilot-0065,Azentio Software Private Limited Lebanon,eligible_employer,website=likely_official_needs_review; careers=public_company_careers_page; linkedin=no_company_page_found,Software company,"Le Bureau Building, Regus, Office No. 418, 4th Floor, Mathaf, Beirut, Lebanon",Beirut,https://www.azentio.com/,https://www.google.com/maps/search/?api=1&query=Azentio%20Software%20Private%20Limited%20Lebanon&query_place_id=ChIJTwpSY8MXHxURS9uuGsLUHSA,web_verification_complete
pilot-0069,Lebanon Store,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Computer store,"facing aseer alsawas building 3nd Floor Company Offices, Bshara Elkhoury, Main Street, Beirut, Lebanon",Beirut,https://lebanonstores.com/,https://www.google.com/maps/search/?api=1&query=Lebanon%20Store&query_place_id=ChIJoWQ6qlAXHxURNb5hqAeg8cI,web_verification_complete
pilot-0071,LeadByTech - IT & Software Solutions,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"VGR4+2PG, Damascus, Beirut, Lebanon",Beirut,https://leadbytech.com/,https://www.google.com/maps/search/?api=1&query=LeadByTech%20-%20IT%20%26%20Software%20Solutions&query_place_id=ChIJd4Wtu9UXHxUReSmnbUqa6mI,web_verification_complete
pilot-0073,WhiteBeard,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Sioufi street, Khnaisser building, first floor، Achrafieh, Beirut, Lebanon",Beirut,https://www.whitebeard.nl/,https://www.google.com/maps/search/?api=1&query=WhiteBeard&query_place_id=ChIJD9_BqFUWHxURyvD33kz2_gs,web_verification_complete
pilot-0074,Soft Masters - Software Company,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Corporate office,"VGVG+R4X, Beirut, Lebanon",Beirut,http://softmasters-lb.com/,https://www.google.com/maps/search/?api=1&query=Soft%20Masters%20-%20Software%20Company&query_place_id=ChIJU5AUZVkWHxURiDSYF13jnEk,web_verification_complete
pilot-0076,Dataflow,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=likely_match_needs_review,Software company,"Beirut, Lebanon",Beirut,http://www.dataflowinternational.com/,https://www.google.com/maps/search/?api=1&query=Dataflow&query_place_id=ChIJnWB5wFUWHxURZ9WAZIdGUss,web_verification_complete
pilot-0077,Ct Serv,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=likely_match_needs_review,Software company,"VGPG+GWF, Beirut, Lebanon",Beirut,http://www.ctserv.net/,https://www.google.com/maps/search/?api=1&query=Ct%20Serv&query_place_id=ChIJ697meFQWHxURz4nBFeEjyRA,web_verification_complete
pilot-0078,GAMING DOT ME,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"VGR6+RP8, Beirut, Lebanon",Beirut,http://www.gaming.me/,https://www.google.com/maps/search/?api=1&query=GAMING%20DOT%20ME&query_place_id=ChIJp4i80JwXHxURruvIkr7XkbI,web_verification_complete
pilot-0080,MakersGround,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Hermitage L1, Ghandour El Saad, Beirut, Lebanon",Beirut,http://www.makersground.com/,https://www.google.com/maps/search/?api=1&query=MakersGround&query_place_id=ChIJHyi1SH8XHxURoUHmQ2G4bnc,web_verification_complete
pilot-0081,Table POS,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Hamra, Beirut, Lebanon",Beirut,https://tablelb.com/,https://www.google.com/maps/search/?api=1&query=Table%20POS&query_place_id=ChIJiaj8w8AXHxURTMUW2S14zKk,web_verification_complete
pilot-0082,Solweavers,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Hamra Main Street Al Mizan Building 6th floor, Beirut, Lebanon",Beirut,https://solweavers.com/,https://www.google.com/maps/search/?api=1&query=Solweavers&query_place_id=ChIJ4zNUTSoXHxURvDxqhPmwUgg,web_verification_complete
pilot-0083,JAB GROUPS SAL Company,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"139, Berlin St - 2nd flr, Beirut, Lebanon",Beirut,http://www.jabgroups.com/,https://www.google.com/maps/search/?api=1&query=JAB%20GROUPS%20SAL%20Company&query_place_id=ChIJf2G2OToRHxURqB49ZSMRL8Y,web_verification_complete
pilot-0084,Smart Tech Solutions,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Software company,"VFVM+4Q2, Abdul Monem Riad, Beirut, Lebanon",Beirut,http://sts-lb.net/,https://www.google.com/maps/search/?api=1&query=Smart%20Tech%20Solutions&query_place_id=ChIJe67BcgAXHxUR6N6dOjTbzxw,web_verification_complete
pilot-0085,DRAPP,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Phoenicia, Beirut, Lebanon",Beirut,http://www.drapp.me/,https://www.google.com/maps/search/?api=1&query=DRAPP&query_place_id=ChIJ0RFn63QXHxURYmGEr2SRc30,web_verification_complete
pilot-0086,LeLaboDigital,eligible_employer,website=likely_official_needs_review; careers=email_or_application_form; linkedin=verified_official_company_page,Software company,"Mexico Street Total Bldg., 3rd floor, 0961, Beirut, Lebanon",Beirut,https://lelabodigital.com/,https://www.google.com/maps/search/?api=1&query=LeLaboDigital&query_place_id=ChIJr2eTANkWHxURHQK0EBtE1KI,web_verification_complete
pilot-0088,Eduware ntc.,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Omar Daouk, Beirut, Lebanon",Beirut,http://www.eduware.net/,https://www.google.com/maps/search/?api=1&query=Eduware%20ntc.&query_place_id=ChIJHcoLI-IWHxUR199PKD_YfT4,web_verification_complete
pilot-0089,Webuild Technology,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"antwork, Hamra, Beirut, Lebanon",Beirut,https://webuild-technology.com/,https://www.google.com/maps/search/?api=1&query=Webuild%20Technology&query_place_id=ChIJHy3200wXHxURIJC-N1GWcfk,web_verification_complete
pilot-0092,IBS for Accounting and Legal Services,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Accounting firm,"Yamout Center, 3th Floor, Barbir, Saeb Slem, Beirut, Lebanon",Beirut,https://ibs-me.co/,https://www.google.com/maps/search/?api=1&query=IBS%20for%20Accounting%20and%20Legal%20Services&query_place_id=ChIJW2fhMQAXHxURBp_-7YfH8Ao,web_verification_complete
pilot-0094,Certified Professional Accountants & Advisors [CPAA],eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=no_company_page_found,Accounting firm,"Daibiss El Morr Street- Mar Elias Boubess Center 1449-Byblos Bank Building Fifth Floor Beirut, Beirut, Lebanon",Beirut,http://www.cpaafirm.com/,https://www.google.com/maps/search/?api=1&query=Certified%20Professional%20Accountants%20%26%20Advisors%20%5BCPAA%5D&query_place_id=ChIJwzLtINMXHxURNxbCm6gcwvM,web_verification_complete
pilot-0095,Sidani & Co,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=no_company_page_found,Corporate office,"Independence st, Beirut, Lebanon",Beirut,http://www.sidanico.com/,https://www.google.com/maps/search/?api=1&query=Sidani%20%26%20Co&query_place_id=ChIJ4SSBdyYXHxURWWEjgLPp4WE,web_verification_complete
pilot-0097,Bayanat Office,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Accounting firm,"Barbeer, Ouzai, Beirut, Lebanon",Beirut,https://www.bayanat-office.com/,https://www.google.com/maps/search/?api=1&query=Bayanat%20Office&query_place_id=ChIJwQtBXbAXHxURW6JBXrNX1eE,web_verification_complete
pilot-0100,Jmk auditing & consultancy,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=verified_official_company_page,Financial audit,"VGH2+8FC, Beirut, Lebanon",Beirut,http://www.jmkaudit.com/,https://www.google.com/maps/search/?api=1&query=Jmk%20auditing%20%26%20consultancy&query_place_id=ChIJjWQFSh0XHxURihviaD1zwHs,web_verification_complete
pilot-0101,Balance Brightness,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Accounting school,"Modca Bldg, Same Bldg as Byblos Bank, 8th Floor, Main Street, Beirut, Lebanon",Beirut,https://balancebrightness.com/,https://www.google.com/maps/search/?api=1&query=Balance%20Brightness&query_place_id=ChIJ5fun2w8dHxURHBq9YgcmG9Y,web_verification_complete
pilot-0102,Anouti Audit Firm,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Accountant,"Salim Salam, Beirut, Lebanon",Beirut,https://www.al-anouti.com/,https://www.google.com/maps/search/?api=1&query=Anouti%20Audit%20Firm&query_place_id=ChIJY3rfK9EXHxUREhCh0QBC0T0,web_verification_complete
pilot-0103,"Nexia Majzoub & Partners, CPAs",eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=verified_official_company_page,Accounting firm,"أوتيل ديو Mathaf Center, 5th floor, Museum Area بيروت, Beirut, Lebanon",Beirut,http://www.majzoubcpas.com/,https://www.google.com/maps/search/?api=1&query=Nexia%20Majzoub%20%26%20Partners%2C%20CPAs&query_place_id=ChIJI7ztVoQXHxURtVoEkV5um44,web_verification_complete
pilot-0026,HomePro,ambiguous_identity_manual_review,"Research agent stalled (~90+ min, no output) while verifying this company; interrupted and not auto-retried. Suspected slow/hanging domain (homeprolisting.com).",Marketing agency,"Thomas Edison Street Ramlet El-Baida, Attalah Building 3rd floor, Beirut, Lebanon",Beirut,http://www.homeprolisting.com/,https://www.google.com/maps/search/?api=1&query=HomePro&query_place_id=ChIJk3d5vzUXHxURX0ZWuTyxasE,stalled_interrupted_manual_review_required
pilot-0001,Index of Solutions,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"VFHR+WQM Cornish el, Beirut, Lebanon",Beirut,https://www.indexofsolutions.com/,https://www.google.com/maps/search/?api=1&query=Index%20of%20Solutions&query_place_id=ChIJnw339PEXHxURt9iObDUOGgs,web_verification_complete
pilot-0002,CODERS - ERP systems and solutions - Microsoft Dynamics 365 Lebanon - Microsoft Gold Partner,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Sa'eb Salam Avenue Owaini Building, 4th Floor, Beirut, Lebanon",Beirut,https://coders.solutions/,https://www.google.com/maps/search/?api=1&query=CODERS%20-%20ERP%20systems%20and%20solutions%20-%20Microsoft%20Dynamics%20365%20Lebanon%20-%20Microsoft%20Gold%20Partner&query_place_id=ChIJ9T1e0UIXHxUR-yWOUnJwx24,web_verification_complete
pilot-0004,Scope for IT services,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Corniche al Mazraa, Facing LibanPost, Al-Sabbah Center, 2nd Floor, Beirut, Lebanon",Beirut,http://www.scopeexperts.com/,https://www.google.com/maps/search/?api=1&query=Scope%20for%20IT%20services&query_place_id=ChIJs2oogDkXHxURd9TI0inpkHo,web_verification_complete
pilot-0006,EDM - Beirut,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Unesco, Saeb Salam Av., Saiidi Bldg., 1st & 2nd floors, Beirut, Lebanon",Beirut,https://edm-tech.com/,https://www.google.com/maps/search/?api=1&query=EDM%20-%20Beirut&query_place_id=ChIJ9QBYfToXHxURjZiHWuNBhcM,web_verification_complete
pilot-0011,Salti Developments (Saadeddine Alti),eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Computer support and services,"Beirut, Lebanon",Beirut,https://saltidevelopments.com/,https://www.google.com/maps/search/?api=1&query=Salti%20Developments%20(Saadeddine%20Alti)&query_place_id=ChIJjd0xoOsXHxUReICvgitmXPw,web_verification_complete
pilot-0012,Paradox Software Solutions,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Cournish El-Mazraa, Behind Audi Bank, Landmark Center, Block B, 1st floor, Beirut, Lebanon",Beirut,http://www.pssleb.com/,https://www.google.com/maps/search/?api=1&query=Paradox%20Software%20Solutions&query_place_id=ChIJ42x7rpkXHxURtvICn2JZ-Es,web_verification_complete
pilot-0013,JIT (Just Imagine That),eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"Alice Alfred Naccash Private Clinics Building, Block B, Floor 3, Beirut, Lebanon",Beirut,http://www.jitofficial.com/,https://www.google.com/maps/search/?api=1&query=JIT%20(Just%20Imagine%20That)&query_place_id=ChIJZQUQy0sXHxUR3U7xvUULN60,web_verification_complete
pilot-0014,ROY TECH,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Software company,"Soleiman Boustani, Beirut, Lebanon",Beirut,https://roytech.solutions/,https://www.google.com/maps/search/?api=1&query=ROY%20TECH&query_place_id=ChIJzxGwdscXHxURcffQD_f84PA,web_verification_complete
pilot-0015,FitnessForce Software,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=likely_match_needs_review,Software company,"Habib Srour, Greater, Lebanon",Greater,https://www.fitnessforce.com/,https://www.google.com/maps/search/?api=1&query=FitnessForce%20Software&query_place_id=ChIJPxvg8bgXHxURDJ_0L6rgZOM,web_verification_complete
pilot-0017,Esri Lebanon,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Al Akhtal Al Saghir، Jnah, Beirut, Lebanon",Beirut,http://www.esrilebanon.com/,https://www.google.com/maps/search/?api=1&query=Esri%20Lebanon&query_place_id=ChIJ6wQlLFEXHxURObrqqg8ZXUw,web_verification_complete
pilot-0019,Terabyte Computers - Msaytbeh,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=likely_match_needs_review,Computer store,"St. - Arz Building, Bachir Jounblat, Beirut, Lebanon",Beirut,https://www.terabyte.computer/,https://www.google.com/maps/search/?api=1&query=Terabyte%20Computers%20-%20Msaytbeh&query_place_id=ChIJ9wSGhnAXHxURP0akSQDTH4g,web_verification_complete
pilot-0020,The Eighth Miracle s.a.r.l,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"Rawche Street, Beirut, Lebanon",Beirut,https://www.the8thmiracle.com/,https://www.google.com/maps/search/?api=1&query=The%20Eighth%20Miracle%20s.a.r.l&query_place_id=ChIJs_Msk-YXHxURzOs0c8s4i7M,web_verification_complete
pilot-0021,Blue Boost Agency,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Marketing agency,"Corniche El Mazraa, Beirut, Lebanon",Beirut,https://blueboostagency.com/,https://www.google.com/maps/search/?api=1&query=Blue%20Boost%20Agency&query_place_id=ChIJGStEK_IXHxURVDsbczYjEZ4,web_verification_complete
pilot-0023,Xpertise.Agency,ambiguous_identity_manual_review,website=inaccessible; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Marketing agency,"Main street, Beirut, Lebanon",Beirut,https://www.expertise12.com/,https://www.google.com/maps/search/?api=1&query=Xpertise.Agency&query_place_id=ChIJ-89vXSYhHxUReAi43l84WaA,web_verification_complete
pilot-0024,PromoMedia Lebanon,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"J1 Building, Tallet El Khayyat, Beirut, Lebanon",Beirut,https://promomedia-me.com/lebanon/,https://www.google.com/maps/search/?api=1&query=PromoMedia%20Lebanon&query_place_id=ChIJg6RMVzcXHxURpcG90MJyH14,web_verification_complete
pilot-0028,Designer's ID,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"K Center III, Designer's ID Web Development Company, 2nd Floor, Mar Elias St، Lebanon",Lebanon,http://www.designersid.com/,https://www.google.com/maps/search/?api=1&query=Designer's%20ID&query_place_id=ChIJr8mLYSQXHxURS8NWTYo4Uqo,web_verification_complete
pilot-0104,Crowe Horwath Professional Auditors,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=no_company_page_found,Certified public accountant,"VFRM+HMJ, Beirut, Lebanon",Beirut,http://www.professionalauditors.com/,https://www.google.com/maps/search/?api=1&query=Crowe%20Horwath%20Professional%20Auditors&query_place_id=ChIJ3cJ4pC4XHxURz07e3KolE6A,web_verification_complete
pilot-0107,Tony Heneine CPA & Audit Firm,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Chartered accountant,"El arez street, Beirut, Lebanon",Beirut,https://www.tonyheneine.com/,https://www.google.com/maps/search/?api=1&query=Tony%20Heneine%20CPA%20%26%20Audit%20Firm&query_place_id=ChIJk__Yl24XHxURIyPaQlD9GXw,web_verification_complete
pilot-0108,Bluering,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"VGR4+M9M, Beirut, Lebanon",Beirut,http://www.bluering.com/,https://www.google.com/maps/search/?api=1&query=Bluering&query_place_id=ChIJk_Txv9gWHxURFmqiIWWZq54,web_verification_complete
pilot-0109,Infotec Systems,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Broadway Center, Hamra Street, 4th Floor, Beirut, Lebanon",Beirut,http://www.infotecsystems.net/,https://www.google.com/maps/search/?api=1&query=Infotec%20Systems&query_place_id=ChIJnZfD0yIXHxUR9g7meBn0G78,web_verification_complete
pilot-0110,Fundbot,eligible_employer,website=likely_official_needs_review; careers=careers_landing_page_no_current_listings; linkedin=no_company_page_found,Software company,"Bechara El Khoury Street, Beirut Digital District 1079, 4th Floor, Fundbot Office, Beirut, Lebanon",Beirut,https://fundbot.co/,https://www.google.com/maps/search/?api=1&query=Fundbot&query_place_id=ChIJTREUyrQXHxUR-8rjI06Njfc,web_verification_complete
pilot-0111,Khoury Auditors & Consultants,ambiguous_identity_manual_review,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Auditor,"Nahr Ibrahim Street , Tekeyan Center, Saifi , Beirut, Lebanon","Saifi , Beirut",http://www.kauditors.com/,https://www.google.com/maps/search/?api=1&query=Khoury%20Auditors%20%26%20Consultants&query_place_id=ChIJqZPT5_oWHxUR7YF32TtPwsE,web_verification_complete
pilot-0113,Abousleiman & Co.,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=likely_match_needs_review,Accounting firm,"Gemmayze, Mar Nicolas Sector, Boutrous Dagher Str., Impasse 24, ElShaftary Bldg, Beirut, Lebanon",Beirut,http://www.abousleimangroup.com/,https://www.google.com/maps/search/?api=1&query=Abousleiman%20%26%20Co.&query_place_id=ChIJY4PFxeQWHxUR_Vo2t8I9NtE,web_verification_complete
pilot-0115,PFC International,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=ambiguous_multiple_matches,Business management consultant,"VGW3+MMF Downtown, Beirut, Lebanon",Beirut,https://pfc-international.com/,https://www.google.com/maps/search/?api=1&query=PFC%20International&query_place_id=ChIJYVJUrD0WHxUReZ6K16ZELj4,web_verification_complete
pilot-0116,Bridge Capital Holding S.A.L,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=verified_official_company_page,Investment company,"5th floor, Block A, Beirut Gardens Martyr's Square, Downtown, Beirut, Lebanon",Beirut,http://www.bch.co/,https://www.google.com/maps/search/?api=1&query=Bridge%20Capital%20Holding%20S.A.L&query_place_id=ChIJ-1sqmUgXHxURHnYubLuCxG0,web_verification_complete
pilot-0124,El Khoury Law Firm,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Law firm,"VGQ8+8JM, Beirut, Lebanon",Beirut,http://www.advocas.net/,https://www.google.com/maps/search/?api=1&query=El%20Khoury%20Law%20Firm&query_place_id=ChIJdzTD8G8XHxURpUamn7yOuPI,web_verification_complete
