query_id,region_label,region_query_string,category,search_term,max_results_per_search_term,actor_run_group,rationale
q13,Dubai,"Dubai, United Arab Emirates",Manufacturing,manufacturing company,30,run-dubai-g5,"Dubai — Manufacturing, Tech & Social Sector group; targets the Manufacturing gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q14,Dubai,"Dubai, United Arab Emirates","Software, AI, data, cybersecurity, IT",software company,30,run-dubai-g5,"Dubai — Manufacturing, Tech & Social Sector group; targets the Software, AI, data, cybersecurity, IT gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q15,Dubai,"Dubai, United Arab Emirates",NGOs and international organizations,NGO nonprofit organization,30,run-dubai-g5,"Dubai — Manufacturing, Tech & Social Sector group; targets the NGOs and international organizations gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q16,Abu Dhabi,"Abu Dhabi, United Arab Emirates","Civil, electrical, and mechanical engineering",engineering consultancy,30,run-abudhabi-g1,"Abu Dhabi — Engineering & Design group; targets the Civil, electrical, and mechanical engineering gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q17,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Architecture,architecture firm,30,run-abudhabi-g1,Abu Dhabi — Engineering & Design group; targets the Architecture gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q18,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Interior design,interior design company,30,run-abudhabi-g1,Abu Dhabi — Engineering & Design group; targets the Interior design gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q19,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Graphic design and UI/UX,graphic design agency,30,run-abudhabi-g2,Abu Dhabi — Creative & Professional Services group; targets the Graphic design and UI/UX gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q20,Abu Dhabi,"Abu Dhabi, United Arab Emirates","Marketing, communications, and media",marketing agency,30,run-abudhabi-g2,"Abu Dhabi — Creative & Professional Services group; targets the Marketing, communications, and media gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q21,Abu Dhabi,"Abu Dhabi, United Arab Emirates",HR and recruitment,HR recruitment agency,30,run-abudhabi-g2,Abu Dhabi — Creative & Professional Services group; targets the HR and recruitment gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q22,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Accounting and audit,accounting firm,30,run-abudhabi-g3,Abu Dhabi — Finance & Built Environment group; targets the Accounting and audit gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q23,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Construction and real estate,construction company,30,run-abudhabi-g3,Abu Dhabi — Finance & Built Environment group; targets the Construction and real estate gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q24,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Logistics and supply chain,logistics company,30,run-abudhabi-g3,Abu Dhabi — Finance & Built Environment group; targets the Logistics and supply chain gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q25,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Retail and e-commerce,retail company,30,run-abudhabi-g4,"Abu Dhabi — Retail, Hospitality & Healthcare group; targets the Retail and e-commerce gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q26,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Hospitality and tourism,hotel group,30,run-abudhabi-g4,"Abu Dhabi — Retail, Hospitality & Healthcare group; targets the Hospitality and tourism gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q27,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Hospitals and healthcare,hospital,30,run-abudhabi-g4,"Abu Dhabi — Retail, Hospitality & Healthcare group; targets the Hospitals and healthcare gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q28,Abu Dhabi,"Abu Dhabi, United Arab Emirates",Manufacturing,manufacturing company,30,run-abudhabi-g5,"Abu Dhabi — Manufacturing, Tech & Social Sector group; targets the Manufacturing gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q29,Abu Dhabi,"Abu Dhabi, United Arab Emirates","Software, AI, data, cybersecurity, IT",software company,30,run-abudhabi-g5,"Abu Dhabi — Manufacturing, Tech & Social Sector group; targets the Software, AI, data, cybersecurity, IT gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q30,Abu Dhabi,"Abu Dhabi, United Arab Emirates",NGOs and international organizations,NGO nonprofit organization,30,run-abudhabi-g5,"Abu Dhabi — Manufacturing, Tech & Social Sector group; targets the NGOs and international organizations gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
