internal_row_id,canonical_name,relevance_status,review_status_source,proposed_action,reason,matched_destination_row,proposed_destination_status,automation_eligibility,confidence_level,official_website_url,careers_page_url
pilot-0011,Salti Developments (Saadeddine Alti),eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Direct WebFetch failed with a DNS/connection timeout (ETIMEOUT) on the single attempt allowed. An independent WebSearch snippet found 'About - Salti Developments' at saltidevelopments.com/about describing services (WhatsApp Mark,,needs_manual_review,manual_only,low,https://saltidevelopments.com/,
pilot-0012,Paradox Software Solutions,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site confirms 'PARADOX SOFTWARE SOLUTIONS', address 'Cournish El-Mazraa, Behind Audi Bank, Landmark Center, Block B, 1st floor, Beirut, Lebanon' and phone +961 3 612 712, matching the Maps listing exactly.",,needs_manual_review,manual_only,medium,http://www.pssleb.com/,
pilot-0013,JIT (Just Imagine That),eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site confirms 'JIT' (copyright notice), an office in Beirut ('Ramlet El Bayda Private Clinics Building, Lebanon' - a minor wording difference from the Maps address 'Alice Alfred Naccash Private Clinics Building' but both describ",,needs_manual_review,manual_only,medium,http://www.jitofficial.com/,
pilot-0014,ROY TECH,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site confirms 'RoyTech' operating in Beirut, Lebanon, phone +961 81 986 469 and email support@roytech.solutions, matching the Maps listing exactly.",,needs_manual_review,manual_only,medium,https://roytech.solutions/,
pilot-0015,FitnessForce Software,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). fitnessforce.com is the global gym-management SaaS vendor (Mumbai-founded, acquired by Daxko); the homepage shows no Beirut/Lebanon mention and an India contact number instead of the Maps phone/address. An independent WebSearch ",,needs_manual_review,manual_only,low,https://www.fitnessforce.com/,
pilot-0016,ROC IN DIGIT,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0017,Esri Lebanon,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Domain matches brand/company name exactly. Direct fetch did not surface address/phone text, but independent WebSearch confirms Esri Lebanon operates as 'Esri Lebanon-Khatib & Alami', a GIS distributor partnership since 2006, 5 e",,needs_manual_review,manual_only,medium,http://www.esrilebanon.com/,
pilot-0018,ISS - Software Hive,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=careers_landing_page_no_current_listings, automation_eligibility=manual_only, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,manual_only,medium,https://www.iss-mea.com/,https://iss-mea.com/contact/
pilot-0019,Terabyte Computers - Msaytbeh,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Ras Al Nabea and Msaytbeh branches listed; phone 70-771504 matches exactly.,,needs_manual_review,manual_only,medium,https://www.terabyte.computer/,
pilot-0020,The Eighth Miracle s.a.r.l,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Lebanon office confirmed at Mousaitbeh - Beirut, Rawsheh Center 2nd Floor, phone +961 3 858 182 matches exactly.",,needs_manual_review,manual_only,medium,https://www.the8thmiracle.com/,
pilot-0021,Blue Boost Agency,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Phone +961 70 826 463 and email info@blueboostagency.com matched exactly; site describes Lebanon & Middle East operations.,,needs_manual_review,manual_only,medium,https://blueboostagency.com/,
pilot-0022,Protech24 Studio,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0023,Xpertise.Agency,ambiguous_identity_manual_review,needs_manual_review,hold_manual_review,"relevance_status=ambiguous_identity_manual_review — employer identity/eligibility itself unresolved; no documented rule permits promoting this category. Google category ""Marketing agency"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found. [Reclassif",,needs_manual_review,manual_only,low,,
pilot-0024,PromoMedia Lebanon,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Address (Corniche el Mazraa, J1 Building 4th Floor, Beirut), phone, and email info.lb@promomedia-me.com all matched exactly.",,needs_manual_review,manual_only,medium,https://promomedia-me.com/lebanon/,
pilot-0025,Cryptic Design,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0026,HomePro,ambiguous_identity_manual_review,needs_manual_review,exclude_rejected,"Explicitly named exclusion (HomePro / pilot-0026) — research agent stalled/interrupted, identity never verified; also carries relevance_status=ambiguous_identity_manual_review and automation_eligibility=unknown.",,n/a,unknown,low,,
pilot-0027,Media Pro,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). ""Media Pro"" is too generic a name to guess a domain reliably (many unrelated global businesses share this name); no guess attempted per protocol. No WebSearch used (quota exhausted).",,needs_manual_review,manual_only,low,,
pilot-0028,Designer's ID,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Direct fetch of the exact Maps-supplied URL (http, no trailing consistency) returned a 404, but the root https:// site is live and indexed with matching address (2nd Floor, K Center III, Mar Elias Street, Beirut) and phone (+961",,needs_manual_review,manual_only,medium,https://www.designersid.com/,
pilot-0029,ReKreate Digital Marketing Agency,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Domain failed to resolve (DNS error) on two attempts. Search-engine cache shows past content but a recent snippet title reads 'Lorem ipsum dolor sit amet', suggesting the site may now be broken/placeholder. Independent corrobora",,needs_manual_review,manual_only,low,http://www.rekreateagency.com/,
pilot-0030,Focus Far - Digital Marketing Agency,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Domain failed to resolve (DNS error) with and without www, twice. Search results independently describe wefocusfar.com as 'Focus Far - Digital Marketing & Development Agency (Lebanon and Mena)', and a Facebook page (focusfarlb) ",,needs_manual_review,manual_only,low,https://wefocusfar.com/,
pilot-0031,Loewe Digital,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed international digital marketing agency with a dedicated Beirut/Lebanon service page; established 2021; active social links; no closure/parked signals.,,needs_manual_review,manual_only,medium,https://loewedigital.com/,
pilot-0032,IIS E-Solutions Digital Marketing agency,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed: 'leading web development, mobile app, and digital marketing agency founded in 2014', based in Beirut with branches in Detroit/Cyprus/France. Phone matches Google listing exactly.",,needs_manual_review,manual_only,medium,https://iislb.com/,
pilot-0033,Beyond agency,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). ""Beyond agency"" is too generic a name to guess a domain reliably (extremely common business name pattern); no guess attempted per protocol. No WebSearch used (quota exhausted).",,needs_manual_review,manual_only,low,,
pilot-0034,247studios,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=careers_landing_page_no_current_listings, automation_eligibility=manual_only, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,manual_only,medium,https://247studios.me/,https://247studios.me/join-the-team/
pilot-0035,Scent it,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site confirms 'Scent It - Premium Air Freshener Solutions', thematically consistent with the Google 'Promotional products supplier' category, but the fetched excerpt did not explicitly state a Lebanon location. Hosted on an AI w",,needs_manual_review,manual_only,low,https://xlhyimcjkkpg.manus.space/,
pilot-0036,Solace,unverifiable_identity,no_official_source_found,exclude_rejected,"relevance_status=unverifiable_identity: Google category ""Marketing agency"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found. [Reclassified during web verification: see researcher_notes]",,n/a,manual_only,low,,
pilot-0037,KHOUBOURAT,eligible_employer,verified,hold_manual_review,"[2026-09-06 final human-review audit] Downgraded promote_now -> hold_manual_review: row's own researcher_notes state KHOUBOURAT is an HR/job-placement program run by IRADA (Union of Businessmen for Support & Development); evidence does not establish whether KHOUBOURAT is itself a separate legal employer or a program/department of IRADA (which is not otherwise in the registry). Per the registry's own identity-uncertainty rule, held rather than promoted. No destination match, no unresolved internal duplicate otherwise.",,needs_manual_review,suitable_public_html_subject_to_review,medium,https://www.khoubourat.org.lb/,https://careers.khoubourat.org.lb
pilot-0038,Microsoft Lebanon,duplicate_existing_registry_company,no_official_source_found,hold_insufficient_source,"CORRECTED CLASSIFICATION: originally marked relevance_status=duplicate_existing_registry_company citing cc-microsoft ""source: master-company-registry.csv/lebanon.csv"" — but cc-microsoft in master-company-registry.csv is filed under target_country=Qatar (""Microsoft Qatar""), and lebanon.csv itself has no Microsoft row at all. This is a cross-market canonical-ID mix-up, not a real Lebanon duplicate. Because the row was short-circuited as ""already a duplicate,"" no independent website/careers verification was ever performed (official_website_url is empty, review_status=no_official_source_found) — so there is no evidence basis to promote it even after the correction.",,no_official_source_found (policy decision pending — see report),not_applicable,not_applicable,,
pilot-0039,Fusion Second,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=email_or_application_form, automation_eligibility=manual_only, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,manual_only,medium,http://www.fusionsecond.com/,
pilot-0040,Incoding,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed software development agency, Azarieh Building Downtown Beirut, phone matches Google listing exactly; secondary Frankfurt office.",,needs_manual_review,manual_only,medium,https://incoding.dev/,
pilot-0041,Ciatek IT Services,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed: 'From our Beirut office, Ciatek provides managed IT support, custom software, ERP and POS systems...'. Phone matches Google listing. Registered as 'Ciatek IT Services Company Sarl' per Kompass directory.",,needs_manual_review,manual_only,medium,https://ciatek.net/,
pilot-0042,ArabiaGIS K&A Plus sal,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site itself (rebranded as 'K&A Plus') didn't explicitly restate Lebanon in the fetched excerpt, but independent corroboration (UN Global Compact participant record, LinkedIn) confirms 'ArabiaGIS K&A Plus, established 2001 in Bei",,needs_manual_review,manual_only,medium,http://www.arabiagis.com/,
pilot-0043,XiomLabs,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed: 'A digital studio based in Lebanon, working with businesses across Lebanon and the Gulf'; multiple Lebanon-specific blog articles.",,needs_manual_review,manual_only,medium,https://www.xiomlab.com/,
pilot-0044,Nomad AI,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed: AI consulting/engineering firm, office at Servcorp, Louis Vuitton Building, Downtown Beirut; phone matches Google listing.",,needs_manual_review,manual_only,medium,https://www.nomadmena.ai/,
pilot-0045,Creasoft LB,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=careers_landing_page_no_current_listings, automation_eligibility=manual_only, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,manual_only,medium,https://creasoft.uk/,https://creasoft.uk/careers.html
pilot-0046,Intelligile Lebanon,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). intelligile.com resolves and matches the distinctive company name ""Intelligile"" exactly, describing itself as ""Intelligile Group"" offering business excellence consulting, enterprise architecture, and a software modeling product ",,needs_manual_review,manual_only,low,https://intelligile.com,
pilot-0047,White Stork,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed: 'leading technology company... Beirut, Lebanon', Downtown Azarieh A2-1 address matches Google listing exactly. Independently corroborated: founded 2012, 30 employees, AWS Elite Partner.",,needs_manual_review,manual_only,medium,https://whitestork.me/,
pilot-0048,FPn (FP netWorth),eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0049,Xenia Developers,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0050,K-SUM Lebanon,unverifiable_identity,no_official_source_found,exclude_rejected,"relevance_status=unverifiable_identity: Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found. [Reclassified during web verification: see researcher_notes]",,n/a,manual_only,low,,
pilot-0051,SmartCode Internet Solutions,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0052,Networked Energy Services (NES) MENAI - Smart Grid & Smart Meter Solutions,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=public_company_careers_page, automation_eligibility=suitable_public_html_subject_to_review, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,suitable_public_html_subject_to_review,medium,https://www.networkedenergy.com/,https://www.networkedenergy.com/en/careers
pilot-0053,Talentdu - Practical Digital Marketing Courses,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Direct fetch returned HTTP 403 (bot-blocked), consistent with anti-bot patterns seen on other real Lebanese sites in the existing registry. Independent search results confirm 'Talentdu... partners with LAU ACE to deliver the PDM",,needs_manual_review,manual_only,low,https://www.talentdu.com/,
pilot-0054,Creatives,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed: 'Best AI Digital Marketing Agency in Lebanon'; phone matches Google listing exactly (+961 70 519 120).,,needs_manual_review,manual_only,medium,https://creatives.me/,
pilot-0055,MAC Tradigital Platforms | Digital Marketing Agency in Lebanon,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Direct fetch returned 'Account Suspended' (site appears to be experiencing a hosting issue at time of check). Domain independently corroborated as the real official site via ZoomInfo, Facebook, and a LinkedIn company-page refere",,needs_manual_review,manual_only,low,https://macplatforms.com/,
pilot-0056,Paperview Design and Branding,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch: Saifi/Beirut address and phone match the Google Maps listing exactly. Founder Lorette Shebaya; branding/graphic design agency.,,needs_manual_review,manual_only,medium,http://www.paperviewdesign.com/,
pilot-0057,Colart Digital Marketing Agency,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch. Company states it is based in Tripoli, Lebanon (Google Maps place record was tagged Beirut region grouping; both are within Lebanon, noted for regional accuracy).",,needs_manual_review,manual_only,medium,https://www.colartdigitalmarketingagency.com/,
pilot-0058,Mass Fluence,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0059,Xpandable Lebanon - Digital Marketing Agency in Lebanon,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch and search: Beirut HQ (Louis Vuitton Bldg, Downtown), founded 2012, 11-50 employees.",,needs_manual_review,manual_only,medium,https://www.xpandable.online/,
pilot-0060,Digital Grape,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch and search: Mar Mikhael/Verdun Beirut office, founded 2011, 11-50 employees, medical marketing niche.",,needs_manual_review,manual_only,medium,http://www.digitalgrape.com/,
pilot-0061,Deals In Lebanon,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0062,Businex,unverifiable_identity,no_official_source_found,exclude_rejected,"relevance_status=unverifiable_identity: Google category ""Marketing agency"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found. [Reclassified during web verification: Google Maps supplied a website that clearly belongs to a different, UK-based company",,n/a,manual_only,low,,
pilot-0063,Masaphat Agency - شركة تسويق,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Direct fetch showed generic/placeholder-looking contact info (info@example.com, a UK phone number), raising initial doubt. However, independent search confirms Masaphat is a real Beirut agency led by CEO Fadel Hayek, now headqua",,needs_manual_review,manual_only,medium,https://www.masaphat.com/,
pilot-0064,tsmmpanel,unverifiable_identity,no_official_source_found,exclude_rejected,"relevance_status=unverifiable_identity: Google category ""Marketing agency"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found. [Reclassified during web verification: The only website evidence available belongs to an unrelated business (domain repurpo",,n/a,manual_only,low,,
pilot-0065,Azentio Software Private Limited Lebanon,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Direct fetch of homepage returned HTTP 403 (bot-blocked). Identity independently confirmed as the real, large multinational BFSI/ERP software vendor (2,500+ employees, 20+ offices) with an active Lebanon-based 'Talent Acquisitio",,needs_manual_review,suitable_public_html_subject_to_review,low,https://www.azentio.com/,https://www.azentio.com/careers
pilot-0066,CME,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=public_company_careers_page, automation_eligibility=suitable_public_html_subject_to_review, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,suitable_public_html_subject_to_review,medium,https://www.gotocme.com/,https://www.gotocme.com/careers/
pilot-0067,Creyasoft sarl,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=public_company_careers_page, automation_eligibility=suitable_public_html_subject_to_review, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,suitable_public_html_subject_to_review,medium,http://creyasoft.com/,https://creyasoft.com/careers/
pilot-0068,Azkatech,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=public_company_careers_page, automation_eligibility=suitable_public_html_subject_to_review, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,suitable_public_html_subject_to_review,medium,https://azka.tech/,https://azka.tech/working-in-azkatech/
pilot-0069,Lebanon Store,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch: gaming/PC/electronics retail store explicitly branded for the Lebanon market.,,needs_manual_review,manual_only,medium,https://lebanonstores.com/,
pilot-0070,Murex (Mar Elias bldg),duplicate_existing_registry_company,no_official_source_found,already_exists,Matches existing lebanon.csv row cc-murex (Murex) via normalized_name_prefix.,cc-murex,n/a (already in registry),not_applicable,not_applicable,,
pilot-0071,LeadByTech - IT & Software Solutions,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch: Beirut Studio address, phone +961 3 998 750 matches Google Maps exactly.",,needs_manual_review,manual_only,medium,https://leadbytech.com/,
pilot-0072,Easysoft SARL,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=email_or_application_form, automation_eligibility=manual_only, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,manual_only,medium,https://www.easysoft.com.lb/,https://www.easysoft.com.lb/
pilot-0073,WhiteBeard,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch and search: WhiteBeard was actually FOUNDED in Beirut in 2011 as a spin-off of L'Orient-Le Jour's CMS project — Lebanon (Sioufi, Achrafieh, matching Google Maps exactly) is a genuine long-standing offi",,needs_manual_review,manual_only,medium,https://www.whitebeard.nl/,
pilot-0074,Soft Masters - Software Company,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Confirmed via direct fetch and search: Ashrafieh Beirut address matches; financial/business-management software vendor since 1998, election-management systems for National Bloc, client relationship with TotalEnergies Lebanon.",,needs_manual_review,manual_only,medium,http://softmasters-lb.com/,
pilot-0075,Software Design Consulting Group,eligible_employer,verified,promote_now,"review_status=verified, website_verification_status=verified_official, careers_source_type=public_company_careers_page, automation_eligibility=suitable_public_html_subject_to_review, source_confidence=medium. No destination match, no unresolved internal duplicate.",,verified,suitable_public_html_subject_to_review,medium,https://sd-lb.com/,https://sd-lb.com/careers/
pilot-0076,Dataflow,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Connection reset on 2 separate fetch attempts. Independent search found a same-brand-family company 'Dataflow Sarl' at dataflow.com.lb (Ashrafieh, Beirut) and 'Dataflow International' (custom software/BPO/outsourcing, ~110 staff",,needs_manual_review,manual_only,low,,
pilot-0077,Ct Serv,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Direct fetch blocked by a bot-verification (CAPTCHA) wall, so page content itself could not be rendered. Identity strongly corroborated via multiple independent business directories (Kompass, Yelleb, IndexOfLebanon) all citing t",,needs_manual_review,manual_only,low,http://www.ctserv.net/,
pilot-0078,GAMING DOT ME,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Site returned HTTP 526 (origin/SSL error) on two separate fetch attempts; could not verify content.,,needs_manual_review,manual_only,low,,
pilot-0079,Sqwirl Lab,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0080,MakersGround,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Address (Hermitage bldg, Achrafieh/Tabaris, Beirut) and phone (+961 81 71 81 82) confirm identity match with Google Maps listing.",,needs_manual_review,manual_only,medium,http://www.makersground.com/,
pilot-0081,Table POS,eligible_employer,needs_manual_review,hold_manual_review,review_status=needs_manual_review (relevance_status=eligible_employer). Site states 'Built in Lebanon' / 'Made in Beirut'; WhatsApp contact matches Google-supplied phone (+961 81 664 397) exactly.,,needs_manual_review,manual_only,medium,https://tablelb.com/,
pilot-0082,Solweavers,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Page title and phone (+961 70 89 10 52) match Google Maps listing exactly; Beirut web design/development company, 14 years in business.",,needs_manual_review,manual_only,medium,https://solweavers.com/,
